iss_date,NOME_NUTS2,CASI_CUMULATIVI
01/03/2021,Abruzzo,54664
01/03/2021,Basilicata,15391
01/03/2021,Calabria,37852
01/03/2021,Campania,258001
01/03/2021,Emilia-Romagna,260596
01/03/2021,Friuli-Venezia Giulia,70330
01/03/2021,Lazio,238326
01/03/2021,Liguria,78000
01/03/2021,Lombardia,604066
01/03/2021,Marche,66015
01/03/2021,Molise,10737
01/03/2021,Piemonte,246762
01/03/2021,Provincia Autonoma di Bolzano/Bozen,52745
01/03/2021,Provincia Autonoma di Trento,35093
01/03/2021,Puglia,147050
01/03/2021,Sardegna,40602
01/03/2021,Sicilia,153520
01/03/2021,Toscana,156027
01/03/2021,Umbria,45391
01/03/2021,Valle d'Aosta/Vallée d'Aoste,8049
01/03/2021,Veneto,335279
