iss_date,NOME_NUTS2,CASI_CUMULATIVI
02/04/2022,Abruzzo,316832
02/04/2022,Basilicata,108681
02/04/2022,Calabria,254741
02/04/2022,Campania,1407256
02/04/2022,Emilia-Romagna,1286359
02/04/2022,Friuli-Venezia Giulia,298023
02/04/2022,Lazio,1319516
02/04/2022,Liguria,377351
02/04/2022,Lombardia,2545049
02/04/2022,Marche,364073
02/04/2022,Molise,49321
02/04/2022,Piemonte,1028170
02/04/2022,Provincia Autonoma di Bolzano/Bozen,181387
02/04/2022,Provincia Autonoma di Trento,151052
02/04/2022,Puglia,931382
02/04/2022,Sardegna,246910
02/04/2022,Sicilia,962349
02/04/2022,Toscana,1021894
02/04/2022,Umbria,245323
02/04/2022,Valle d'Aosta/Vallée d'Aoste,33156
02/04/2022,Veneto,1493437
