iss_date,DATA_INIZIO_SINTOMI,CASI
02/04/2022,28/01/2020,16
02/04/2022,29/01/2020,21
02/04/2022,30/01/2020,30
02/04/2022,31/01/2020,34
02/04/2022,01/02/2020,53
02/04/2022,02/02/2020,42
02/04/2022,03/02/2020,25
02/04/2022,04/02/2020,24
02/04/2022,05/02/2020,29
02/04/2022,06/02/2020,26
02/04/2022,07/02/2020,22
02/04/2022,08/02/2020,17
02/04/2022,09/02/2020,17
02/04/2022,10/02/2020,61
02/04/2022,11/02/2020,33
02/04/2022,12/02/2020,54
02/04/2022,13/02/2020,51
02/04/2022,14/02/2020,68
02/04/2022,15/02/2020,151
02/04/2022,16/02/2020,83
02/04/2022,17/02/2020,146
02/04/2022,18/02/2020,164
02/04/2022,19/02/2020,145
02/04/2022,20/02/2020,408
02/04/2022,21/02/2020,317
02/04/2022,22/02/2020,402
02/04/2022,23/02/2020,502
02/04/2022,24/02/2020,676
02/04/2022,25/02/2020,816
02/04/2022,26/02/2020,740
02/04/2022,27/02/2020,899
02/04/2022,28/02/2020,1209
02/04/2022,29/02/2020,1079
02/04/2022,01/03/2020,2480
02/04/2022,02/03/2020,1943
02/04/2022,03/03/2020,2251
02/04/2022,04/03/2020,1957
02/04/2022,05/03/2020,2625
02/04/2022,06/03/2020,2969
02/04/2022,07/03/2020,3130
02/04/2022,08/03/2020,3698
02/04/2022,09/03/2020,4452
02/04/2022,10/03/2020,6141
02/04/2022,11/03/2020,4242
02/04/2022,12/03/2020,4811
02/04/2022,13/03/2020,5373
02/04/2022,14/03/2020,4692
02/04/2022,15/03/2020,5865
02/04/2022,16/03/2020,5347
02/04/2022,17/03/2020,4560
02/04/2022,18/03/2020,4790
02/04/2022,19/03/2020,4272
02/04/2022,20/03/2020,6190
02/04/2022,21/03/2020,3845
02/04/2022,22/03/2020,3801
02/04/2022,23/03/2020,4388
02/04/2022,24/03/2020,3582
02/04/2022,25/03/2020,3827
02/04/2022,26/03/2020,3302
02/04/2022,27/03/2020,3529
02/04/2022,28/03/2020,3152
