iss_date,NOME_NUTS2,CASI_CUMULATIVI
04/12/2021,Abruzzo,88940
04/12/2021,Basilicata,31345
04/12/2021,Calabria,92350
04/12/2021,Campania,495656
04/12/2021,Emilia-Romagna,460126
04/12/2021,Friuli-Venezia Giulia,130549
04/12/2021,Lazio,435922
04/12/2021,Liguria,124725
04/12/2021,Lombardia,942383
04/12/2021,Marche,125054
04/12/2021,Molise,15223
04/12/2021,Piemonte,402878
04/12/2021,Provincia Autonoma di Bolzano/Bozen,79517
04/12/2021,Provincia Autonoma di Trento,53729
04/12/2021,Puglia,280730
04/12/2021,Sardegna,79665
04/12/2021,Sicilia,330326
04/12/2021,Toscana,303880
04/12/2021,Umbria,68383
04/12/2021,Valle d'Aosta/Vallée d'Aoste,13352
04/12/2021,Veneto,529105
