iss_date,NOME_NUTS2,CASI_CUMULATIVI
12/05/2021,Abruzzo,72799
12/05/2021,Basilicata,24809
12/05/2021,Calabria,62920
12/05/2021,Campania,388752
12/05/2021,Emilia-Romagna,376933
12/05/2021,Friuli-Venezia Giulia,102479
12/05/2021,Lazio,341337
12/05/2021,Liguria,101341
12/05/2021,Lombardia,819881
12/05/2021,Marche,97877
12/05/2021,Molise,13478
12/05/2021,Piemonte,354398
12/05/2021,Provincia Autonoma di Bolzano/Bozen,63386
12/05/2021,Provincia Autonoma di Trento,45673
12/05/2021,Puglia,244240
12/05/2021,Sardegna,55613
12/05/2021,Sicilia,218686
12/05/2021,Toscana,233887
12/05/2021,Umbria,55911
12/05/2021,Valle d'Aosta/Vallée d'Aoste,11226
12/05/2021,Veneto,419435
