iss_date,DATA_INIZIO_SINTOMI,CASI_SINT
12/05/2021,28/01/2020,13
12/05/2021,29/01/2020,17
12/05/2021,30/01/2020,22
12/05/2021,31/01/2020,25
12/05/2021,01/02/2020,43
12/05/2021,02/02/2020,35
12/05/2021,03/02/2020,24
12/05/2021,04/02/2020,23
12/05/2021,05/02/2020,29
12/05/2021,06/02/2020,23
12/05/2021,07/02/2020,18
12/05/2021,08/02/2020,17
12/05/2021,09/02/2020,14
12/05/2021,10/02/2020,56
12/05/2021,11/02/2020,21
12/05/2021,12/02/2020,49
12/05/2021,13/02/2020,45
12/05/2021,14/02/2020,63
12/05/2021,15/02/2020,139
12/05/2021,16/02/2020,81
12/05/2021,17/02/2020,129
12/05/2021,18/02/2020,153
12/05/2021,19/02/2020,129
12/05/2021,20/02/2020,385
12/05/2021,21/02/2020,297
12/05/2021,22/02/2020,370
12/05/2021,23/02/2020,479
12/05/2021,24/02/2020,620
12/05/2021,25/02/2020,781
12/05/2021,26/02/2020,696
12/05/2021,27/02/2020,811
12/05/2021,28/02/2020,1148
12/05/2021,29/02/2020,1006
12/05/2021,01/03/2020,2268
12/05/2021,02/03/2020,1808
12/05/2021,03/03/2020,2042
12/05/2021,04/03/2020,1750
12/05/2021,05/03/2020,2393
12/05/2021,06/03/2020,2667
12/05/2021,07/03/2020,2858
12/05/2021,08/03/2020,3346
12/05/2021,09/03/2020,3952
12/05/2021,10/03/2020,5476
12/05/2021,11/03/2020,3732
12/05/2021,12/03/2020,4244
12/05/2021,13/03/2020,4731
12/05/2021,14/03/2020,4107
12/05/2021,15/03/2020,5210
12/05/2021,16/03/2020,4720
12/05/2021,17/03/2020,4024
12/05/2021,18/03/2020,4225
12/05/2021,19/03/2020,3756
12/05/2021,20/03/2020,5356
12/05/2021,21/03/2020,3318
12/05/2021,22/03/2020,3328
12/05/2021,23/03/2020,3805
12/05/2021,24/03/2020,3045
12/05/2021,25/03/2020,3244
12/05/2021,26/03/2020,2786
12/05/2021,27/03/2020,3015
12/05/2021,28/03/2020,2676
12/05/2021,29/03/2020,2088
12/05/2021,30/03/2020,3073
12/05/2021,31/03/2020,2148
12/05/2021,01/04/2020,3350
12/05/2021,02/04/2020,2157
12/05/2021,03/04/2020,2244
12/05/2021,04/04/2020,1872
12/05/2021,05/04/2020,1694
12/05/2021,06/04/2020,1971
12/05/2021,07/04/2020,1806
12/05/2021,08/04/2020,1807
12/05/2021,09/04/2020,1616
12/05/2021,10/04/2020,2199
12/05/2021,11/04/2020,1294
12/05/2021,12/04/2020,1437
12/05/2021,13/04/2020,1313
12/05/2021,14/04/2020,1555
12/05/2021,15/04/2020,1738
12/05/2021,16/04/2020,1374
12/05/2021,17/04/2020,1339
12/05/2021,18/04/2020,1121
12/05/2021,19/04/2020,885
12/05/2021,20/04/2020,1603
12/05/2021,21/04/2020,1016
12/05/2021,22/04/2020,1030
12/05/2021,23/04/2020,953
12/05/2021,24/04/2020,835
12/05/2021,25/04/2020,736
12/05/2021,26/04/2020,577
12/05/2021,27/04/2020,906
12/05/2021,28/04/2020,661
12/05/2021,29/04/2020,618
12/05/2021,30/04/2020,560
12/05/2021,01/05/2020,559
12/05/2021,02/05/2020,411
12/05/2021,03/05/2020,330
12/05/2021,04/05/2020,447
12/05/2021,05/05/2020,460
12/05/2021,06/05/2020,390
12/05/2021,07/05/2020,363
12/05/2021,08/05/2020,409
12/05/2021,09/05/2020,221
12/05/2021,10/05/2020,277
12/05/2021,11/05/2020,321
12/05/2021,12/05/2020,323
12/05/2021,13/05/2020,283
12/05/2021,14/05/2020,247
12/05/2021,15/05/2020,281
12/05/2021,16/05/2020,190
12/05/2021,17/05/2020,149
12/05/2021,18/05/2020,262
12/05/2021,19/05/2020,210
12/05/2021,20/05/2020,236
12/05/2021,21/05/2020,170
12/05/2021,22/05/2020,156
12/05/2021,23/05/2020,116
12/05/2021,24/05/2020,85
12/05/2021,25/05/2020,181
12/05/2021,26/05/2020,149
12/05/2021,27/05/2020,162
12/05/2021,28/05/2020,117
12/05/2021,29/05/2020,114
12/05/2021,30/05/2020,95
12/05/2021,31/05/2020,62
12/05/2021,01/06/2020,137
12/05/2021,02/06/2020,58
12/05/2021,03/06/2020,113
12/05/2021,04/06/2020,90
12/05/2021,05/06/2020,119
12/05/2021,06/06/2020,77
12/05/2021,07/06/2020,64
12/05/2021,08/06/2020,120
12/05/2021,09/06/2020,100
12/05/2021,10/06/2020,102
12/05/2021,11/06/2020,85
12/05/2021,12/06/2020,100
12/05/2021,13/06/2020,68
12/05/2021,14/06/2020,75
12/05/2021,15/06/2020,103
12/05/2021,16/06/2020,89
12/05/2021,17/06/2020,80
12/05/2021,18/06/2020,75
12/05/2021,19/06/2020,74
12/05/2021,20/06/2020,62
12/05/2021,21/06/2020,58
12/05/2021,22/06/2020,82
12/05/2021,23/06/2020,68
12/05/2021,24/06/2020,90
12/05/2021,25/06/2020,78
12/05/2021,26/06/2020,83
12/05/2021,27/06/2020,63
12/05/2021,28/06/2020,54
12/05/2021,29/06/2020,86
12/05/2021,30/06/2020,67
12/05/2021,01/07/2020,107
12/05/2021,02/07/2020,78
12/05/2021,03/07/2020,66
12/05/2021,04/07/2020,66
12/05/2021,05/07/2020,61
12/05/2021,06/07/2020,94
12/05/2021,07/07/2020,98
12/05/2021,08/07/2020,100
12/05/2021,09/07/2020,80
12/05/2021,10/07/2020,106
12/05/2021,11/07/2020,81
12/05/2021,12/07/2020,69
12/05/2021,13/07/2020,97
12/05/2021,14/07/2020,108
12/05/2021,15/07/2020,97
12/05/2021,16/07/2020,84
12/05/2021,17/07/2020,101
12/05/2021,18/07/2020,92
12/05/2021,19/07/2020,88
12/05/2021,20/07/2020,135
12/05/2021,21/07/2020,120
12/05/2021,22/07/2020,114
12/05/2021,23/07/2020,125
12/05/2021,24/07/2020,112
12/05/2021,25/07/2020,125
12/05/2021,26/07/2020,96
12/05/2021,27/07/2020,130
12/05/2021,28/07/2020,135
12/05/2021,29/07/2020,132
12/05/2021,30/07/2020,117
12/05/2021,31/07/2020,119
12/05/2021,01/08/2020,156
12/05/2021,02/08/2020,121
12/05/2021,03/08/2020,199
12/05/2021,04/08/2020,188
12/05/2021,05/08/2020,206
12/05/2021,06/08/2020,209
12/05/2021,07/08/2020,195
12/05/2021,08/08/2020,243
12/05/2021,09/08/2020,205
12/05/2021,10/08/2020,270
12/05/2021,11/08/2020,248
12/05/2021,12/08/2020,262
12/05/2021,13/08/2020,285
12/05/2021,14/08/2020,293
12/05/2021,15/08/2020,343
12/05/2021,16/08/2020,349
12/05/2021,17/08/2020,550
12/05/2021,18/08/2020,589
12/05/2021,19/08/2020,546
12/05/2021,20/08/2020,548
12/05/2021,21/08/2020,595
12/05/2021,22/08/2020,561
12/05/2021,23/08/2020,586
12/05/2021,24/08/2020,651
12/05/2021,25/08/2020,614
12/05/2021,26/08/2020,580
12/05/2021,27/08/2020,543
12/05/2021,28/08/2020,548
12/05/2021,29/08/2020,428
12/05/2021,30/08/2020,412
12/05/2021,31/08/2020,538
12/05/2021,01/09/2020,704
12/05/2021,02/09/2020,603
12/05/2021,03/09/2020,567
12/05/2021,04/09/2020,620
12/05/2021,05/09/2020,530
12/05/2021,06/09/2020,502
12/05/2021,07/09/2020,777
12/05/2021,08/09/2020,643
12/05/2021,09/09/2020,656
12/05/2021,10/09/2020,725
12/05/2021,11/09/2020,622
12/05/2021,12/09/2020,630
