iss_date,DATA_PRELIEVO_DIAGNOSI,CASI
30/01/2022,29/01/2020,<5
30/01/2022,06/02/2020,<5
30/01/2022,20/02/2020,<5
30/01/2022,21/02/2020,36
30/01/2022,22/02/2020,58
30/01/2022,23/02/2020,77
30/01/2022,24/02/2020,86
30/01/2022,25/02/2020,190
30/01/2022,26/02/2020,278
30/01/2022,27/02/2020,286
30/01/2022,28/02/2020,354
30/01/2022,29/02/2020,373
30/01/2022,01/03/2020,410
30/01/2022,02/03/2020,629
30/01/2022,03/03/2020,803
30/01/2022,04/03/2020,1077
30/01/2022,05/03/2020,1302
30/01/2022,06/03/2020,1530
30/01/2022,07/03/2020,1417
30/01/2022,08/03/2020,1451
30/01/2022,09/03/2020,2241
30/01/2022,10/03/2020,2450
30/01/2022,11/03/2020,2780
30/01/2022,12/03/2020,3143
30/01/2022,13/03/2020,4106
30/01/2022,14/03/2020,3535
30/01/2022,15/03/2020,2850
30/01/2022,16/03/2020,4820
30/01/2022,17/03/2020,5347
30/01/2022,18/03/2020,5692
30/01/2022,19/03/2020,5689
30/01/2022,20/03/2020,6258
30/01/2022,21/03/2020,4922
30/01/2022,22/03/2020,3926
30/01/2022,23/03/2020,6100
30/01/2022,24/03/2020,5916
30/01/2022,25/03/2020,5804
30/01/2022,26/03/2020,5707
30/01/2022,27/03/2020,5795
30/01/2022,28/03/2020,4529
30/01/2022,29/03/2020,3012
30/01/2022,30/03/2020,5086
30/01/2022,31/03/2020,5362
30/01/2022,01/04/2020,5028
30/01/2022,02/04/2020,4775
30/01/2022,03/04/2020,4449
30/01/2022,04/04/2020,3663
30/01/2022,05/04/2020,2601
30/01/2022,06/04/2020,4090
30/01/2022,07/04/2020,4141
30/01/2022,08/04/2020,4798
30/01/2022,09/04/2020,4688
30/01/2022,10/04/2020,5133
30/01/2022,11/04/2020,3430
30/01/2022,12/04/2020,1920
30/01/2022,13/04/2020,2268
30/01/2022,14/04/2020,3278
30/01/2022,15/04/2020,3948
30/01/2022,16/04/2020,3705
30/01/2022,17/04/2020,3502
30/01/2022,18/04/2020,2641
30/01/2022,19/04/2020,1388
30/01/2022,20/04/2020,3006
30/01/2022,21/04/2020,3077
30/01/2022,22/04/2020,2606
30/01/2022,23/04/2020,2812
30/01/2022,24/04/2020,2739
30/01/2022,25/04/2020,1667
30/01/2022,26/04/2020,1017
30/01/2022,27/04/2020,1982
30/01/2022,28/04/2020,2242
30/01/2022,29/04/2020,2328
30/01/2022,30/04/2020,2269
30/01/2022,01/05/2020,1086
30/01/2022,02/05/2020,1021
30/01/2022,03/05/2020,506
30/01/2022,04/05/2020,1457
30/01/2022,05/05/2020,1537
30/01/2022,06/05/2020,1442
30/01/2022,07/05/2020,1390
30/01/2022,08/05/2020,1380
30/01/2022,09/05/2020,731
30/01/2022,10/05/2020,337
30/01/2022,11/05/2020,873
30/01/2022,12/05/2020,915
30/01/2022,13/05/2020,890
30/01/2022,14/05/2020,901
30/01/2022,15/05/2020,791
30/01/2022,16/05/2020,606
