iss_date,NOME_NUTS2,CASI_CUMULATIVI
30/01/2022,Abruzzo,213684
30/01/2022,Basilicata,53958
30/01/2022,Calabria,139874
30/01/2022,Campania,995476
30/01/2022,Emilia-Romagna,1028763
30/01/2022,Friuli-Venezia Giulia,208916
30/01/2022,Lazio,822519
30/01/2022,Liguria,288954
30/01/2022,Lombardia,2107933
30/01/2022,Marche,243435
30/01/2022,Molise,27271
30/01/2022,Piemonte,798253
30/01/2022,Provincia Autonoma di Bolzano/Bozen,95546
30/01/2022,Provincia Autonoma di Trento,122282
30/01/2022,Puglia,599686
30/01/2022,Sardegna,125334
30/01/2022,Sicilia,532140
30/01/2022,Toscana,522179
30/01/2022,Umbria,158339
30/01/2022,Valle d'Aosta/Vallée d'Aoste,28613
30/01/2022,Veneto,1142362
