iss_date,NOME_NUTS2,CASI_CUMULATIVI
29/05/2021,Abruzzo,73970
29/05/2021,Basilicata,25846
29/05/2021,Calabria,66163
29/05/2021,Campania,400674
29/05/2021,Emilia-Romagna,383276
29/05/2021,Friuli-Venezia Giulia,103438
29/05/2021,Lazio,349212
29/05/2021,Liguria,102755
29/05/2021,Lombardia,833436
29/05/2021,Marche,101376
29/05/2021,Molise,13574
29/05/2021,Piemonte,360401
29/05/2021,Provincia Autonoma di Bolzano/Bozen,64254
29/05/2021,Provincia Autonoma di Trento,46416
29/05/2021,Puglia,249930
29/05/2021,Sardegna,56593
29/05/2021,Sicilia,226030
29/05/2021,Toscana,240472
29/05/2021,Umbria,56733
29/05/2021,Valle d'Aosta/Vallée d'Aoste,11483
29/05/2021,Veneto,423917
