iss_date,DATA_INIZIO_SINTOMI,CASI
29/05/2021,28/01/2020,17
29/05/2021,29/01/2020,20
29/05/2021,30/01/2020,27
29/05/2021,31/01/2020,31
29/05/2021,01/02/2020,51
29/05/2021,02/02/2020,41
29/05/2021,03/02/2020,26
29/05/2021,04/02/2020,25
29/05/2021,05/02/2020,30
29/05/2021,06/02/2020,26
29/05/2021,07/02/2020,21
29/05/2021,08/02/2020,15
29/05/2021,09/02/2020,17
29/05/2021,10/02/2020,63
29/05/2021,11/02/2020,30
29/05/2021,12/02/2020,53
29/05/2021,13/02/2020,51
29/05/2021,14/02/2020,67
29/05/2021,15/02/2020,151
29/05/2021,16/02/2020,87
29/05/2021,17/02/2020,140
29/05/2021,18/02/2020,166
29/05/2021,19/02/2020,139
29/05/2021,20/02/2020,408
29/05/2021,21/02/2020,321
29/05/2021,22/02/2020,394
29/05/2021,23/02/2020,515
29/05/2021,24/02/2020,684
29/05/2021,25/02/2020,828
29/05/2021,26/02/2020,747
29/05/2021,27/02/2020,899
29/05/2021,28/02/2020,1222
29/05/2021,29/02/2020,1078
29/05/2021,01/03/2020,2485
29/05/2021,02/03/2020,1960
29/05/2021,03/03/2020,2257
29/05/2021,04/03/2020,1940
29/05/2021,05/03/2020,2635
29/05/2021,06/03/2020,2974
29/05/2021,07/03/2020,3129
29/05/2021,08/03/2020,3678
29/05/2021,09/03/2020,4449
29/05/2021,10/03/2020,6145
29/05/2021,11/03/2020,4222
29/05/2021,12/03/2020,4797
29/05/2021,13/03/2020,5353
29/05/2021,14/03/2020,4713
29/05/2021,15/03/2020,5879
29/05/2021,16/03/2020,5337
29/05/2021,17/03/2020,4530
29/05/2021,18/03/2020,4831
29/05/2021,19/03/2020,4273
29/05/2021,20/03/2020,6147
29/05/2021,21/03/2020,3833
29/05/2021,22/03/2020,3764
29/05/2021,23/03/2020,4379
29/05/2021,24/03/2020,3579
29/05/2021,25/03/2020,3833
29/05/2021,26/03/2020,3315
29/05/2021,27/03/2020,3553
29/05/2021,28/03/2020,3155
29/05/2021,29/03/2020,2383
29/05/2021,30/03/2020,3679
29/05/2021,31/03/2020,2604
29/05/2021,01/04/2020,4078
29/05/2021,02/04/2020,2667
29/05/2021,03/04/2020,2716
29/05/2021,04/04/2020,2320
29/05/2021,05/04/2020,2039
29/05/2021,06/04/2020,2483
29/05/2021,07/04/2020,2246
29/05/2021,08/04/2020,2147
29/05/2021,09/04/2020,2021
29/05/2021,10/04/2020,2735
29/05/2021,11/04/2020,1619
29/05/2021,12/04/2020,1639
29/05/2021,13/04/2020,1512
29/05/2021,14/04/2020,1830
29/05/2021,15/04/2020,2143
29/05/2021,16/04/2020,1641
29/05/2021,17/04/2020,1609
29/05/2021,18/04/2020,1272
29/05/2021,19/04/2020,1018
29/05/2021,20/04/2020,1881
29/05/2021,21/04/2020,1190
29/05/2021,22/04/2020,1208
29/05/2021,23/04/2020,1239
29/05/2021,24/04/2020,1116
29/05/2021,25/04/2020,879
29/05/2021,26/04/2020,661
29/05/2021,27/04/2020,1112
29/05/2021,28/04/2020,866
29/05/2021,29/04/2020,916
29/05/2021,30/04/2020,855
29/05/2021,01/05/2020,694
29/05/2021,02/05/2020,504
29/05/2021,03/05/2020,413
29/05/2021,04/05/2020,647
29/05/2021,05/05/2020,618
