iss_date,NOME_NUTS2,CASI_CUMULATIVI
23/03/2022,Abruzzo,297182
23/03/2022,Basilicata,100239
23/03/2022,Calabria,225741
23/03/2022,Campania,1325745
23/03/2022,Emilia-Romagna,1244347
23/03/2022,Friuli-Venezia Giulia,288043
23/03/2022,Lazio,1241161
23/03/2022,Liguria,363286
23/03/2022,Lombardia,2468857
23/03/2022,Marche,348815
23/03/2022,Molise,45175
23/03/2022,Piemonte,1010612
23/03/2022,Provincia Autonoma di Bolzano/Bozen,177703
23/03/2022,Provincia Autonoma di Trento,146835
23/03/2022,Puglia,859110
23/03/2022,Sardegna,226980
23/03/2022,Sicilia,879677
23/03/2022,Toscana,976708
23/03/2022,Umbria,227902
23/03/2022,Valle d'Aosta/Vallée d'Aoste,32614
23/03/2022,Veneto,1431891
