iss_date,DATA_INIZIO_SINTOMI,CASI
23/03/2022,28/01/2020,16
23/03/2022,29/01/2020,21
23/03/2022,30/01/2020,30
23/03/2022,31/01/2020,34
23/03/2022,01/02/2020,53
23/03/2022,02/02/2020,42
23/03/2022,03/02/2020,25
23/03/2022,04/02/2020,24
23/03/2022,05/02/2020,29
23/03/2022,06/02/2020,26
23/03/2022,07/02/2020,22
23/03/2022,08/02/2020,17
23/03/2022,09/02/2020,17
23/03/2022,10/02/2020,61
23/03/2022,11/02/2020,33
23/03/2022,12/02/2020,54
23/03/2022,13/02/2020,51
23/03/2022,14/02/2020,68
23/03/2022,15/02/2020,151
23/03/2022,16/02/2020,83
23/03/2022,17/02/2020,146
23/03/2022,18/02/2020,164
23/03/2022,19/02/2020,145
23/03/2022,20/02/2020,408
23/03/2022,21/02/2020,317
23/03/2022,22/02/2020,402
23/03/2022,23/02/2020,502
23/03/2022,24/02/2020,676
23/03/2022,25/02/2020,816
23/03/2022,26/02/2020,740
23/03/2022,27/02/2020,899
23/03/2022,28/02/2020,1209
23/03/2022,29/02/2020,1079
23/03/2022,01/03/2020,2480
23/03/2022,02/03/2020,1943
23/03/2022,03/03/2020,2252
23/03/2022,04/03/2020,1956
23/03/2022,05/03/2020,2625
23/03/2022,06/03/2020,2968
23/03/2022,07/03/2020,3130
23/03/2022,08/03/2020,3698
23/03/2022,09/03/2020,4452
23/03/2022,10/03/2020,6143
23/03/2022,11/03/2020,4241
23/03/2022,12/03/2020,4811
23/03/2022,13/03/2020,5372
23/03/2022,14/03/2020,4692
23/03/2022,15/03/2020,5865
23/03/2022,16/03/2020,5346
23/03/2022,17/03/2020,4559
23/03/2022,18/03/2020,4791
23/03/2022,19/03/2020,4272
23/03/2022,20/03/2020,6190
23/03/2022,21/03/2020,3845
23/03/2022,22/03/2020,3800
23/03/2022,23/03/2020,4387
23/03/2022,24/03/2020,3581
23/03/2022,25/03/2020,3826
23/03/2022,26/03/2020,3303
23/03/2022,27/03/2020,3528
23/03/2022,28/03/2020,3152
23/03/2022,29/03/2020,2377
23/03/2022,30/03/2020,3675
23/03/2022,31/03/2020,2599
23/03/2022,01/04/2020,4117
23/03/2022,02/04/2020,2705
23/03/2022,03/04/2020,2717
23/03/2022,04/04/2020,2357
23/03/2022,05/04/2020,2055
23/03/2022,06/04/2020,2457
23/03/2022,07/04/2020,2269
23/03/2022,08/04/2020,2143
23/03/2022,09/04/2020,2067
23/03/2022,10/04/2020,2722
23/03/2022,11/04/2020,1618
23/03/2022,12/04/2020,1645
23/03/2022,13/04/2020,1509
23/03/2022,14/04/2020,1856
23/03/2022,15/04/2020,2170
23/03/2022,16/04/2020,1671
23/03/2022,17/04/2020,1637
23/03/2022,18/04/2020,1298
23/03/2022,19/04/2020,1047
23/03/2022,20/04/2020,1904
23/03/2022,21/04/2020,1198
23/03/2022,22/04/2020,1231
23/03/2022,23/04/2020,1251
23/03/2022,24/04/2020,1119
23/03/2022,25/04/2020,884
23/03/2022,26/04/2020,676
23/03/2022,27/04/2020,1124
23/03/2022,28/04/2020,871
23/03/2022,29/04/2020,926
23/03/2022,30/04/2020,865
23/03/2022,01/05/2020,699
23/03/2022,02/05/2020,510
23/03/2022,03/05/2020,410
23/03/2022,04/05/2020,654
23/03/2022,05/05/2020,631
23/03/2022,06/05/2020,566
23/03/2022,07/05/2020,498
23/03/2022,08/05/2020,524
23/03/2022,09/05/2020,301
23/03/2022,10/05/2020,334
23/03/2022,11/05/2020,440
23/03/2022,12/05/2020,449
23/03/2022,13/05/2020,387
