iss_date,DATA_INIZIO_SINTOMI,CASI_SINT
19/04/2022,28/01/2020,14
19/04/2022,29/01/2020,17
19/04/2022,30/01/2020,26
19/04/2022,31/01/2020,29
19/04/2022,01/02/2020,44
19/04/2022,02/02/2020,35
19/04/2022,03/02/2020,23
19/04/2022,04/02/2020,22
19/04/2022,05/02/2020,28
19/04/2022,06/02/2020,23
19/04/2022,07/02/2020,19
19/04/2022,08/02/2020,16
19/04/2022,09/02/2020,17
19/04/2022,10/02/2020,55
19/04/2022,11/02/2020,24
19/04/2022,12/02/2020,50
19/04/2022,13/02/2020,44
19/04/2022,14/02/2020,63
19/04/2022,15/02/2020,140
19/04/2022,16/02/2020,77
19/04/2022,17/02/2020,136
19/04/2022,18/02/2020,151
19/04/2022,19/02/2020,135
19/04/2022,20/02/2020,385
19/04/2022,21/02/2020,299
19/04/2022,22/02/2020,381
19/04/2022,23/02/2020,465
19/04/2022,24/02/2020,614
19/04/2022,25/02/2020,771
19/04/2022,26/02/2020,689
19/04/2022,27/02/2020,810
19/04/2022,28/02/2020,1137
19/04/2022,29/02/2020,1008
19/04/2022,01/03/2020,2268
19/04/2022,02/03/2020,1795
19/04/2022,03/03/2020,2036
19/04/2022,04/03/2020,1769
19/04/2022,05/03/2020,2383
19/04/2022,06/03/2020,2662
19/04/2022,07/03/2020,2856
19/04/2022,08/03/2020,3376
19/04/2022,09/03/2020,3967
19/04/2022,10/03/2020,5478
19/04/2022,11/03/2020,3752
19/04/2022,12/03/2020,4265
19/04/2022,13/03/2020,4755
19/04/2022,14/03/2020,4094
19/04/2022,15/03/2020,5209
19/04/2022,16/03/2020,4729
19/04/2022,17/03/2020,4049
19/04/2022,18/03/2020,4191
19/04/2022,19/03/2020,3745
19/04/2022,20/03/2020,5402
19/04/2022,21/03/2020,3344
19/04/2022,22/03/2020,3366
19/04/2022,23/03/2020,3813
19/04/2022,24/03/2020,3052
19/04/2022,25/03/2020,3245
