iss_date,NOME_NUTS2,CASI_CUMULATIVI
19/04/2022,Abruzzo,348748
19/04/2022,Basilicata,120551
19/04/2022,Calabria,288868
19/04/2022,Campania,1472524
19/04/2022,Emilia-Romagna,1359967
19/04/2022,Friuli-Venezia Giulia,314576
19/04/2022,Lazio,1451941
19/04/2022,Liguria,398263
19/04/2022,Lombardia,2675270
19/04/2022,Marche,402003
19/04/2022,Molise,55468
19/04/2022,Piemonte,1074987
19/04/2022,Provincia Autonoma di Bolzano/Bozen,190058
19/04/2022,Provincia Autonoma di Trento,157481
19/04/2022,Puglia,1009594
19/04/2022,Sardegna,272209
19/04/2022,Sicilia,1063223
19/04/2022,Toscana,1090440
19/04/2022,Umbria,264201
19/04/2022,Valle d'Aosta/Vallée d'Aoste,34499
19/04/2022,Veneto,1595121
