iss_date,NOME_NUTS2,CASI_CUMULATIVI
10/06/2021,Abruzzo,74399
10/06/2021,Basilicata,26126
10/06/2021,Calabria,67584
10/06/2021,Campania,404983
10/06/2021,Emilia-Romagna,385171
10/06/2021,Friuli-Venezia Giulia,103814
10/06/2021,Lazio,352202
10/06/2021,Liguria,103153
10/06/2021,Lombardia,837605
10/06/2021,Marche,102037
10/06/2021,Molise,13632
10/06/2021,Piemonte,363377
10/06/2021,Provincia Autonoma di Bolzano/Bozen,64611
10/06/2021,Provincia Autonoma di Trento,46689
10/06/2021,Puglia,251770
10/06/2021,Sardegna,56951
10/06/2021,Sicilia,229587
10/06/2021,Toscana,242571
10/06/2021,Umbria,57093
10/06/2021,Valle d'Aosta/Vallée d'Aoste,11587
10/06/2021,Veneto,425194
