iss_date,DATA_DECESSO,DECESSI
27/07/2021,21/02/2020,<5
27/07/2021,22/02/2020,<5
27/07/2021,23/02/2020,<5
27/07/2021,24/02/2020,<5
27/07/2021,25/02/2020,8
27/07/2021,26/02/2020,6
27/07/2021,27/02/2020,8
27/07/2021,28/02/2020,11
27/07/2021,29/02/2020,15
27/07/2021,01/03/2020,26
27/07/2021,02/03/2020,24
27/07/2021,03/03/2020,56
27/07/2021,04/03/2020,56
27/07/2021,05/03/2020,80
27/07/2021,06/03/2020,111
27/07/2021,07/03/2020,168
27/07/2021,08/03/2020,176
27/07/2021,09/03/2020,226
27/07/2021,10/03/2020,281
27/07/2021,11/03/2020,312
27/07/2021,12/03/2020,323
27/07/2021,13/03/2020,379
27/07/2021,14/03/2020,445
27/07/2021,15/03/2020,434
27/07/2021,16/03/2020,511
27/07/2021,17/03/2020,574
27/07/2021,18/03/2020,645
27/07/2021,19/03/2020,654
27/07/2021,20/03/2020,755
27/07/2021,21/03/2020,818
27/07/2021,22/03/2020,816
27/07/2021,23/03/2020,864
27/07/2021,24/03/2020,822
27/07/2021,25/03/2020,873
27/07/2021,26/03/2020,836
27/07/2021,27/03/2020,883
27/07/2021,28/03/2020,926
27/07/2021,29/03/2020,768
27/07/2021,30/03/2020,793
27/07/2021,31/03/2020,709
27/07/2021,01/04/2020,715
27/07/2021,02/04/2020,693
27/07/2021,03/04/2020,680
27/07/2021,04/04/2020,640
27/07/2021,05/04/2020,602
27/07/2021,06/04/2020,593
27/07/2021,07/04/2020,614
27/07/2021,08/04/2020,604
27/07/2021,09/04/2020,544
27/07/2021,10/04/2020,608
27/07/2021,11/04/2020,588
27/07/2021,12/04/2020,581
27/07/2021,13/04/2020,534
27/07/2021,14/04/2020,541
27/07/2021,15/04/2020,514
27/07/2021,16/04/2020,452
27/07/2021,17/04/2020,478
27/07/2021,18/04/2020,465
27/07/2021,19/04/2020,462
27/07/2021,20/04/2020,448
27/07/2021,21/04/2020,367
27/07/2021,22/04/2020,384
27/07/2021,23/04/2020,358
27/07/2021,24/04/2020,387
27/07/2021,25/04/2020,359
27/07/2021,26/04/2020,323
27/07/2021,27/04/2020,331
27/07/2021,28/04/2020,313
27/07/2021,29/04/2020,299
27/07/2021,30/04/2020,263
27/07/2021,01/05/2020,259
27/07/2021,02/05/2020,254
27/07/2021,03/05/2020,243
27/07/2021,04/05/2020,220
27/07/2021,05/05/2020,226
27/07/2021,06/05/2020,219
27/07/2021,07/05/2020,180
27/07/2021,08/05/2020,172
27/07/2021,09/05/2020,199
27/07/2021,10/05/2020,170
27/07/2021,11/05/2020,162
27/07/2021,12/05/2020,160
27/07/2021,13/05/2020,145
27/07/2021,14/05/2020,142
27/07/2021,15/05/2020,155
27/07/2021,16/05/2020,103
27/07/2021,17/05/2020,119
27/07/2021,18/05/2020,100
27/07/2021,19/05/2020,92
27/07/2021,20/05/2020,88
27/07/2021,21/05/2020,78
27/07/2021,22/05/2020,84
27/07/2021,23/05/2020,95
27/07/2021,24/05/2020,85
27/07/2021,25/05/2020,75
27/07/2021,26/05/2020,60
27/07/2021,27/05/2020,51
27/07/2021,28/05/2020,70
27/07/2021,29/05/2020,61
27/07/2021,30/05/2020,49
27/07/2021,31/05/2020,49
27/07/2021,01/06/2020,62
27/07/2021,02/06/2020,56
27/07/2021,03/06/2020,51
27/07/2021,04/06/2020,60
27/07/2021,05/06/2020,67
27/07/2021,06/06/2020,78
27/07/2021,07/06/2020,36
27/07/2021,08/06/2020,43
27/07/2021,09/06/2020,45
27/07/2021,10/06/2020,38
27/07/2021,11/06/2020,39
27/07/2021,12/06/2020,34
27/07/2021,13/06/2020,23
27/07/2021,14/06/2020,22
27/07/2021,15/06/2020,37
27/07/2021,16/06/2020,44
27/07/2021,17/06/2020,35
27/07/2021,18/06/2020,44
27/07/2021,19/06/2020,34
27/07/2021,20/06/2020,19
27/07/2021,21/06/2020,25
27/07/2021,22/06/2020,31
27/07/2021,23/06/2020,51
27/07/2021,24/06/2020,25
27/07/2021,25/06/2020,26
27/07/2021,26/06/2020,20
27/07/2021,27/06/2020,24
27/07/2021,28/06/2020,12
27/07/2021,29/06/2020,18
27/07/2021,30/06/2020,16
27/07/2021,01/07/2020,15
27/07/2021,02/07/2020,15
27/07/2021,03/07/2020,16
27/07/2021,04/07/2020,7
27/07/2021,05/07/2020,11
27/07/2021,06/07/2020,14
27/07/2021,07/07/2020,11
27/07/2021,08/07/2020,10
27/07/2021,09/07/2020,10
27/07/2021,10/07/2020,11
27/07/2021,11/07/2020,7
27/07/2021,12/07/2020,9
27/07/2021,13/07/2020,22
27/07/2021,14/07/2020,7
27/07/2021,15/07/2020,8
27/07/2021,16/07/2020,17
27/07/2021,17/07/2020,6
27/07/2021,18/07/2020,14
27/07/2021,19/07/2020,10
27/07/2021,20/07/2020,8
27/07/2021,21/07/2020,14
27/07/2021,22/07/2020,16
27/07/2021,23/07/2020,<5
27/07/2021,24/07/2020,8
27/07/2021,25/07/2020,5
27/07/2021,26/07/2020,5
27/07/2021,27/07/2020,16
27/07/2021,28/07/2020,8
27/07/2021,29/07/2020,7
27/07/2021,30/07/2020,7
27/07/2021,31/07/2020,<5
27/07/2021,01/08/2020,<5
27/07/2021,02/08/2020,<5
27/07/2021,03/08/2020,7
27/07/2021,04/08/2020,<5
27/07/2021,05/08/2020,7
27/07/2021,06/08/2020,6
27/07/2021,07/08/2020,8
27/07/2021,08/08/2020,6
27/07/2021,09/08/2020,<5
27/07/2021,10/08/2020,10
27/07/2021,11/08/2020,7
27/07/2021,12/08/2020,<5
27/07/2021,13/08/2020,8
27/07/2021,14/08/2020,10
27/07/2021,15/08/2020,<5
27/07/2021,16/08/2020,9
27/07/2021,17/08/2020,<5
27/07/2021,18/08/2020,6
27/07/2021,19/08/2020,7
27/07/2021,20/08/2020,11
27/07/2021,21/08/2020,<5
27/07/2021,22/08/2020,5
27/07/2021,23/08/2020,<5
27/07/2021,24/08/2020,7
27/07/2021,25/08/2020,6
27/07/2021,26/08/2020,10
27/07/2021,27/08/2020,6
27/07/2021,29/08/2020,<5
27/07/2021,30/08/2020,7
27/07/2021,31/08/2020,9
27/07/2021,01/09/2020,9
27/07/2021,02/09/2020,11
27/07/2021,03/09/2020,11
27/07/2021,04/09/2020,11
27/07/2021,05/09/2020,14
27/07/2021,06/09/2020,6
27/07/2021,07/09/2020,19
27/07/2021,08/09/2020,<5
27/07/2021,09/09/2020,7
27/07/2021,10/09/2020,8
27/07/2021,11/09/2020,8
27/07/2021,12/09/2020,13
27/07/2021,13/09/2020,14
27/07/2021,14/09/2020,13
27/07/2021,15/09/2020,20
27/07/2021,16/09/2020,16
27/07/2021,17/09/2020,16
27/07/2021,18/09/2020,24
27/07/2021,19/09/2020,16
27/07/2021,20/09/2020,19
27/07/2021,21/09/2020,16
27/07/2021,22/09/2020,13
27/07/2021,23/09/2020,26
27/07/2021,24/09/2020,21
27/07/2021,25/09/2020,29
27/07/2021,26/09/2020,19
27/07/2021,27/09/2020,25
27/07/2021,28/09/2020,21
27/07/2021,29/09/2020,25
27/07/2021,30/09/2020,19
27/07/2021,01/10/2020,26
27/07/2021,02/10/2020,30
27/07/2021,03/10/2020,17
27/07/2021,04/10/2020,20
27/07/2021,05/10/2020,39
27/07/2021,06/10/2020,25
27/07/2021,07/10/2020,33
27/07/2021,08/10/2020,39
27/07/2021,09/10/2020,44
27/07/2021,10/10/2020,51
27/07/2021,11/10/2020,56
27/07/2021,12/10/2020,77
27/07/2021,13/10/2020,71
27/07/2021,14/10/2020,72
27/07/2021,15/10/2020,68
27/07/2021,16/10/2020,106
27/07/2021,17/10/2020,89
27/07/2021,18/10/2020,105
27/07/2021,19/10/2020,106
27/07/2021,20/10/2020,148
27/07/2021,21/10/2020,147
27/07/2021,22/10/2020,161
27/07/2021,23/10/2020,182
27/07/2021,24/10/2020,209
27/07/2021,25/10/2020,198
27/07/2021,26/10/2020,248
27/07/2021,27/10/2020,236
27/07/2021,28/10/2020,304
27/07/2021,29/10/2020,299
27/07/2021,30/10/2020,354
27/07/2021,31/10/2020,377
27/07/2021,01/11/2020,358
27/07/2021,02/11/2020,448
27/07/2021,03/11/2020,437
27/07/2021,04/11/2020,471
27/07/2021,05/11/2020,552
27/07/2021,06/11/2020,521
27/07/2021,07/11/2020,501
27/07/2021,08/11/2020,570
27/07/2021,09/11/2020,607
27/07/2021,10/11/2020,661
27/07/2021,11/11/2020,678
27/07/2021,12/11/2020,726
27/07/2021,13/11/2020,672
27/07/2021,14/11/2020,693
27/07/2021,15/11/2020,726
27/07/2021,16/11/2020,764
27/07/2021,17/11/2020,793
27/07/2021,18/11/2020,798
27/07/2021,19/11/2020,807
27/07/2021,20/11/2020,787
27/07/2021,21/11/2020,678
27/07/2021,22/11/2020,725
27/07/2021,23/11/2020,766
27/07/2021,24/11/2020,772
27/07/2021,25/11/2020,827
27/07/2021,26/11/2020,738
27/07/2021,27/11/2020,773
27/07/2021,28/11/2020,731
27/07/2021,29/11/2020,672
27/07/2021,30/11/2020,688
27/07/2021,01/12/2020,654
27/07/2021,02/12/2020,723
27/07/2021,03/12/2020,658
27/07/2021,04/12/2020,692
27/07/2021,05/12/2020,631
27/07/2021,06/12/2020,652
27/07/2021,07/12/2020,638
27/07/2021,08/12/2020,601
27/07/2021,09/12/2020,689
27/07/2021,10/12/2020,624
27/07/2021,11/12/2020,616
27/07/2021,12/12/2020,585
27/07/2021,13/12/2020,574
27/07/2021,14/12/2020,574
27/07/2021,15/12/2020,583
27/07/2021,16/12/2020,641
27/07/2021,17/12/2020,590
27/07/2021,18/12/2020,558
27/07/2021,19/12/2020,510
27/07/2021,20/12/2020,493
27/07/2021,21/12/2020,508
27/07/2021,22/12/2020,494
27/07/2021,23/12/2020,500
27/07/2021,24/12/2020,494
27/07/2021,25/12/2020,423
27/07/2021,26/12/2020,432
27/07/2021,27/12/2020,421
27/07/2021,28/12/2020,503
27/07/2021,29/12/2020,447
27/07/2021,30/12/2020,478
27/07/2021,31/12/2020,434
27/07/2021,01/01/2021,452
27/07/2021,02/01/2021,430
27/07/2021,03/01/2021,424
27/07/2021,04/01/2021,506
27/07/2021,05/01/2021,499
27/07/2021,06/01/2021,468
27/07/2021,07/01/2021,463
27/07/2021,08/01/2021,447
27/07/2021,09/01/2021,440
27/07/2021,10/01/2021,442
27/07/2021,11/01/2021,476
27/07/2021,12/01/2021,465
27/07/2021,13/01/2021,454
27/07/2021,14/01/2021,425
27/07/2021,15/01/2021,505
27/07/2021,16/01/2021,446
27/07/2021,17/01/2021,444
27/07/2021,18/01/2021,478
27/07/2021,19/01/2021,467
27/07/2021,20/01/2021,437
27/07/2021,21/01/2021,421
27/07/2021,22/01/2021,421
27/07/2021,23/01/2021,404
27/07/2021,24/01/2021,416
27/07/2021,25/01/2021,395
27/07/2021,26/01/2021,437
27/07/2021,27/01/2021,432
27/07/2021,28/01/2021,393
27/07/2021,29/01/2021,357
27/07/2021,30/01/2021,378
27/07/2021,31/01/2021,361
27/07/2021,01/02/2021,352
27/07/2021,02/02/2021,398
27/07/2021,03/02/2021,364
27/07/2021,04/02/2021,335
27/07/2021,05/02/2021,409
27/07/2021,06/02/2021,343
27/07/2021,07/02/2021,298
27/07/2021,08/02/2021,330
27/07/2021,09/02/2021,342
27/07/2021,10/02/2021,290
27/07/2021,11/02/2021,297
27/07/2021,12/02/2021,285
27/07/2021,13/02/2021,252
27/07/2021,14/02/2021,261
27/07/2021,15/02/2021,281
27/07/2021,16/02/2021,287
27/07/2021,17/02/2021,334
27/07/2021,18/02/2021,305
27/07/2021,19/02/2021,289
27/07/2021,20/02/2021,252
27/07/2021,21/02/2021,263
27/07/2021,22/02/2021,356
27/07/2021,23/02/2021,305
27/07/2021,24/02/2021,243
27/07/2021,25/02/2021,264
27/07/2021,26/02/2021,283
27/07/2021,27/02/2021,280
