iss_date,NOME_NUTS2,CASI_CUMULATIVI
27/07/2021,Abruzzo,75807
27/07/2021,Basilicata,26850
27/07/2021,Calabria,70041
27/07/2021,Campania,430072
27/07/2021,Emilia-Romagna,391886
27/07/2021,Friuli-Venezia Giulia,104847
27/07/2021,Lazio,362596
27/07/2021,Liguria,104779
27/07/2021,Lombardia,849084
27/07/2021,Marche,104862
27/07/2021,Molise,13892
27/07/2021,Piemonte,366144
27/07/2021,Provincia Autonoma di Bolzano/Bozen,65158
27/07/2021,Provincia Autonoma di Trento,47280
27/07/2021,Puglia,255251
27/07/2021,Sardegna,59901
27/07/2021,Sicilia,241004
27/07/2021,Toscana,248661
27/07/2021,Umbria,58328
27/07/2021,Valle d'Aosta/Vallée d'Aoste,11691
27/07/2021,Veneto,433928
