iss_date,DATARICOVERO1,RICOVERI
07/12/2020,20/02/2020,91
07/12/2020,21/02/2020,119
07/12/2020,22/02/2020,105
07/12/2020,23/02/2020,148
07/12/2020,24/02/2020,190
07/12/2020,25/02/2020,264
07/12/2020,26/02/2020,270
07/12/2020,27/02/2020,319
07/12/2020,28/02/2020,372
07/12/2020,29/02/2020,366
07/12/2020,01/03/2020,435
07/12/2020,02/03/2020,662
07/12/2020,03/03/2020,803
07/12/2020,04/03/2020,912
07/12/2020,05/03/2020,1090
07/12/2020,06/03/2020,1220
07/12/2020,07/03/2020,1189
07/12/2020,08/03/2020,1150
07/12/2020,09/03/2020,1446
07/12/2020,10/03/2020,1585
07/12/2020,11/03/2020,1743
07/12/2020,12/03/2020,1895
07/12/2020,13/03/2020,2300
07/12/2020,14/03/2020,1981
07/12/2020,15/03/2020,1883
07/12/2020,16/03/2020,2491
07/12/2020,17/03/2020,2669
07/12/2020,18/03/2020,2705
07/12/2020,19/03/2020,2775
07/12/2020,20/03/2020,2840
07/12/2020,21/03/2020,2524
07/12/2020,22/03/2020,2188
07/12/2020,23/03/2020,2693
07/12/2020,24/03/2020,2603
07/12/2020,25/03/2020,2302
07/12/2020,26/03/2020,2107
07/12/2020,27/03/2020,2195
07/12/2020,28/03/2020,1732
07/12/2020,29/03/2020,1420
07/12/2020,30/03/2020,1677
07/12/2020,31/03/2020,1560
07/12/2020,01/04/2020,1470
07/12/2020,02/04/2020,1436
07/12/2020,03/04/2020,1226
07/12/2020,04/04/2020,1006
07/12/2020,05/04/2020,821
07/12/2020,06/04/2020,988
07/12/2020,07/04/2020,1015
07/12/2020,08/04/2020,1016
07/12/2020,09/04/2020,970
07/12/2020,10/04/2020,870
07/12/2020,11/04/2020,776
07/12/2020,12/04/2020,647
07/12/2020,13/04/2020,618
07/12/2020,14/04/2020,809
07/12/2020,15/04/2020,676
07/12/2020,16/04/2020,675
07/12/2020,17/04/2020,681
07/12/2020,18/04/2020,566
07/12/2020,19/04/2020,450
07/12/2020,20/04/2020,622
07/12/2020,21/04/2020,570
07/12/2020,22/04/2020,567
07/12/2020,23/04/2020,559
07/12/2020,24/04/2020,521
07/12/2020,25/04/2020,409
07/12/2020,26/04/2020,344
07/12/2020,27/04/2020,399
07/12/2020,28/04/2020,404
07/12/2020,29/04/2020,381
07/12/2020,30/04/2020,331
07/12/2020,01/05/2020,263
07/12/2020,02/05/2020,229
07/12/2020,03/05/2020,170
07/12/2020,04/05/2020,267
07/12/2020,05/05/2020,245
07/12/2020,06/05/2020,262
07/12/2020,07/05/2020,252
07/12/2020,08/05/2020,265
07/12/2020,09/05/2020,158
07/12/2020,10/05/2020,148
07/12/2020,11/05/2020,219
07/12/2020,12/05/2020,164
07/12/2020,13/05/2020,175
07/12/2020,14/05/2020,173
07/12/2020,15/05/2020,180
07/12/2020,16/05/2020,122
07/12/2020,17/05/2020,107
07/12/2020,18/05/2020,133
07/12/2020,19/05/2020,132
07/12/2020,20/05/2020,128
07/12/2020,21/05/2020,100
07/12/2020,22/05/2020,101
07/12/2020,23/05/2020,81
07/12/2020,24/05/2020,74
07/12/2020,25/05/2020,122
07/12/2020,26/05/2020,94
07/12/2020,27/05/2020,89
07/12/2020,28/05/2020,69
07/12/2020,29/05/2020,87
07/12/2020,30/05/2020,68
07/12/2020,31/05/2020,42
07/12/2020,01/06/2020,88
07/12/2020,02/06/2020,53
07/12/2020,03/06/2020,69
07/12/2020,04/06/2020,64
07/12/2020,05/06/2020,69
07/12/2020,06/06/2020,46
07/12/2020,07/06/2020,34
07/12/2020,08/06/2020,86
07/12/2020,09/06/2020,53
07/12/2020,10/06/2020,61
07/12/2020,11/06/2020,44
07/12/2020,12/06/2020,56
07/12/2020,13/06/2020,52
07/12/2020,14/06/2020,48
07/12/2020,15/06/2020,60
07/12/2020,16/06/2020,44
07/12/2020,17/06/2020,48
07/12/2020,18/06/2020,52
07/12/2020,19/06/2020,55
07/12/2020,20/06/2020,32
07/12/2020,21/06/2020,39
07/12/2020,22/06/2020,55
07/12/2020,23/06/2020,47
07/12/2020,24/06/2020,56
07/12/2020,25/06/2020,62
07/12/2020,26/06/2020,61
07/12/2020,27/06/2020,36
07/12/2020,28/06/2020,28
07/12/2020,29/06/2020,55
07/12/2020,30/06/2020,52
07/12/2020,01/07/2020,43
07/12/2020,02/07/2020,58
07/12/2020,03/07/2020,61
07/12/2020,04/07/2020,38
07/12/2020,05/07/2020,47
07/12/2020,06/07/2020,51
07/12/2020,07/07/2020,40
07/12/2020,08/07/2020,49
07/12/2020,09/07/2020,41
07/12/2020,10/07/2020,54
07/12/2020,11/07/2020,42
07/12/2020,12/07/2020,34
07/12/2020,13/07/2020,45
07/12/2020,14/07/2020,39
07/12/2020,15/07/2020,47
07/12/2020,16/07/2020,47
07/12/2020,17/07/2020,65
07/12/2020,18/07/2020,36
07/12/2020,19/07/2020,37
07/12/2020,20/07/2020,46
07/12/2020,21/07/2020,58
07/12/2020,22/07/2020,52
07/12/2020,23/07/2020,57
07/12/2020,24/07/2020,51
07/12/2020,25/07/2020,51
07/12/2020,26/07/2020,40
07/12/2020,27/07/2020,43
07/12/2020,28/07/2020,50
07/12/2020,29/07/2020,50
07/12/2020,30/07/2020,51
07/12/2020,31/07/2020,71
07/12/2020,01/08/2020,65
07/12/2020,02/08/2020,48
07/12/2020,03/08/2020,67
07/12/2020,04/08/2020,52
07/12/2020,05/08/2020,69
07/12/2020,06/08/2020,48
07/12/2020,07/08/2020,60
07/12/2020,08/08/2020,53
07/12/2020,09/08/2020,57
07/12/2020,10/08/2020,71
07/12/2020,11/08/2020,51
07/12/2020,12/08/2020,80
07/12/2020,13/08/2020,74
07/12/2020,14/08/2020,72
07/12/2020,15/08/2020,58
07/12/2020,16/08/2020,62
07/12/2020,17/08/2020,77
07/12/2020,18/08/2020,94
07/12/2020,19/08/2020,124
07/12/2020,20/08/2020,73
07/12/2020,21/08/2020,88
07/12/2020,22/08/2020,107
07/12/2020,23/08/2020,90
07/12/2020,24/08/2020,108
07/12/2020,25/08/2020,136
07/12/2020,26/08/2020,137
07/12/2020,27/08/2020,132
07/12/2020,28/08/2020,133
07/12/2020,29/08/2020,105
07/12/2020,30/08/2020,110
07/12/2020,31/08/2020,116
07/12/2020,01/09/2020,146
07/12/2020,02/09/2020,158
07/12/2020,03/09/2020,172
07/12/2020,04/09/2020,152
07/12/2020,05/09/2020,143
07/12/2020,06/09/2020,118
07/12/2020,07/09/2020,199
07/12/2020,08/09/2020,159
07/12/2020,09/09/2020,181
07/12/2020,10/09/2020,196
07/12/2020,11/09/2020,180
07/12/2020,12/09/2020,183
07/12/2020,13/09/2020,174
07/12/2020,14/09/2020,197
07/12/2020,15/09/2020,220
07/12/2020,16/09/2020,215
07/12/2020,17/09/2020,226
07/12/2020,18/09/2020,230
07/12/2020,19/09/2020,195
07/12/2020,20/09/2020,170
07/12/2020,21/09/2020,230
07/12/2020,22/09/2020,234
07/12/2020,23/09/2020,236
07/12/2020,24/09/2020,231
07/12/2020,25/09/2020,253
07/12/2020,26/09/2020,210
07/12/2020,27/09/2020,190
07/12/2020,28/09/2020,244
07/12/2020,29/09/2020,280
07/12/2020,30/09/2020,234
07/12/2020,01/10/2020,315
07/12/2020,02/10/2020,334
07/12/2020,03/10/2020,348
07/12/2020,04/10/2020,308
07/12/2020,05/10/2020,413
07/12/2020,06/10/2020,455
07/12/2020,07/10/2020,438
07/12/2020,08/10/2020,509
07/12/2020,09/10/2020,540
07/12/2020,10/10/2020,555
07/12/2020,11/10/2020,566
07/12/2020,12/10/2020,712
07/12/2020,13/10/2020,776
07/12/2020,14/10/2020,809
07/12/2020,15/10/2020,903
07/12/2020,16/10/2020,919
07/12/2020,17/10/2020,1095
07/12/2020,18/10/2020,1034
07/12/2020,19/10/2020,1254
