iss_date,DATA_DECESSO,DECESSI
07/12/2020,21/02/2020,<5
07/12/2020,22/02/2020,<5
07/12/2020,23/02/2020,<5
07/12/2020,24/02/2020,<5
07/12/2020,25/02/2020,8
07/12/2020,26/02/2020,<5
07/12/2020,27/02/2020,8
07/12/2020,28/02/2020,11
07/12/2020,29/02/2020,15
07/12/2020,01/03/2020,26
07/12/2020,02/03/2020,25
07/12/2020,03/03/2020,56
07/12/2020,04/03/2020,57
07/12/2020,05/03/2020,80
07/12/2020,06/03/2020,115
07/12/2020,07/03/2020,166
07/12/2020,08/03/2020,180
07/12/2020,09/03/2020,227
07/12/2020,10/03/2020,282
07/12/2020,11/03/2020,312
07/12/2020,12/03/2020,328
07/12/2020,13/03/2020,379
07/12/2020,14/03/2020,445
07/12/2020,15/03/2020,434
07/12/2020,16/03/2020,514
07/12/2020,17/03/2020,575
07/12/2020,18/03/2020,642
07/12/2020,19/03/2020,654
07/12/2020,20/03/2020,757
07/12/2020,21/03/2020,819
07/12/2020,22/03/2020,819
07/12/2020,23/03/2020,860
07/12/2020,24/03/2020,821
07/12/2020,25/03/2020,868
07/12/2020,26/03/2020,846
07/12/2020,27/03/2020,885
07/12/2020,28/03/2020,931
07/12/2020,29/03/2020,775
07/12/2020,30/03/2020,797
07/12/2020,31/03/2020,713
07/12/2020,01/04/2020,719
07/12/2020,02/04/2020,696
07/12/2020,03/04/2020,680
07/12/2020,04/04/2020,645
07/12/2020,05/04/2020,605
07/12/2020,06/04/2020,592
07/12/2020,07/04/2020,613
07/12/2020,08/04/2020,603
07/12/2020,09/04/2020,547
07/12/2020,10/04/2020,606
07/12/2020,11/04/2020,589
07/12/2020,12/04/2020,572
07/12/2020,13/04/2020,535
07/12/2020,14/04/2020,545
07/12/2020,15/04/2020,506
07/12/2020,16/04/2020,445
07/12/2020,17/04/2020,475
07/12/2020,18/04/2020,457
07/12/2020,19/04/2020,464
07/12/2020,20/04/2020,449
07/12/2020,21/04/2020,366
07/12/2020,22/04/2020,380
07/12/2020,23/04/2020,355
07/12/2020,24/04/2020,385
07/12/2020,25/04/2020,356
07/12/2020,26/04/2020,318
07/12/2020,27/04/2020,333
07/12/2020,28/04/2020,309
07/12/2020,29/04/2020,299
07/12/2020,30/04/2020,263
07/12/2020,01/05/2020,259
07/12/2020,02/05/2020,257
07/12/2020,03/05/2020,242
07/12/2020,04/05/2020,218
07/12/2020,05/05/2020,228
07/12/2020,06/05/2020,222
07/12/2020,07/05/2020,178
07/12/2020,08/05/2020,173
07/12/2020,09/05/2020,201
07/12/2020,10/05/2020,167
07/12/2020,11/05/2020,168
07/12/2020,12/05/2020,162
07/12/2020,13/05/2020,145
07/12/2020,14/05/2020,143
07/12/2020,15/05/2020,155
07/12/2020,16/05/2020,104
07/12/2020,17/05/2020,119
07/12/2020,18/05/2020,104
07/12/2020,19/05/2020,95
07/12/2020,20/05/2020,91
07/12/2020,21/05/2020,78
07/12/2020,22/05/2020,89
07/12/2020,23/05/2020,98
07/12/2020,24/05/2020,85
07/12/2020,25/05/2020,76
07/12/2020,26/05/2020,61
07/12/2020,27/05/2020,51
07/12/2020,28/05/2020,75
07/12/2020,29/05/2020,66
07/12/2020,30/05/2020,51
07/12/2020,31/05/2020,52
07/12/2020,01/06/2020,64
07/12/2020,02/06/2020,59
07/12/2020,03/06/2020,55
07/12/2020,04/06/2020,59
07/12/2020,05/06/2020,53
07/12/2020,06/06/2020,35
07/12/2020,07/06/2020,37
07/12/2020,08/06/2020,39
07/12/2020,09/06/2020,40
07/12/2020,10/06/2020,34
07/12/2020,11/06/2020,35
07/12/2020,12/06/2020,31
07/12/2020,13/06/2020,25
07/12/2020,14/06/2020,24
07/12/2020,15/06/2020,34
07/12/2020,16/06/2020,38
07/12/2020,17/06/2020,35
07/12/2020,18/06/2020,33
07/12/2020,19/06/2020,22
07/12/2020,20/06/2020,21
07/12/2020,21/06/2020,24
07/12/2020,22/06/2020,18
07/12/2020,23/06/2020,30
07/12/2020,24/06/2020,21
07/12/2020,25/06/2020,19
07/12/2020,26/06/2020,19
07/12/2020,27/06/2020,23
07/12/2020,28/06/2020,13
07/12/2020,29/06/2020,13
07/12/2020,30/06/2020,13
07/12/2020,01/07/2020,12
07/12/2020,02/07/2020,13
07/12/2020,03/07/2020,10
07/12/2020,04/07/2020,7
07/12/2020,05/07/2020,10
07/12/2020,06/07/2020,14
07/12/2020,07/07/2020,10
07/12/2020,08/07/2020,6
07/12/2020,09/07/2020,10
07/12/2020,10/07/2020,8
07/12/2020,11/07/2020,8
07/12/2020,12/07/2020,9
07/12/2020,13/07/2020,17
07/12/2020,14/07/2020,6
07/12/2020,15/07/2020,<5
07/12/2020,16/07/2020,15
07/12/2020,17/07/2020,5
07/12/2020,18/07/2020,14
07/12/2020,19/07/2020,10
07/12/2020,20/07/2020,7
07/12/2020,21/07/2020,8
07/12/2020,22/07/2020,11
07/12/2020,23/07/2020,<5
07/12/2020,24/07/2020,8
07/12/2020,25/07/2020,<5
07/12/2020,26/07/2020,5
07/12/2020,27/07/2020,16
07/12/2020,28/07/2020,<5
07/12/2020,29/07/2020,8
07/12/2020,30/07/2020,7
07/12/2020,31/07/2020,<5
07/12/2020,01/08/2020,<5
07/12/2020,02/08/2020,<5
07/12/2020,03/08/2020,7
07/12/2020,04/08/2020,<5
07/12/2020,05/08/2020,7
07/12/2020,06/08/2020,6
07/12/2020,07/08/2020,9
07/12/2020,08/08/2020,5
07/12/2020,09/08/2020,<5
07/12/2020,10/08/2020,9
07/12/2020,11/08/2020,7
07/12/2020,12/08/2020,<5
07/12/2020,13/08/2020,6
07/12/2020,14/08/2020,9
07/12/2020,16/08/2020,8
07/12/2020,17/08/2020,<5
07/12/2020,18/08/2020,5
07/12/2020,19/08/2020,7
07/12/2020,20/08/2020,11
07/12/2020,21/08/2020,<5
07/12/2020,22/08/2020,5
07/12/2020,23/08/2020,<5
07/12/2020,24/08/2020,7
07/12/2020,25/08/2020,7
07/12/2020,26/08/2020,11
07/12/2020,27/08/2020,7
07/12/2020,29/08/2020,<5
07/12/2020,30/08/2020,7
07/12/2020,31/08/2020,9
07/12/2020,01/09/2020,9
07/12/2020,02/09/2020,12
07/12/2020,03/09/2020,10
07/12/2020,04/09/2020,12
07/12/2020,05/09/2020,12
07/12/2020,06/09/2020,6
07/12/2020,07/09/2020,17
07/12/2020,08/09/2020,5
07/12/2020,09/09/2020,7
07/12/2020,10/09/2020,8
07/12/2020,11/09/2020,6
07/12/2020,12/09/2020,10
07/12/2020,13/09/2020,14
07/12/2020,14/09/2020,13
07/12/2020,15/09/2020,17
07/12/2020,16/09/2020,16
07/12/2020,17/09/2020,16
07/12/2020,18/09/2020,24
07/12/2020,19/09/2020,16
07/12/2020,20/09/2020,19
07/12/2020,21/09/2020,16
07/12/2020,22/09/2020,13
07/12/2020,23/09/2020,26
07/12/2020,24/09/2020,19
07/12/2020,25/09/2020,29
07/12/2020,26/09/2020,18
07/12/2020,27/09/2020,24
07/12/2020,28/09/2020,21
07/12/2020,29/09/2020,25
07/12/2020,30/09/2020,18
07/12/2020,01/10/2020,23
07/12/2020,02/10/2020,30
07/12/2020,03/10/2020,18
07/12/2020,04/10/2020,21
07/12/2020,05/10/2020,39
07/12/2020,06/10/2020,25
07/12/2020,07/10/2020,27
07/12/2020,08/10/2020,32
07/12/2020,09/10/2020,41
07/12/2020,10/10/2020,46
07/12/2020,11/10/2020,44
07/12/2020,12/10/2020,67
07/12/2020,13/10/2020,66
07/12/2020,14/10/2020,66
07/12/2020,15/10/2020,68
07/12/2020,16/10/2020,93
07/12/2020,17/10/2020,86
07/12/2020,18/10/2020,98
07/12/2020,19/10/2020,100
07/12/2020,20/10/2020,138
07/12/2020,21/10/2020,139
07/12/2020,22/10/2020,154
07/12/2020,23/10/2020,169
07/12/2020,24/10/2020,207
07/12/2020,25/10/2020,189
07/12/2020,26/10/2020,228
07/12/2020,27/10/2020,224
07/12/2020,28/10/2020,299
07/12/2020,29/10/2020,281
07/12/2020,30/10/2020,332
07/12/2020,31/10/2020,341
07/12/2020,01/11/2020,333
07/12/2020,02/11/2020,410
07/12/2020,03/11/2020,398
07/12/2020,04/11/2020,435
07/12/2020,05/11/2020,503
07/12/2020,06/11/2020,474
07/12/2020,07/11/2020,459
07/12/2020,08/11/2020,523
07/12/2020,09/11/2020,554
07/12/2020,10/11/2020,590
07/12/2020,11/11/2020,615
07/12/2020,12/11/2020,651
07/12/2020,13/11/2020,601
07/12/2020,14/11/2020,624
07/12/2020,15/11/2020,626
07/12/2020,16/11/2020,687
07/12/2020,17/11/2020,674
07/12/2020,18/11/2020,682
07/12/2020,19/11/2020,700
07/12/2020,20/11/2020,633
07/12/2020,21/11/2020,541
07/12/2020,22/11/2020,581
07/12/2020,23/11/2020,601
07/12/2020,24/11/2020,595
07/12/2020,25/11/2020,600
07/12/2020,26/11/2020,537
07/12/2020,27/11/2020,544
07/12/2020,28/11/2020,511
07/12/2020,29/11/2020,467
07/12/2020,30/11/2020,454
07/12/2020,01/12/2020,424
07/12/2020,02/12/2020,429
07/12/2020,03/12/2020,367
07/12/2020,04/12/2020,294
07/12/2020,05/12/2020,213
07/12/2020,06/12/2020,90
07/12/2020,07/12/2020,5
07/12/2020,,1653768
