iss_date,NOME_NUTS2,CASI_CUMULATIVI
07/12/2020,Abruzzo,30354
07/12/2020,Basilicata,8791
07/12/2020,Calabria,19896
07/12/2020,Campania,163546
07/12/2020,Emilia-Romagna,133761
07/12/2020,Friuli-Venezia Giulia,26347
07/12/2020,Lazio,135127
07/12/2020,Liguria,53815
07/12/2020,Lombardia,430570
07/12/2020,Marche,28966
07/12/2020,Molise,5315
07/12/2020,Piemonte,173558
07/12/2020,Provincia Autonoma di Bolzano/Bozen,25472
07/12/2020,Provincia Autonoma di Trento,17102
07/12/2020,Puglia,64423
07/12/2020,Sardegna,19060
07/12/2020,Sicilia,70997
07/12/2020,Toscana,107618
07/12/2020,Umbria,23744
07/12/2020,Valle d'Aosta/Vallée d'Aoste,6754
07/12/2020,Veneto,166904
