iss_date,NOME_NUTS2,CASI_CUMULATIVI
02/03/2022,Abruzzo,265539
02/03/2022,Basilicata,84879
02/03/2022,Calabria,184156
02/03/2022,Campania,1209358
02/03/2022,Emilia-Romagna,1187661
02/03/2022,Friuli-Venezia Giulia,271362
02/03/2022,Lazio,1105078
02/03/2022,Liguria,338262
02/03/2022,Lombardia,2341775
02/03/2022,Marche,312690
02/03/2022,Molise,39007
02/03/2022,Piemonte,968936
02/03/2022,Provincia Autonoma di Bolzano/Bozen,168946
02/03/2022,Provincia Autonoma di Trento,140408
02/03/2022,Puglia,741861
02/03/2022,Sardegna,187492
02/03/2022,Sicilia,741580
02/03/2022,Toscana,892095
02/03/2022,Umbria,191584
02/03/2022,Valle d'Aosta/Vallée d'Aoste,31558
02/03/2022,Veneto,1333148
