iss_date,SESSO,AGE_GROUP,DECEDUTI,CASI_CUMULATIVI
08/06/2021,F,0-9,7,111452
08/06/2021,F,10-19,7,194551
08/06/2021,F,20-29,24,245852
08/06/2021,F,30-39,89,269406
08/06/2021,F,40-49,323,354527
08/06/2021,F,50-59,1217,373125
08/06/2021,F,60-69,3511,223731
08/06/2021,F,70-79,10163,166791
08/06/2021,F,80-89,23089,149731
08/06/2021,F,>90,15879,66308
08/06/2021,F,Non noto,<5,54
08/06/2021,M,0-9,<5,119579
08/06/2021,M,10-19,9,211426
08/06/2021,M,20-29,43,252962
08/06/2021,M,30-39,155,256310
08/06/2021,M,40-49,770,322297
08/06/2021,M,50-59,3141,359024
08/06/2021,M,60-69,9250,241602
08/06/2021,M,70-79,21312,171984
08/06/2021,M,80-89,27479,103737
08/06/2021,M,>90,8396,21217
08/06/2021,M,Non noto,<5,49
08/06/2021,Non noto,20-29,<5,<5
08/06/2021,Non noto,30-39,<5,<5
08/06/2021,Non noto,40-49,<5,<5
08/06/2021,Non noto,50-59,<5,<5
08/06/2021,Non noto,60-69,<5,<5
08/06/2021,Non noto,80-89,<5,7
