iss_date,NOME_NUTS2,CASI_CUMULATIVI
20/03/2022,Abruzzo,289327
20/03/2022,Basilicata,95466
20/03/2022,Calabria,217417
20/03/2022,Campania,1296384
20/03/2022,Emilia-Romagna,1235382
20/03/2022,Friuli-Venezia Giulia,284986
20/03/2022,Lazio,1199289
20/03/2022,Liguria,359134
20/03/2022,Lombardia,2439360
20/03/2022,Marche,332441
20/03/2022,Molise,43759
20/03/2022,Piemonte,993349
20/03/2022,Provincia Autonoma di Bolzano/Bozen,177706
20/03/2022,Provincia Autonoma di Trento,145948
20/03/2022,Puglia,830355
20/03/2022,Sardegna,220114
20/03/2022,Sicilia,849299
20/03/2022,Toscana,961855
20/03/2022,Umbria,220251
20/03/2022,Valle d'Aosta/Vallée d'Aoste,32342
20/03/2022,Veneto,1410634
