iss_date,DATA_INIZIO_SINTOMI,CASI
20/03/2022,28/01/2020,16
20/03/2022,29/01/2020,21
20/03/2022,30/01/2020,30
20/03/2022,31/01/2020,34
20/03/2022,01/02/2020,53
20/03/2022,02/02/2020,42
20/03/2022,03/02/2020,25
20/03/2022,04/02/2020,24
20/03/2022,05/02/2020,29
20/03/2022,06/02/2020,26
20/03/2022,07/02/2020,22
20/03/2022,08/02/2020,17
20/03/2022,09/02/2020,17
20/03/2022,10/02/2020,61
20/03/2022,11/02/2020,33
20/03/2022,12/02/2020,54
20/03/2022,13/02/2020,51
20/03/2022,14/02/2020,68
20/03/2022,15/02/2020,151
20/03/2022,16/02/2020,83
20/03/2022,17/02/2020,146
20/03/2022,18/02/2020,164
20/03/2022,19/02/2020,145
20/03/2022,20/02/2020,408
20/03/2022,21/02/2020,317
20/03/2022,22/02/2020,402
20/03/2022,23/02/2020,502
20/03/2022,24/02/2020,676
20/03/2022,25/02/2020,816
20/03/2022,26/02/2020,740
20/03/2022,27/02/2020,899
20/03/2022,28/02/2020,1209
20/03/2022,29/02/2020,1079
20/03/2022,01/03/2020,2480
20/03/2022,02/03/2020,1944
20/03/2022,03/03/2020,2252
20/03/2022,04/03/2020,1957
20/03/2022,05/03/2020,2625
20/03/2022,06/03/2020,2968
20/03/2022,07/03/2020,3130
20/03/2022,08/03/2020,3698
20/03/2022,09/03/2020,4452
20/03/2022,10/03/2020,6141
20/03/2022,11/03/2020,4241
20/03/2022,12/03/2020,4811
20/03/2022,13/03/2020,5372
20/03/2022,14/03/2020,4694
20/03/2022,15/03/2020,5865
20/03/2022,16/03/2020,5346
20/03/2022,17/03/2020,4559
20/03/2022,18/03/2020,4791
20/03/2022,19/03/2020,4272
20/03/2022,20/03/2020,6188
20/03/2022,21/03/2020,3845
20/03/2022,22/03/2020,3801
20/03/2022,23/03/2020,4388
20/03/2022,24/03/2020,3580
20/03/2022,25/03/2020,3826
20/03/2022,26/03/2020,3304
20/03/2022,27/03/2020,3528
20/03/2022,28/03/2020,3152
20/03/2022,29/03/2020,2377
20/03/2022,30/03/2020,3676
20/03/2022,31/03/2020,2599
20/03/2022,01/04/2020,4116
20/03/2022,02/04/2020,2705
20/03/2022,03/04/2020,2716
20/03/2022,04/04/2020,2357
