iss_date,NOME_NUTS2,CASI_CUMULATIVI
11/06/2021,Abruzzo,74423
11/06/2021,Basilicata,26240
11/06/2021,Calabria,67735
11/06/2021,Campania,405453
11/06/2021,Emilia-Romagna,385316
11/06/2021,Friuli-Venezia Giulia,103862
11/06/2021,Lazio,352358
11/06/2021,Liguria,103181
11/06/2021,Lombardia,837876
11/06/2021,Marche,102236
11/06/2021,Molise,13632
11/06/2021,Piemonte,363377
11/06/2021,Provincia Autonoma di Bolzano/Bozen,64611
11/06/2021,Provincia Autonoma di Trento,46703
11/06/2021,Puglia,252034
11/06/2021,Sardegna,56973
11/06/2021,Sicilia,229914
11/06/2021,Toscana,242696
11/06/2021,Umbria,57123
11/06/2021,Valle d'Aosta/Vallée d'Aoste,11587
11/06/2021,Veneto,425296
