iss_date,DATA_INIZIO_SINTOMI,CASI_SINT
05/02/2021,28/01/2020,18
05/02/2021,29/01/2020,22
05/02/2021,30/01/2020,27
05/02/2021,31/01/2020,22
05/02/2021,01/02/2020,49
05/02/2021,02/02/2020,31
05/02/2021,03/02/2020,22
05/02/2021,04/02/2020,21
05/02/2021,05/02/2020,29
05/02/2021,06/02/2020,23
05/02/2021,07/02/2020,16
05/02/2021,08/02/2020,14
05/02/2021,09/02/2020,16
05/02/2021,10/02/2020,55
05/02/2021,11/02/2020,19
05/02/2021,12/02/2020,47
05/02/2021,13/02/2020,42
05/02/2021,14/02/2020,60
05/02/2021,15/02/2020,137
05/02/2021,16/02/2020,79
05/02/2021,17/02/2020,127
05/02/2021,18/02/2020,153
05/02/2021,19/02/2020,129
05/02/2021,20/02/2020,379
05/02/2021,21/02/2020,294
05/02/2021,22/02/2020,360
05/02/2021,23/02/2020,470
05/02/2021,24/02/2020,621
05/02/2021,25/02/2020,778
05/02/2021,26/02/2020,693
05/02/2021,27/02/2020,802
05/02/2021,28/02/2020,1137
05/02/2021,29/02/2020,1003
05/02/2021,01/03/2020,2250
05/02/2021,02/03/2020,1797
05/02/2021,03/03/2020,2033
05/02/2021,04/03/2020,1759
05/02/2021,05/03/2020,2387
05/02/2021,06/03/2020,2664
05/02/2021,07/03/2020,2852
05/02/2021,08/03/2020,3343
05/02/2021,09/03/2020,3946
05/02/2021,10/03/2020,5477
05/02/2021,11/03/2020,3740
05/02/2021,12/03/2020,4231
05/02/2021,13/03/2020,4732
05/02/2021,14/03/2020,4110
05/02/2021,15/03/2020,5209
05/02/2021,16/03/2020,4715
05/02/2021,17/03/2020,4027
05/02/2021,18/03/2020,4219
05/02/2021,19/03/2020,3753
05/02/2021,20/03/2020,5347
05/02/2021,21/03/2020,3318
05/02/2021,22/03/2020,3329
05/02/2021,23/03/2020,3805
05/02/2021,24/03/2020,3036
05/02/2021,25/03/2020,3232
05/02/2021,26/03/2020,2778
05/02/2021,27/03/2020,3018
05/02/2021,28/03/2020,2674
05/02/2021,29/03/2020,2086
05/02/2021,30/03/2020,3058
05/02/2021,31/03/2020,2135
05/02/2021,01/04/2020,3343
05/02/2021,02/04/2020,2158
05/02/2021,03/04/2020,2248
05/02/2021,04/04/2020,1867
05/02/2021,05/04/2020,1700
05/02/2021,06/04/2020,1952
05/02/2021,07/04/2020,1807
05/02/2021,08/04/2020,1797
05/02/2021,09/04/2020,1617
05/02/2021,10/04/2020,2195
05/02/2021,11/04/2020,1290
05/02/2021,12/04/2020,1435
05/02/2021,13/04/2020,1306
05/02/2021,14/04/2020,1535
05/02/2021,15/04/2020,1721
05/02/2021,16/04/2020,1364
05/02/2021,17/04/2020,1332
05/02/2021,18/04/2020,1119
05/02/2021,19/04/2020,876
05/02/2021,20/04/2020,1601
05/02/2021,21/04/2020,1009
05/02/2021,22/04/2020,1028
05/02/2021,23/04/2020,940
05/02/2021,24/04/2020,829
05/02/2021,25/04/2020,729
05/02/2021,26/04/2020,571
05/02/2021,27/04/2020,892
05/02/2021,28/04/2020,653
05/02/2021,29/04/2020,609
05/02/2021,30/04/2020,547
05/02/2021,01/05/2020,547
05/02/2021,02/05/2020,408
05/02/2021,03/05/2020,320
05/02/2021,04/05/2020,440
05/02/2021,05/05/2020,456
05/02/2021,06/05/2020,383
05/02/2021,07/05/2020,352
05/02/2021,08/05/2020,401
05/02/2021,09/05/2020,212
05/02/2021,10/05/2020,269
05/02/2021,11/05/2020,311
05/02/2021,12/05/2020,320
05/02/2021,13/05/2020,272
05/02/2021,14/05/2020,237
05/02/2021,15/05/2020,271
05/02/2021,16/05/2020,184
05/02/2021,17/05/2020,152
05/02/2021,18/05/2020,255
05/02/2021,19/05/2020,204
05/02/2021,20/05/2020,228
05/02/2021,21/05/2020,164
05/02/2021,22/05/2020,154
05/02/2021,23/05/2020,112
05/02/2021,24/05/2020,81
05/02/2021,25/05/2020,173
05/02/2021,26/05/2020,144
05/02/2021,27/05/2020,153
05/02/2021,28/05/2020,110
05/02/2021,29/05/2020,113
05/02/2021,30/05/2020,94
05/02/2021,31/05/2020,57
05/02/2021,01/06/2020,136
05/02/2021,02/06/2020,56
05/02/2021,03/06/2020,110
05/02/2021,04/06/2020,84
05/02/2021,05/06/2020,113
05/02/2021,06/06/2020,74
05/02/2021,07/06/2020,63
05/02/2021,08/06/2020,111
05/02/2021,09/06/2020,95
05/02/2021,10/06/2020,103
05/02/2021,11/06/2020,77
05/02/2021,12/06/2020,101
05/02/2021,13/06/2020,64
05/02/2021,14/06/2020,76
05/02/2021,15/06/2020,97
05/02/2021,16/06/2020,81
05/02/2021,17/06/2020,70
05/02/2021,18/06/2020,69
05/02/2021,19/06/2020,72
05/02/2021,20/06/2020,58
05/02/2021,21/06/2020,53
05/02/2021,22/06/2020,78
05/02/2021,23/06/2020,66
05/02/2021,24/06/2020,86
05/02/2021,25/06/2020,77
05/02/2021,26/06/2020,79
05/02/2021,27/06/2020,65
05/02/2021,28/06/2020,54
05/02/2021,29/06/2020,86
05/02/2021,30/06/2020,67
05/02/2021,01/07/2020,99
05/02/2021,02/07/2020,76
05/02/2021,03/07/2020,65
05/02/2021,04/07/2020,68
05/02/2021,05/07/2020,58
05/02/2021,06/07/2020,87
05/02/2021,07/07/2020,89
05/02/2021,08/07/2020,95
05/02/2021,09/07/2020,78
05/02/2021,10/07/2020,101
05/02/2021,11/07/2020,79
05/02/2021,12/07/2020,70
05/02/2021,13/07/2020,99
05/02/2021,14/07/2020,109
05/02/2021,15/07/2020,95
05/02/2021,16/07/2020,79
05/02/2021,17/07/2020,101
05/02/2021,18/07/2020,87
05/02/2021,19/07/2020,85
05/02/2021,20/07/2020,136
05/02/2021,21/07/2020,113
05/02/2021,22/07/2020,109
05/02/2021,23/07/2020,123
05/02/2021,24/07/2020,115
05/02/2021,25/07/2020,123
05/02/2021,26/07/2020,91
05/02/2021,27/07/2020,125
05/02/2021,28/07/2020,130
05/02/2021,29/07/2020,124
05/02/2021,30/07/2020,112
05/02/2021,31/07/2020,114
05/02/2021,01/08/2020,153
05/02/2021,02/08/2020,115
05/02/2021,03/08/2020,193
05/02/2021,04/08/2020,184
05/02/2021,05/08/2020,199
05/02/2021,06/08/2020,201
05/02/2021,07/08/2020,192
05/02/2021,08/08/2020,232
05/02/2021,09/08/2020,203
05/02/2021,10/08/2020,267
05/02/2021,11/08/2020,241
05/02/2021,12/08/2020,256
05/02/2021,13/08/2020,274
05/02/2021,14/08/2020,291
05/02/2021,15/08/2020,337
05/02/2021,16/08/2020,340
05/02/2021,17/08/2020,543
05/02/2021,18/08/2020,583
05/02/2021,19/08/2020,535
05/02/2021,20/08/2020,537
05/02/2021,21/08/2020,579
05/02/2021,22/08/2020,544
05/02/2021,23/08/2020,573
