iss_date,DATA_DECESSO,DECESSI
05/02/2021,07/09/2020,17
05/02/2021,08/09/2020,5
05/02/2021,09/09/2020,7
05/02/2021,10/09/2020,8
05/02/2021,11/09/2020,6
05/02/2021,12/09/2020,12
05/02/2021,13/09/2020,14
05/02/2021,14/09/2020,13
05/02/2021,15/09/2020,17
05/02/2021,16/09/2020,17
05/02/2021,17/09/2020,16
05/02/2021,18/09/2020,25
05/02/2021,19/09/2020,16
05/02/2021,20/09/2020,19
05/02/2021,21/09/2020,16
05/02/2021,22/09/2020,13
05/02/2021,23/09/2020,26
05/02/2021,24/09/2020,19
05/02/2021,25/09/2020,29
05/02/2021,26/09/2020,19
05/02/2021,27/09/2020,25
05/02/2021,28/09/2020,21
05/02/2021,29/09/2020,25
05/02/2021,30/09/2020,19
05/02/2021,01/10/2020,27
05/02/2021,02/10/2020,30
05/02/2021,03/10/2020,17
05/02/2021,04/10/2020,22
05/02/2021,05/10/2020,39
05/02/2021,06/10/2020,25
05/02/2021,07/10/2020,32
05/02/2021,08/10/2020,38
05/02/2021,09/10/2020,39
05/02/2021,10/10/2020,50
05/02/2021,11/10/2020,51
05/02/2021,12/10/2020,71
05/02/2021,13/10/2020,70
05/02/2021,14/10/2020,70
05/02/2021,15/10/2020,68
05/02/2021,16/10/2020,103
05/02/2021,17/10/2020,89
05/02/2021,18/10/2020,105
05/02/2021,19/10/2020,108
05/02/2021,20/10/2020,144
05/02/2021,21/10/2020,146
05/02/2021,22/10/2020,160
05/02/2021,23/10/2020,180
05/02/2021,24/10/2020,212
05/02/2021,25/10/2020,195
05/02/2021,26/10/2020,248
05/02/2021,27/10/2020,233
05/02/2021,28/10/2020,309
05/02/2021,29/10/2020,298
05/02/2021,30/10/2020,351
05/02/2021,31/10/2020,365
05/02/2021,01/11/2020,355
05/02/2021,02/11/2020,436
05/02/2021,03/11/2020,428
05/02/2021,04/11/2020,466
05/02/2021,05/11/2020,530
05/02/2021,06/11/2020,510
05/02/2021,07/11/2020,493
05/02/2021,08/11/2020,566
05/02/2021,09/11/2020,601
