iss_date,NOME_NUTS2,CASI_CUMULATIVI
05/02/2021,Abruzzo,44171
05/02/2021,Basilicata,13225
05/02/2021,Calabria,34007
05/02/2021,Campania,222511
05/02/2021,Emilia-Romagna,222799
05/02/2021,Friuli-Venezia Giulia,63598
05/02/2021,Lazio,212969
05/02/2021,Liguria,70793
05/02/2021,Lombardia,544340
05/02/2021,Marche,54695
05/02/2021,Molise,8516
05/02/2021,Piemonte,225948
05/02/2021,Provincia Autonoma di Bolzano/Bozen,41912
05/02/2021,Provincia Autonoma di Trento,29279
05/02/2021,Puglia,126179
05/02/2021,Sardegna,38060
05/02/2021,Sicilia,140020
05/02/2021,Toscana,136220
05/02/2021,Umbria,37483
05/02/2021,Valle d'Aosta/Vallée d'Aoste,7832
05/02/2021,Veneto,314072
