iss_date,DATARICOVERO1,RICOVERI
05/02/2021,03/09/2020,176
05/02/2021,04/09/2020,160
05/02/2021,05/09/2020,146
05/02/2021,06/09/2020,118
05/02/2021,07/09/2020,198
05/02/2021,08/09/2020,163
05/02/2021,09/09/2020,182
05/02/2021,10/09/2020,198
05/02/2021,11/09/2020,183
05/02/2021,12/09/2020,181
05/02/2021,13/09/2020,173
05/02/2021,14/09/2020,205
05/02/2021,15/09/2020,224
05/02/2021,16/09/2020,220
05/02/2021,17/09/2020,231
05/02/2021,18/09/2020,235
05/02/2021,19/09/2020,192
05/02/2021,20/09/2020,167
05/02/2021,21/09/2020,238
05/02/2021,22/09/2020,242
05/02/2021,23/09/2020,237
05/02/2021,24/09/2020,231
05/02/2021,25/09/2020,259
05/02/2021,26/09/2020,217
05/02/2021,27/09/2020,191
05/02/2021,28/09/2020,251
05/02/2021,29/09/2020,275
05/02/2021,30/09/2020,237
05/02/2021,01/10/2020,314
05/02/2021,02/10/2020,338
05/02/2021,03/10/2020,352
05/02/2021,04/10/2020,318
05/02/2021,05/10/2020,420
05/02/2021,06/10/2020,465
05/02/2021,07/10/2020,457
05/02/2021,08/10/2020,508
05/02/2021,09/10/2020,546
05/02/2021,10/10/2020,559
05/02/2021,11/10/2020,583
05/02/2021,12/10/2020,728
05/02/2021,13/10/2020,804
05/02/2021,14/10/2020,816
05/02/2021,15/10/2020,935
05/02/2021,16/10/2020,930
05/02/2021,17/10/2020,1100
05/02/2021,18/10/2020,1045
05/02/2021,19/10/2020,1269
05/02/2021,20/10/2020,1373
05/02/2021,21/10/2020,1385
05/02/2021,22/10/2020,1498
05/02/2021,23/10/2020,1680
05/02/2021,24/10/2020,1567
05/02/2021,25/10/2020,1659
05/02/2021,26/10/2020,1952
05/02/2021,27/10/2020,1947
05/02/2021,28/10/2020,1990
05/02/2021,29/10/2020,2088
05/02/2021,30/10/2020,2277
05/02/2021,31/10/2020,2052
05/02/2021,01/11/2020,1919
05/02/2021,02/11/2020,2404
05/02/2021,03/11/2020,2469
05/02/2021,04/11/2020,2599
05/02/2021,05/11/2020,2608
05/02/2021,06/11/2020,2540
05/02/2021,07/11/2020,2401
05/02/2021,08/11/2020,2162
05/02/2021,09/11/2020,2461
05/02/2021,10/11/2020,2491
05/02/2021,11/11/2020,2618
05/02/2021,12/11/2020,2516
05/02/2021,13/11/2020,2533
05/02/2021,14/11/2020,2288
05/02/2021,15/11/2020,1978
05/02/2021,16/11/2020,2446
05/02/2021,17/11/2020,2440
