iss_date,DATA_INIZIO_SINTOMI,CASI
12/03/2022,28/01/2020,16
12/03/2022,29/01/2020,21
12/03/2022,30/01/2020,30
12/03/2022,31/01/2020,34
12/03/2022,01/02/2020,53
12/03/2022,02/02/2020,42
12/03/2022,03/02/2020,25
12/03/2022,04/02/2020,24
12/03/2022,05/02/2020,29
12/03/2022,06/02/2020,26
12/03/2022,07/02/2020,22
12/03/2022,08/02/2020,17
12/03/2022,09/02/2020,17
12/03/2022,10/02/2020,61
12/03/2022,11/02/2020,33
12/03/2022,12/02/2020,54
12/03/2022,13/02/2020,51
12/03/2022,14/02/2020,68
12/03/2022,15/02/2020,151
12/03/2022,16/02/2020,83
12/03/2022,17/02/2020,146
12/03/2022,18/02/2020,164
12/03/2022,19/02/2020,145
12/03/2022,20/02/2020,408
12/03/2022,21/02/2020,317
12/03/2022,22/02/2020,402
12/03/2022,23/02/2020,502
12/03/2022,24/02/2020,676
12/03/2022,25/02/2020,816
12/03/2022,26/02/2020,740
12/03/2022,27/02/2020,899
12/03/2022,28/02/2020,1209
12/03/2022,29/02/2020,1079
12/03/2022,01/03/2020,2480
12/03/2022,02/03/2020,1944
12/03/2022,03/03/2020,2252
12/03/2022,04/03/2020,1956
12/03/2022,05/03/2020,2625
12/03/2022,06/03/2020,2968
12/03/2022,07/03/2020,3130
12/03/2022,08/03/2020,3698
12/03/2022,09/03/2020,4452
12/03/2022,10/03/2020,6141
12/03/2022,11/03/2020,4241
12/03/2022,12/03/2020,4811
12/03/2022,13/03/2020,5372
12/03/2022,14/03/2020,4694
12/03/2022,15/03/2020,5864
12/03/2022,16/03/2020,5345
12/03/2022,17/03/2020,4559
12/03/2022,18/03/2020,4791
12/03/2022,19/03/2020,4272
12/03/2022,20/03/2020,6189
12/03/2022,21/03/2020,3845
12/03/2022,22/03/2020,3801
12/03/2022,23/03/2020,4390
12/03/2022,24/03/2020,3580
12/03/2022,25/03/2020,3825
12/03/2022,26/03/2020,3303
12/03/2022,27/03/2020,3529
12/03/2022,28/03/2020,3151
12/03/2022,29/03/2020,2377
12/03/2022,30/03/2020,3676
12/03/2022,31/03/2020,2599
12/03/2022,01/04/2020,4117
12/03/2022,02/04/2020,2705
12/03/2022,03/04/2020,2717
12/03/2022,04/04/2020,2356
12/03/2022,05/04/2020,2056
12/03/2022,06/04/2020,2456
12/03/2022,07/04/2020,2269
12/03/2022,08/04/2020,2144
12/03/2022,09/04/2020,2066
12/03/2022,10/04/2020,2723
12/03/2022,11/04/2020,1618
12/03/2022,12/04/2020,1645
12/03/2022,13/04/2020,1509
12/03/2022,14/04/2020,1856
12/03/2022,15/04/2020,2170
12/03/2022,16/04/2020,1670
12/03/2022,17/04/2020,1638
12/03/2022,18/04/2020,1298
12/03/2022,19/04/2020,1047
12/03/2022,20/04/2020,1904
12/03/2022,21/04/2020,1198
12/03/2022,22/04/2020,1231
12/03/2022,23/04/2020,1251
12/03/2022,24/04/2020,1119
12/03/2022,25/04/2020,884
12/03/2022,26/04/2020,676
12/03/2022,27/04/2020,1124
12/03/2022,28/04/2020,871
12/03/2022,29/04/2020,926
12/03/2022,30/04/2020,865
12/03/2022,01/05/2020,700
12/03/2022,02/05/2020,510
12/03/2022,03/05/2020,410
12/03/2022,04/05/2020,654
12/03/2022,05/05/2020,631
12/03/2022,06/05/2020,566
12/03/2022,07/05/2020,498
12/03/2022,08/05/2020,524
12/03/2022,09/05/2020,301
12/03/2022,10/05/2020,334
12/03/2022,11/05/2020,440
12/03/2022,12/05/2020,449
12/03/2022,13/05/2020,387
12/03/2022,14/05/2020,336
12/03/2022,15/05/2020,344
12/03/2022,16/05/2020,243
12/03/2022,17/05/2020,188
12/03/2022,18/05/2020,305
12/03/2022,19/05/2020,254
12/03/2022,20/05/2020,292
12/03/2022,21/05/2020,227
12/03/2022,22/05/2020,193
12/03/2022,23/05/2020,141
12/03/2022,24/05/2020,106
12/03/2022,25/05/2020,236
12/03/2022,26/05/2020,184
12/03/2022,27/05/2020,213
12/03/2022,28/05/2020,173
12/03/2022,29/05/2020,142
12/03/2022,30/05/2020,121
12/03/2022,31/05/2020,69
12/03/2022,01/06/2020,173
12/03/2022,02/06/2020,66
12/03/2022,03/06/2020,138
12/03/2022,04/06/2020,128
12/03/2022,05/06/2020,164
12/03/2022,06/06/2020,98
12/03/2022,07/06/2020,74
12/03/2022,08/06/2020,135
12/03/2022,09/06/2020,125
12/03/2022,10/06/2020,116
12/03/2022,11/06/2020,110
12/03/2022,12/06/2020,126
12/03/2022,13/06/2020,75
12/03/2022,14/06/2020,82
12/03/2022,15/06/2020,120
12/03/2022,16/06/2020,107
12/03/2022,17/06/2020,97
12/03/2022,18/06/2020,96
12/03/2022,19/06/2020,90
12/03/2022,20/06/2020,69
12/03/2022,21/06/2020,66
12/03/2022,22/06/2020,90
12/03/2022,23/06/2020,79
12/03/2022,24/06/2020,99
12/03/2022,25/06/2020,91
12/03/2022,26/06/2020,109
12/03/2022,27/06/2020,77
12/03/2022,28/06/2020,61
12/03/2022,29/06/2020,103
12/03/2022,30/06/2020,71
12/03/2022,01/07/2020,118
12/03/2022,02/07/2020,90
12/03/2022,03/07/2020,76
12/03/2022,04/07/2020,84
12/03/2022,05/07/2020,68
12/03/2022,06/07/2020,102
12/03/2022,07/07/2020,107
12/03/2022,08/07/2020,105
12/03/2022,09/07/2020,84
12/03/2022,10/07/2020,117
12/03/2022,11/07/2020,83
12/03/2022,12/07/2020,80
12/03/2022,13/07/2020,108
12/03/2022,14/07/2020,115
12/03/2022,15/07/2020,101
12/03/2022,16/07/2020,96
