iss_date,NOME_NUTS2,CASI_CUMULATIVI
12/03/2022,Abruzzo,275584
12/03/2022,Basilicata,89934
12/03/2022,Calabria,201949
12/03/2022,Campania,1249582
12/03/2022,Emilia-Romagna,1210190
12/03/2022,Friuli-Venezia Giulia,278039
12/03/2022,Lazio,1145673
12/03/2022,Liguria,347106
12/03/2022,Lombardia,2383741
12/03/2022,Marche,326778
12/03/2022,Molise,41671
12/03/2022,Piemonte,980399
12/03/2022,Provincia Autonoma di Bolzano/Bozen,171568
12/03/2022,Provincia Autonoma di Trento,142896
12/03/2022,Puglia,777552
12/03/2022,Sardegna,204031
12/03/2022,Sicilia,791883
12/03/2022,Toscana,924422
12/03/2022,Umbria,203180
12/03/2022,Valle d'Aosta/Vallée d'Aoste,31911
12/03/2022,Veneto,1367735
