iss_date,DATA_INIZIO_SINTOMI,CASI_SINT
06/01/2021,28/01/2020,9
06/01/2021,29/01/2020,19
06/01/2021,30/01/2020,21
06/01/2021,31/01/2020,19
06/01/2021,01/02/2020,44
06/01/2021,02/02/2020,33
06/01/2021,03/02/2020,21
06/01/2021,04/02/2020,21
06/01/2021,05/02/2020,29
06/01/2021,06/02/2020,23
06/01/2021,07/02/2020,16
06/01/2021,08/02/2020,14
06/01/2021,09/02/2020,14
06/01/2021,10/02/2020,55
06/01/2021,11/02/2020,19
06/01/2021,12/02/2020,47
06/01/2021,13/02/2020,41
06/01/2021,14/02/2020,60
06/01/2021,15/02/2020,136
06/01/2021,16/02/2020,81
06/01/2021,17/02/2020,127
06/01/2021,18/02/2020,152
06/01/2021,19/02/2020,127
06/01/2021,20/02/2020,379
06/01/2021,21/02/2020,295
06/01/2021,22/02/2020,366
06/01/2021,23/02/2020,472
06/01/2021,24/02/2020,618
06/01/2021,25/02/2020,777
06/01/2021,26/02/2020,697
06/01/2021,27/02/2020,801
06/01/2021,28/02/2020,1135
06/01/2021,29/02/2020,1009
06/01/2021,01/03/2020,2261
06/01/2021,02/03/2020,1807
06/01/2021,03/03/2020,2036
06/01/2021,04/03/2020,1765
06/01/2021,05/03/2020,2396
06/01/2021,06/03/2020,2676
06/01/2021,07/03/2020,2866
06/01/2021,08/03/2020,3355
06/01/2021,09/03/2020,3955
06/01/2021,10/03/2020,5484
06/01/2021,11/03/2020,3745
06/01/2021,12/03/2020,4231
06/01/2021,13/03/2020,4738
06/01/2021,14/03/2020,4107
06/01/2021,15/03/2020,5213
06/01/2021,16/03/2020,4715
06/01/2021,17/03/2020,4023
06/01/2021,18/03/2020,4215
06/01/2021,19/03/2020,3757
06/01/2021,20/03/2020,5346
06/01/2021,21/03/2020,3323
06/01/2021,22/03/2020,3322
06/01/2021,23/03/2020,3800
06/01/2021,24/03/2020,3037
06/01/2021,25/03/2020,3234
06/01/2021,26/03/2020,2771
06/01/2021,27/03/2020,3019
06/01/2021,28/03/2020,2668
06/01/2021,29/03/2020,2083
06/01/2021,30/03/2020,3054
06/01/2021,31/03/2020,2135
06/01/2021,01/04/2020,3339
06/01/2021,02/04/2020,2151
06/01/2021,03/04/2020,2236
06/01/2021,04/04/2020,1872
06/01/2021,05/04/2020,1696
06/01/2021,06/04/2020,1951
06/01/2021,07/04/2020,1804
06/01/2021,08/04/2020,1789
06/01/2021,09/04/2020,1607
06/01/2021,10/04/2020,2171
06/01/2021,11/04/2020,1279
06/01/2021,12/04/2020,1432
06/01/2021,13/04/2020,1299
06/01/2021,14/04/2020,1531
06/01/2021,15/04/2020,1714
06/01/2021,16/04/2020,1364
06/01/2021,17/04/2020,1319
06/01/2021,18/04/2020,1120
06/01/2021,19/04/2020,873
06/01/2021,20/04/2020,1587
06/01/2021,21/04/2020,1004
06/01/2021,22/04/2020,1018
06/01/2021,23/04/2020,934
06/01/2021,24/04/2020,822
06/01/2021,25/04/2020,721
06/01/2021,26/04/2020,569
06/01/2021,27/04/2020,886
06/01/2021,28/04/2020,652
06/01/2021,29/04/2020,603
06/01/2021,30/04/2020,547
06/01/2021,01/05/2020,544
06/01/2021,02/05/2020,401
06/01/2021,03/05/2020,315
06/01/2021,04/05/2020,436
06/01/2021,05/05/2020,448
06/01/2021,06/05/2020,372
06/01/2021,07/05/2020,347
06/01/2021,08/05/2020,398
06/01/2021,09/05/2020,208
06/01/2021,10/05/2020,268
06/01/2021,11/05/2020,308
06/01/2021,12/05/2020,319
06/01/2021,13/05/2020,268
06/01/2021,14/05/2020,230
06/01/2021,15/05/2020,266
06/01/2021,16/05/2020,178
06/01/2021,17/05/2020,147
06/01/2021,18/05/2020,252
06/01/2021,19/05/2020,200
06/01/2021,20/05/2020,224
06/01/2021,21/05/2020,160
06/01/2021,22/05/2020,152
06/01/2021,23/05/2020,112
06/01/2021,24/05/2020,76
06/01/2021,25/05/2020,167
06/01/2021,26/05/2020,142
06/01/2021,27/05/2020,150
06/01/2021,28/05/2020,108
06/01/2021,29/05/2020,109
06/01/2021,30/05/2020,91
06/01/2021,31/05/2020,57
06/01/2021,01/06/2020,134
06/01/2021,02/06/2020,54
06/01/2021,03/06/2020,108
06/01/2021,04/06/2020,82
06/01/2021,05/06/2020,111
06/01/2021,06/06/2020,72
06/01/2021,07/06/2020,61
06/01/2021,08/06/2020,109
06/01/2021,09/06/2020,92
06/01/2021,10/06/2020,97
