iss_date,DATA_INIZIO_SINTOMI,CASI_SINT
28/01/2021,28/01/2020,13
28/01/2021,29/01/2020,19
28/01/2021,30/01/2020,24
28/01/2021,31/01/2020,21
28/01/2021,01/02/2020,45
28/01/2021,02/02/2020,31
28/01/2021,03/02/2020,21
28/01/2021,04/02/2020,21
28/01/2021,05/02/2020,29
28/01/2021,06/02/2020,24
28/01/2021,07/02/2020,16
28/01/2021,08/02/2020,14
28/01/2021,09/02/2020,15
28/01/2021,10/02/2020,55
28/01/2021,11/02/2020,19
28/01/2021,12/02/2020,47
28/01/2021,13/02/2020,42
28/01/2021,14/02/2020,61
28/01/2021,15/02/2020,137
28/01/2021,16/02/2020,80
28/01/2021,17/02/2020,128
28/01/2021,18/02/2020,153
28/01/2021,19/02/2020,129
28/01/2021,20/02/2020,381
28/01/2021,21/02/2020,295
28/01/2021,22/02/2020,363
28/01/2021,23/02/2020,469
28/01/2021,24/02/2020,618
28/01/2021,25/02/2020,775
28/01/2021,26/02/2020,696
28/01/2021,27/02/2020,800
28/01/2021,28/02/2020,1135
28/01/2021,29/02/2020,1002
28/01/2021,01/03/2020,2252
28/01/2021,02/03/2020,1801
28/01/2021,03/03/2020,2037
28/01/2021,04/03/2020,1755
28/01/2021,05/03/2020,2384
28/01/2021,06/03/2020,2664
28/01/2021,07/03/2020,2858
28/01/2021,08/03/2020,3342
28/01/2021,09/03/2020,3942
28/01/2021,10/03/2020,5464
28/01/2021,11/03/2020,3731
28/01/2021,12/03/2020,4229
28/01/2021,13/03/2020,4734
28/01/2021,14/03/2020,4106
28/01/2021,15/03/2020,5213
28/01/2021,16/03/2020,4715
28/01/2021,17/03/2020,4027
28/01/2021,18/03/2020,4215
28/01/2021,19/03/2020,3756
28/01/2021,20/03/2020,5345
28/01/2021,21/03/2020,3322
28/01/2021,22/03/2020,3324
28/01/2021,23/03/2020,3800
28/01/2021,24/03/2020,3036
28/01/2021,25/03/2020,3234
28/01/2021,26/03/2020,2775
28/01/2021,27/03/2020,3019
28/01/2021,28/03/2020,2672
28/01/2021,29/03/2020,2085
28/01/2021,30/03/2020,3056
28/01/2021,31/03/2020,2135
28/01/2021,01/04/2020,3339
28/01/2021,02/04/2020,2155
28/01/2021,03/04/2020,2245
28/01/2021,04/04/2020,1865
28/01/2021,05/04/2020,1698
28/01/2021,06/04/2020,1953
28/01/2021,07/04/2020,1809
28/01/2021,08/04/2020,1792
28/01/2021,09/04/2020,1616
28/01/2021,10/04/2020,2192
28/01/2021,11/04/2020,1290
28/01/2021,12/04/2020,1434
28/01/2021,13/04/2020,1306
28/01/2021,14/04/2020,1534
28/01/2021,15/04/2020,1719
28/01/2021,16/04/2020,1364
28/01/2021,17/04/2020,1335
28/01/2021,18/04/2020,1119
28/01/2021,19/04/2020,875
28/01/2021,20/04/2020,1598
28/01/2021,21/04/2020,1008
28/01/2021,22/04/2020,1027
28/01/2021,23/04/2020,940
28/01/2021,24/04/2020,828
28/01/2021,25/04/2020,729
28/01/2021,26/04/2020,571
28/01/2021,27/04/2020,891
28/01/2021,28/04/2020,652
28/01/2021,29/04/2020,609
28/01/2021,30/04/2020,547
28/01/2021,01/05/2020,547
28/01/2021,02/05/2020,408
28/01/2021,03/05/2020,320
28/01/2021,04/05/2020,440
28/01/2021,05/05/2020,456
28/01/2021,06/05/2020,381
28/01/2021,07/05/2020,352
28/01/2021,08/05/2020,401
28/01/2021,09/05/2020,211
28/01/2021,10/05/2020,269
28/01/2021,11/05/2020,311
28/01/2021,12/05/2020,320
28/01/2021,13/05/2020,271
28/01/2021,14/05/2020,232
28/01/2021,15/05/2020,270
28/01/2021,16/05/2020,183
28/01/2021,17/05/2020,148
28/01/2021,18/05/2020,254
28/01/2021,19/05/2020,204
28/01/2021,20/05/2020,225
28/01/2021,21/05/2020,164
28/01/2021,22/05/2020,155
28/01/2021,23/05/2020,112
28/01/2021,24/05/2020,81
28/01/2021,25/05/2020,171
