iss_date,DATARICOVERO1,RICOVERI
28/01/2021,20/02/2020,92
28/01/2021,21/02/2020,120
28/01/2021,22/02/2020,106
28/01/2021,23/02/2020,150
28/01/2021,24/02/2020,191
28/01/2021,25/02/2020,267
28/01/2021,26/02/2020,273
28/01/2021,27/02/2020,317
28/01/2021,28/02/2020,377
28/01/2021,29/02/2020,371
28/01/2021,01/03/2020,443
28/01/2021,02/03/2020,667
28/01/2021,03/03/2020,814
28/01/2021,04/03/2020,913
28/01/2021,05/03/2020,1090
28/01/2021,06/03/2020,1231
28/01/2021,07/03/2020,1198
28/01/2021,08/03/2020,1159
28/01/2021,09/03/2020,1450
28/01/2021,10/03/2020,1591
28/01/2021,11/03/2020,1748
28/01/2021,12/03/2020,1905
28/01/2021,13/03/2020,2319
28/01/2021,14/03/2020,1991
28/01/2021,15/03/2020,1899
28/01/2021,16/03/2020,2487
28/01/2021,17/03/2020,2665
28/01/2021,18/03/2020,2701
28/01/2021,19/03/2020,2781
28/01/2021,20/03/2020,2854
28/01/2021,21/03/2020,2535
28/01/2021,22/03/2020,2188
28/01/2021,23/03/2020,2700
28/01/2021,24/03/2020,2610
28/01/2021,25/03/2020,2315
28/01/2021,26/03/2020,2111
28/01/2021,27/03/2020,2210
28/01/2021,28/03/2020,1734
28/01/2021,29/03/2020,1421
28/01/2021,30/03/2020,1677
28/01/2021,31/03/2020,1556
28/01/2021,01/04/2020,1477
28/01/2021,02/04/2020,1443
28/01/2021,03/04/2020,1248
28/01/2021,04/04/2020,1009
28/01/2021,05/04/2020,833
28/01/2021,06/04/2020,1007
28/01/2021,07/04/2020,1011
28/01/2021,08/04/2020,1029
28/01/2021,09/04/2020,978
28/01/2021,10/04/2020,888
28/01/2021,11/04/2020,789
28/01/2021,12/04/2020,651
28/01/2021,13/04/2020,617
28/01/2021,14/04/2020,822
28/01/2021,15/04/2020,678
28/01/2021,16/04/2020,685
28/01/2021,17/04/2020,693
28/01/2021,18/04/2020,569
28/01/2021,19/04/2020,457
28/01/2021,20/04/2020,634
28/01/2021,21/04/2020,568
28/01/2021,22/04/2020,582
28/01/2021,23/04/2020,572
28/01/2021,24/04/2020,534
28/01/2021,25/04/2020,422
28/01/2021,26/04/2020,345
28/01/2021,27/04/2020,405
28/01/2021,28/04/2020,409
28/01/2021,29/04/2020,394
28/01/2021,30/04/2020,344
28/01/2021,01/05/2020,264
28/01/2021,02/05/2020,230
28/01/2021,03/05/2020,173
28/01/2021,04/05/2020,277
28/01/2021,05/05/2020,260
28/01/2021,06/05/2020,272
28/01/2021,07/05/2020,254
28/01/2021,08/05/2020,271
28/01/2021,09/05/2020,157
28/01/2021,10/05/2020,151
28/01/2021,11/05/2020,227
28/01/2021,12/05/2020,173
28/01/2021,13/05/2020,177
28/01/2021,14/05/2020,177
28/01/2021,15/05/2020,185
28/01/2021,16/05/2020,129
28/01/2021,17/05/2020,110
28/01/2021,18/05/2020,138
28/01/2021,19/05/2020,137
28/01/2021,20/05/2020,131
28/01/2021,21/05/2020,101
28/01/2021,22/05/2020,109
28/01/2021,23/05/2020,85
28/01/2021,24/05/2020,78
28/01/2021,25/05/2020,125
28/01/2021,26/05/2020,96
28/01/2021,27/05/2020,89
28/01/2021,28/05/2020,71
28/01/2021,29/05/2020,92
28/01/2021,30/05/2020,75
28/01/2021,31/05/2020,45
28/01/2021,01/06/2020,93
28/01/2021,02/06/2020,57
28/01/2021,03/06/2020,74
28/01/2021,04/06/2020,68
28/01/2021,05/06/2020,70
28/01/2021,06/06/2020,45
28/01/2021,07/06/2020,38
28/01/2021,08/06/2020,87
28/01/2021,09/06/2020,56
28/01/2021,10/06/2020,63
28/01/2021,11/06/2020,47
28/01/2021,12/06/2020,59
28/01/2021,13/06/2020,55
28/01/2021,14/06/2020,47
28/01/2021,15/06/2020,61
28/01/2021,16/06/2020,45
28/01/2021,17/06/2020,51
28/01/2021,18/06/2020,57
28/01/2021,19/06/2020,58
28/01/2021,20/06/2020,30
28/01/2021,21/06/2020,38
28/01/2021,22/06/2020,58
28/01/2021,23/06/2020,46
28/01/2021,24/06/2020,60
28/01/2021,25/06/2020,63
28/01/2021,26/06/2020,64
28/01/2021,27/06/2020,36
28/01/2021,28/06/2020,28
28/01/2021,29/06/2020,58
28/01/2021,30/06/2020,54
28/01/2021,01/07/2020,42
28/01/2021,02/07/2020,58
28/01/2021,03/07/2020,65
28/01/2021,04/07/2020,36
28/01/2021,05/07/2020,46
28/01/2021,06/07/2020,53
28/01/2021,07/07/2020,42
28/01/2021,08/07/2020,50
28/01/2021,09/07/2020,41
28/01/2021,10/07/2020,57
28/01/2021,11/07/2020,43
28/01/2021,12/07/2020,33
28/01/2021,13/07/2020,51
28/01/2021,14/07/2020,43
28/01/2021,15/07/2020,48
28/01/2021,16/07/2020,47
28/01/2021,17/07/2020,66
28/01/2021,18/07/2020,37
28/01/2021,19/07/2020,35
28/01/2021,20/07/2020,50
28/01/2021,21/07/2020,59
28/01/2021,22/07/2020,50
28/01/2021,23/07/2020,57
28/01/2021,24/07/2020,53
28/01/2021,25/07/2020,53
28/01/2021,26/07/2020,41
28/01/2021,27/07/2020,47
28/01/2021,28/07/2020,54
28/01/2021,29/07/2020,48
28/01/2021,30/07/2020,50
28/01/2021,31/07/2020,70
28/01/2021,01/08/2020,63
28/01/2021,02/08/2020,48
28/01/2021,03/08/2020,68
28/01/2021,04/08/2020,55
28/01/2021,05/08/2020,70
28/01/2021,06/08/2020,49
28/01/2021,07/08/2020,60
28/01/2021,08/08/2020,55
28/01/2021,09/08/2020,58
28/01/2021,10/08/2020,73
28/01/2021,11/08/2020,56
28/01/2021,12/08/2020,84
28/01/2021,13/08/2020,74
28/01/2021,14/08/2020,77
28/01/2021,15/08/2020,58
28/01/2021,16/08/2020,62
28/01/2021,17/08/2020,78
28/01/2021,18/08/2020,95
28/01/2021,19/08/2020,123
28/01/2021,20/08/2020,76
28/01/2021,21/08/2020,90
28/01/2021,22/08/2020,111
28/01/2021,23/08/2020,90
28/01/2021,24/08/2020,112
28/01/2021,25/08/2020,137
28/01/2021,26/08/2020,135
28/01/2021,27/08/2020,132
28/01/2021,28/08/2020,133
28/01/2021,29/08/2020,103
28/01/2021,30/08/2020,112
28/01/2021,31/08/2020,117
28/01/2021,01/09/2020,148
28/01/2021,02/09/2020,162
28/01/2021,03/09/2020,176
28/01/2021,04/09/2020,160
28/01/2021,05/09/2020,146
28/01/2021,06/09/2020,118
28/01/2021,07/09/2020,198
28/01/2021,08/09/2020,162
28/01/2021,09/09/2020,182
28/01/2021,10/09/2020,197
28/01/2021,11/09/2020,183
28/01/2021,12/09/2020,181
28/01/2021,13/09/2020,173
28/01/2021,14/09/2020,204
28/01/2021,15/09/2020,224
28/01/2021,16/09/2020,222
28/01/2021,17/09/2020,232
28/01/2021,18/09/2020,234
28/01/2021,19/09/2020,193
28/01/2021,20/09/2020,167
28/01/2021,21/09/2020,236
28/01/2021,22/09/2020,242
28/01/2021,23/09/2020,237
28/01/2021,24/09/2020,231
28/01/2021,25/09/2020,256
28/01/2021,26/09/2020,216
28/01/2021,27/09/2020,192
28/01/2021,28/09/2020,251
28/01/2021,29/09/2020,275
28/01/2021,30/09/2020,237
28/01/2021,01/10/2020,316
28/01/2021,02/10/2020,338
28/01/2021,03/10/2020,352
28/01/2021,04/10/2020,318
28/01/2021,05/10/2020,420
28/01/2021,06/10/2020,465
28/01/2021,07/10/2020,456
28/01/2021,08/10/2020,512
28/01/2021,09/10/2020,544
28/01/2021,10/10/2020,559
28/01/2021,11/10/2020,583
28/01/2021,12/10/2020,728
28/01/2021,13/10/2020,803
28/01/2021,14/10/2020,817
28/01/2021,15/10/2020,934
28/01/2021,16/10/2020,929
28/01/2021,17/10/2020,1097
28/01/2021,18/10/2020,1045
28/01/2021,19/10/2020,1270
28/01/2021,20/10/2020,1375
28/01/2021,21/10/2020,1385
28/01/2021,22/10/2020,1495
28/01/2021,23/10/2020,1678
28/01/2021,24/10/2020,1565
28/01/2021,25/10/2020,1661
28/01/2021,26/10/2020,1949
28/01/2021,27/10/2020,1946
28/01/2021,28/10/2020,1989
28/01/2021,29/10/2020,2093
28/01/2021,30/10/2020,2277
28/01/2021,31/10/2020,2052
28/01/2021,01/11/2020,1919
28/01/2021,02/11/2020,2405
28/01/2021,03/11/2020,2475
28/01/2021,04/11/2020,2597
28/01/2021,05/11/2020,2600
28/01/2021,06/11/2020,2541
28/01/2021,07/11/2020,2404
28/01/2021,08/11/2020,2159
28/01/2021,09/11/2020,2465
28/01/2021,10/11/2020,2496
28/01/2021,11/11/2020,2620
28/01/2021,12/11/2020,2515
28/01/2021,13/11/2020,2531
28/01/2021,14/11/2020,2285
28/01/2021,15/11/2020,1976
28/01/2021,16/11/2020,2440
28/01/2021,17/11/2020,2443
28/01/2021,18/11/2020,2286
28/01/2021,19/11/2020,2286
28/01/2021,20/11/2020,2180
28/01/2021,21/11/2020,1801
28/01/2021,22/11/2020,1590
28/01/2021,23/11/2020,1994
28/01/2021,24/11/2020,1935
28/01/2021,25/11/2020,1813
28/01/2021,26/11/2020,1753
28/01/2021,27/11/2020,1767
28/01/2021,28/11/2020,1591
28/01/2021,29/11/2020,1365
28/01/2021,30/11/2020,1566
