iss_date,NOME_NUTS2,CASI_CUMULATIVI
28/01/2021,Abruzzo,41697
28/01/2021,Basilicata,12785
28/01/2021,Calabria,32137
28/01/2021,Campania,213189
28/01/2021,Emilia-Romagna,213497
28/01/2021,Friuli-Venezia Giulia,60808
28/01/2021,Lazio,205235
28/01/2021,Liguria,68396
28/01/2021,Lombardia,531191
28/01/2021,Marche,51408
28/01/2021,Molise,8015
28/01/2021,Piemonte,219896
28/01/2021,Provincia Autonoma di Bolzano/Bozen,37419
28/01/2021,Provincia Autonoma di Trento,27662
28/01/2021,Puglia,118731
28/01/2021,Sardegna,36116
28/01/2021,Sicilia,133300
28/01/2021,Toscana,131737
28/01/2021,Umbria,34951
28/01/2021,Valle d'Aosta/Vallée d'Aoste,7776
28/01/2021,Veneto,308812
