iss_date,NOME_NUTS2,CASI_CUMULATIVI
10/05/2022,Abruzzo,388436
10/05/2022,Basilicata,133557
10/05/2022,Calabria,327042
10/05/2022,Campania,1644185
10/05/2022,Emilia-Romagna,1440290
10/05/2022,Friuli-Venezia Giulia,332317
10/05/2022,Lazio,1568518
10/05/2022,Liguria,437833
10/05/2022,Lombardia,2818324
10/05/2022,Marche,435479
10/05/2022,Molise,62282
10/05/2022,Piemonte,1137513
10/05/2022,Provincia Autonoma di Bolzano/Bozen,212945
10/05/2022,Provincia Autonoma di Trento,164638
10/05/2022,Puglia,1096744
10/05/2022,Sardegna,306066
10/05/2022,Sicilia,1162894
10/05/2022,Toscana,1161344
10/05/2022,Umbria,284555
10/05/2022,Valle d'Aosta/Vallée d'Aoste,36116
10/05/2022,Veneto,1704219
