iss_date,DATA_INIZIO_SINTOMI,CASI
10/05/2022,28/01/2020,16
10/05/2022,29/01/2020,21
10/05/2022,30/01/2020,29
10/05/2022,31/01/2020,34
10/05/2022,01/02/2020,53
10/05/2022,02/02/2020,42
10/05/2022,03/02/2020,25
10/05/2022,04/02/2020,24
10/05/2022,05/02/2020,29
10/05/2022,06/02/2020,26
10/05/2022,07/02/2020,22
10/05/2022,08/02/2020,17
10/05/2022,09/02/2020,17
10/05/2022,10/02/2020,61
10/05/2022,11/02/2020,33
10/05/2022,12/02/2020,54
10/05/2022,13/02/2020,51
10/05/2022,14/02/2020,68
10/05/2022,15/02/2020,151
10/05/2022,16/02/2020,83
10/05/2022,17/02/2020,146
10/05/2022,18/02/2020,164
10/05/2022,19/02/2020,145
10/05/2022,20/02/2020,408
10/05/2022,21/02/2020,317
10/05/2022,22/02/2020,402
10/05/2022,23/02/2020,502
10/05/2022,24/02/2020,676
10/05/2022,25/02/2020,816
10/05/2022,26/02/2020,741
10/05/2022,27/02/2020,898
10/05/2022,28/02/2020,1209
10/05/2022,29/02/2020,1079
10/05/2022,01/03/2020,2480
10/05/2022,02/03/2020,1942
10/05/2022,03/03/2020,2248
10/05/2022,04/03/2020,1958
10/05/2022,05/03/2020,2623
10/05/2022,06/03/2020,2968
10/05/2022,07/03/2020,3129
10/05/2022,08/03/2020,3699
10/05/2022,09/03/2020,4446
10/05/2022,10/03/2020,6140
10/05/2022,11/03/2020,4239
10/05/2022,12/03/2020,4810
10/05/2022,13/03/2020,5372
10/05/2022,14/03/2020,4690
10/05/2022,15/03/2020,5860
10/05/2022,16/03/2020,5346
10/05/2022,17/03/2020,4556
10/05/2022,18/03/2020,4788
10/05/2022,19/03/2020,4269
10/05/2022,20/03/2020,6189
10/05/2022,21/03/2020,3848
10/05/2022,22/03/2020,3802
10/05/2022,23/03/2020,4385
10/05/2022,24/03/2020,3581
10/05/2022,25/03/2020,3829
10/05/2022,26/03/2020,3298
10/05/2022,27/03/2020,3531
