DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
01/01/2021,5867,22/08/2022
01/01/2022,37055,22/08/2022
01/02/2021,13479,22/08/2022
01/02/2022,114718,22/08/2022
01/03/2020,410,22/08/2022
01/03/2021,22073,22/08/2022
01/03/2022,36739,22/08/2022
01/04/2020,5025,22/08/2022
01/04/2021,21708,22/08/2022
01/04/2022,72175,22/08/2022
01/05/2020,1084,22/08/2022
01/05/2021,6131,22/08/2022
01/05/2022,15394,22/08/2022
01/06/2020,377,22/08/2022
01/06/2021,3163,22/08/2022
01/06/2022,19488,22/08/2022
01/07/2020,237,22/08/2022
01/07/2021,915,22/08/2022
01/07/2022,89017,22/08/2022
01/08/2020,202,22/08/2022
01/08/2021,2401,22/08/2022
01/08/2022,68625,22/08/2022
01/09/2020,1430,22/08/2022
01/09/2021,6619,22/08/2022
01/10/2020,3058,22/08/2022
01/10/2021,3167,22/08/2022
01/11/2020,13866,22/08/2022
01/11/2021,2879,22/08/2022
01/12/2020,23248,22/08/2022
01/12/2021,16269,22/08/2022
02/01/2021,16277,22/08/2022
02/01/2022,68560,22/08/2022
02/02/2021,14004,22/08/2022
02/02/2022,106960,22/08/2022
02/03/2020,630,22/08/2022
02/03/2021,23223,22/08/2022
02/03/2022,43182,22/08/2022
02/04/2020,4778,22/08/2022
02/04/2021,20561,22/08/2022
02/04/2022,55689,22/08/2022
02/05/2020,1022,22/08/2022
02/05/2021,4632,22/08/2022
02/05/2022,69491,22/08/2022
02/06/2020,87,22/08/2022
02/06/2021,1260,22/08/2022
02/06/2022,6908,22/08/2022
02/07/2020,250,22/08/2022
02/07/2021,994,22/08/2022
02/07/2022,72235,22/08/2022
02/08/2020,107,22/08/2022
02/08/2021,6667,22/08/2022
02/08/2022,44109,22/08/2022
02/09/2020,1625,22/08/2022
02/09/2021,6206,22/08/2022
02/10/2020,3340,22/08/2022
02/10/2021,2712,22/08/2022
02/11/2020,35426,22/08/2022
02/11/2021,6497,22/08/2022
02/12/2020,21655,22/08/2022
02/12/2021,17050,22/08/2022
03/01/2021,8411,22/08/2022
03/01/2022,229108,22/08/2022
03/02/2021,13395,22/08/2022
03/02/2022,94011,22/08/2022
03/03/2020,802,22/08/2022
03/03/2021,24021,22/08/2022
03/03/2022,40612,22/08/2022
03/04/2020,4445,22/08/2022
03/04/2021,15580,22/08/2022
03/04/2022,25934,22/08/2022
03/05/2020,506,22/08/2022
03/05/2021,11509,22/08/2022
03/05/2022,47215,22/08/2022
03/06/2020,358,22/08/2022
03/06/2021,2747,22/08/2022
03/06/2022,24520,22/08/2022
03/07/2020,244,22/08/2022
03/07/2021,832,22/08/2022
03/07/2022,33553,22/08/2022
03/08/2020,422,22/08/2022
03/08/2021,7137,22/08/2022
03/08/2022,41530,22/08/2022
03/09/2020,1609,22/08/2022
03/09/2021,6269,22/08/2022
03/10/2020,2618,22/08/2022
03/10/2021,1075,22/08/2022
03/11/2020,38437,22/08/2022
03/11/2021,6675,22/08/2022
03/12/2020,20261,22/08/2022
03/12/2021,17528,22/08/2022
04/01/2021,23024,22/08/2022
04/01/2022,218133,22/08/2022
04/02/2021,13339,22/08/2022
04/02/2022,91322,22/08/2022
04/03/2020,1076,22/08/2022
04/03/2021,22900,22/08/2022
04/03/2022,42980,22/08/2022
04/04/2020,3666,22/08/2022
04/04/2021,5672,22/08/2022
04/04/2022,96601,22/08/2022
04/05/2020,1455,22/08/2022
04/05/2021,11419,22/08/2022
04/05/2022,47108,22/08/2022
04/06/2020,361,22/08/2022
04/06/2021,2985,22/08/2022
04/06/2022,15493,22/08/2022
04/07/2020,225,22/08/2022
04/07/2021,405,22/08/2022
04/07/2022,146878,22/08/2022
04/08/2020,394,22/08/2022
04/08/2021,7167,22/08/2022
04/08/2022,36845,22/08/2022
04/09/2020,1651,22/08/2022
04/09/2021,4646,22/08/2022
04/10/2020,1763,22/08/2022
04/10/2021,3131,22/08/2022
04/11/2020,41731,22/08/2022
04/11/2021,7204,22/08/2022
04/12/2020,20510,22/08/2022
04/12/2021,14605,22/08/2022
05/01/2021,24937,22/08/2022
05/01/2022,220176,22/08/2022
05/02/2021,13659,22/08/2022
05/02/2022,73797,22/08/2022
05/03/2020,1302,22/08/2022
05/03/2021,24405,22/08/2022
05/03/2022,37873,22/08/2022
05/04/2020,2600,22/08/2022
05/04/2021,7261,22/08/2022
05/04/2022,69658,22/08/2022
05/05/2020,1537,22/08/2022
05/05/2021,10808,22/08/2022
05/05/2022,43852,22/08/2022
05/06/2020,385,22/08/2022
05/06/2021,2079,22/08/2022
05/06/2022,8110,22/08/2022
05/07/2020,77,22/08/2022
05/07/2021,1144,22/08/2022
05/07/2022,107224,22/08/2022
05/08/2020,509,22/08/2022
05/08/2021,6431,22/08/2022
05/08/2022,34340,22/08/2022
05/09/2020,1154,22/08/2022
05/09/2021,2387,22/08/2022
05/10/2020,4685,22/08/2022
05/10/2021,3212,22/08/2022
05/11/2020,40678,22/08/2022
05/11/2021,7340,22/08/2022
05/12/2020,15445,22/08/2022
05/12/2021,6978,22/08/2022
06/01/2021,9148,22/08/2022
06/01/2022,74404,22/08/2022
06/02/2020,<5,22/08/2022
06/02/2021,10788,22/08/2022
06/02/2022,33937,22/08/2022
06/03/2020,1531,22/08/2022
06/03/2021,18216,22/08/2022
06/03/2022,19947,22/08/2022
06/04/2020,4091,22/08/2022
06/04/2021,18548,22/08/2022
06/04/2022,72170,22/08/2022
06/05/2020,1441,22/08/2022
06/05/2021,9538,22/08/2022
06/05/2022,41486,22/08/2022
06/06/2020,203,22/08/2022
06/06/2021,967,22/08/2022
06/06/2022,30763,22/08/2022
06/07/2020,237,22/08/2022
06/07/2021,1387,22/08/2022
06/07/2022,109216,22/08/2022
06/08/2020,400,22/08/2022
06/08/2021,7137,22/08/2022
06/08/2022,26312,22/08/2022
06/09/2020,561,22/08/2022
06/09/2021,5808,22/08/2022
06/10/2020,4957,22/08/2022
06/10/2021,2917,22/08/2022
06/11/2020,42026,22/08/2022
06/11/2021,5810,22/08/2022
06/12/2020,6363,22/08/2022
06/12/2021,19958,22/08/2022
07/01/2021,21588,22/08/2022
07/01/2022,243518,22/08/2022
07/02/2021,4837,22/08/2022
07/02/2022,111356,22/08/2022
07/03/2020,1474,22/08/2022
07/03/2021,8052,22/08/2022
07/03/2022,67727,22/08/2022
07/04/2020,4142,22/08/2022
07/04/2021,19270,22/08/2022
07/04/2022,66767,22/08/2022
07/05/2020,1389,22/08/2022
07/05/2021,9543,22/08/2022
07/05/2022,32327,22/08/2022
07/06/2020,84,22/08/2022
07/06/2021,2216,22/08/2022
07/06/2022,22773,22/08/2022
07/07/2020,226,22/08/2022
07/07/2021,1224,22/08/2022
07/07/2022,99146,22/08/2022
07/08/2020,499,22/08/2022
07/08/2021,5119,22/08/2022
07/08/2022,10791,22/08/2022
07/09/2020,1547,22/08/2022
07/09/2021,6007,22/08/2022
07/10/2020,5483,22/08/2022
07/10/2021,2809,22/08/2022
07/11/2020,30440,22/08/2022
07/11/2021,2684,22/08/2022
07/12/2020,19551,22/08/2022
07/12/2021,20407,22/08/2022
08/01/2021,21212,22/08/2022
08/01/2022,161678,22/08/2022
08/02/2021,13943,22/08/2022
08/02/2022,78924,22/08/2022
08/03/2020,1450,22/08/2022
08/03/2021,24021,22/08/2022
08/03/2022,50814,22/08/2022
08/04/2020,4794,22/08/2022
08/04/2021,17724,22/08/2022
08/04/2022,65535,22/08/2022
08/05/2020,1380,22/08/2022
08/05/2021,7423,22/08/2022
08/05/2022,15207,22/08/2022
08/06/2020,300,22/08/2022
08/06/2021,2156,22/08/2022
