DATARICOVERO1,RICOVERI,iss_date
01/01/2021,1153,22/08/2022
01/01/2022,1272,22/08/2022
01/02/2021,1063,22/08/2022
01/02/2022,1354,22/08/2022
01/03/2020,440,22/08/2022
01/03/2021,1454,22/08/2022
01/03/2022,640,22/08/2022
01/04/2020,1521,22/08/2022
01/04/2021,1723,22/08/2022
01/04/2022,765,22/08/2022
01/05/2020,288,22/08/2022
01/05/2021,742,22/08/2022
01/05/2022,487,22/08/2022
01/06/2020,138,22/08/2022
01/06/2021,223,22/08/2022
01/06/2022,323,22/08/2022
01/07/2020,66,22/08/2022
01/07/2021,72,22/08/2022
01/07/2022,908,22/08/2022
01/08/2020,70,22/08/2022
01/08/2021,236,22/08/2022
01/08/2022,717,22/08/2022
01/09/2020,159,22/08/2022
01/09/2021,350,22/08/2022
01/10/2020,351,22/08/2022
01/10/2021,199,22/08/2022
01/11/2020,1929,22/08/2022
01/11/2021,225,22/08/2022
01/12/2020,1619,22/08/2022
01/12/2021,473,22/08/2022
02/01/2021,1416,22/08/2022
02/01/2022,1169,22/08/2022
02/02/2021,985,22/08/2022
02/02/2022,1397,22/08/2022
02/03/2020,669,22/08/2022
02/03/2021,1638,22/08/2022
02/03/2022,605,22/08/2022
02/04/2020,1470,22/08/2022
02/04/2021,1822,22/08/2022
02/04/2022,665,22/08/2022
02/05/2020,250,22/08/2022
02/05/2021,666,22/08/2022
02/05/2022,668,22/08/2022
02/06/2020,71,22/08/2022
02/06/2021,175,22/08/2022
02/06/2022,245,22/08/2022
02/07/2020,80,22/08/2022
02/07/2021,55,22/08/2022
02/07/2022,791,22/08/2022
02/08/2020,55,22/08/2022
02/08/2021,272,22/08/2022
02/08/2022,692,22/08/2022
02/09/2020,188,22/08/2022
02/09/2021,373,22/08/2022
02/10/2020,364,22/08/2022
02/10/2021,173,22/08/2022
02/11/2020,2440,22/08/2022
02/11/2021,292,22/08/2022
02/12/2020,1618,22/08/2022
02/12/2021,548,22/08/2022
03/01/2021,1215,22/08/2022
03/01/2022,1631,22/08/2022
03/02/2021,982,22/08/2022
03/02/2022,1266,22/08/2022
03/03/2020,815,22/08/2022
03/03/2021,1622,22/08/2022
03/03/2022,640,22/08/2022
03/04/2020,1278,22/08/2022
03/04/2021,1607,22/08/2022
03/04/2022,550,22/08/2022
03/05/2020,189,22/08/2022
03/05/2021,854,22/08/2022
03/05/2022,629,22/08/2022
03/06/2020,108,22/08/2022
03/06/2021,186,22/08/2022
03/06/2022,332,22/08/2022
03/07/2020,92,22/08/2022
03/07/2021,61,22/08/2022
03/07/2022,708,22/08/2022
03/08/2020,109,22/08/2022
03/08/2021,302,22/08/2022
03/08/2022,572,22/08/2022
03/09/2020,189,22/08/2022
03/09/2021,339,22/08/2022
03/10/2020,361,22/08/2022
03/10/2021,152,22/08/2022
03/11/2020,2488,22/08/2022
03/11/2021,290,22/08/2022
03/12/2020,1581,22/08/2022
03/12/2021,534,22/08/2022
04/01/2021,1433,22/08/2022
04/01/2022,1799,22/08/2022
04/02/2021,978,22/08/2022
04/02/2022,1212,22/08/2022
04/03/2020,914,22/08/2022
04/03/2021,1579,22/08/2022
04/03/2022,580,22/08/2022
04/04/2020,1035,22/08/2022
04/04/2021,1298,22/08/2022
04/04/2022,773,22/08/2022
04/05/2020,312,22/08/2022
04/05/2021,834,22/08/2022
04/05/2022,597,22/08/2022
04/06/2020,95,22/08/2022
04/06/2021,201,22/08/2022
04/06/2022,288,22/08/2022
04/07/2020,40,22/08/2022
04/07/2021,69,22/08/2022
04/07/2022,982,22/08/2022
04/08/2020,65,22/08/2022
04/08/2021,282,22/08/2022
04/08/2022,549,22/08/2022
04/09/2020,179,22/08/2022
04/09/2021,338,22/08/2022
04/10/2020,327,22/08/2022
04/10/2021,177,22/08/2022
04/11/2020,2619,22/08/2022
04/11/2021,327,22/08/2022
04/12/2020,1547,22/08/2022
04/12/2021,520,22/08/2022
05/01/2021,1462,22/08/2022
05/01/2022,1767,22/08/2022
05/02/2021,978,22/08/2022
05/02/2022,1028,22/08/2022
05/03/2020,1096,22/08/2022
05/03/2021,1706,22/08/2022
05/03/2022,505,22/08/2022
05/04/2020,846,22/08/2022
05/04/2021,1375,22/08/2022
05/04/2022,775,22/08/2022
05/05/2020,298,22/08/2022
05/05/2021,744,22/08/2022
05/05/2022,583,22/08/2022
05/06/2020,100,22/08/2022
05/06/2021,153,22/08/2022
05/06/2022,262,22/08/2022
05/07/2020,51,22/08/2022
05/07/2021,67,22/08/2022
05/07/2022,961,22/08/2022
05/08/2020,91,22/08/2022
05/08/2021,283,22/08/2022
05/08/2022,572,22/08/2022
05/09/2020,150,22/08/2022
05/09/2021,263,22/08/2022
05/10/2020,447,22/08/2022
05/10/2021,174,22/08/2022
05/11/2020,2626,22/08/2022
05/11/2021,309,22/08/2022
05/12/2020,1434,22/08/2022
05/12/2021,459,22/08/2022
06/01/2021,1222,22/08/2022
06/01/2022,1575,22/08/2022
06/02/2021,895,22/08/2022
06/02/2022,920,22/08/2022
06/03/2020,1225,22/08/2022
06/03/2021,1579,22/08/2022
06/03/2022,466,22/08/2022
06/04/2020,1040,22/08/2022
06/04/2021,1604,22/08/2022
06/04/2022,804,22/08/2022
06/05/2020,302,22/08/2022
06/05/2021,676,22/08/2022
06/05/2022,570,22/08/2022
06/06/2020,54,22/08/2022
06/06/2021,161,22/08/2022
06/06/2022,359,22/08/2022
06/07/2020,87,22/08/2022
06/07/2021,68,22/08/2022
06/07/2022,974,22/08/2022
06/08/2020,71,22/08/2022
06/08/2021,314,22/08/2022
06/08/2022,487,22/08/2022
06/09/2020,126,22/08/2022
06/09/2021,344,22/08/2022
06/10/2020,501,22/08/2022
06/10/2021,153,22/08/2022
06/11/2020,2573,22/08/2022
06/11/2021,261,22/08/2022
06/12/2020,1267,22/08/2022
06/12/2021,639,22/08/2022
07/01/2021,1405,22/08/2022
07/01/2022,1695,22/08/2022
07/02/2021,849,22/08/2022
07/02/2022,1172,22/08/2022
07/03/2020,1203,22/08/2022
07/03/2021,1378,22/08/2022
07/03/2022,598,22/08/2022
07/04/2020,1044,22/08/2022
07/04/2021,1472,22/08/2022
07/04/2022,826,22/08/2022
07/05/2020,298,22/08/2022
07/05/2021,674,22/08/2022
07/05/2022,454,22/08/2022
07/06/2020,48,22/08/2022
07/06/2021,188,22/08/2022
07/06/2022,364,22/08/2022
07/07/2020,69,22/08/2022
07/07/2021,86,22/08/2022
07/07/2022,1012,22/08/2022
07/08/2020,80,22/08/2022
07/08/2021,285,22/08/2022
07/08/2022,407,22/08/2022
07/09/2020,219,22/08/2022
07/09/2021,339,22/08/2022
07/10/2020,488,22/08/2022
07/10/2021,166,22/08/2022
07/11/2020,2426,22/08/2022
07/11/2021,248,22/08/2022
07/12/2020,1420,22/08/2022
07/12/2021,556,22/08/2022
08/01/2021,1470,22/08/2022
08/01/2022,1635,22/08/2022
08/02/2021,1025,22/08/2022
08/02/2022,1120,22/08/2022
08/03/2020,1158,22/08/2022
08/03/2021,1841,22/08/2022
08/03/2022,606,22/08/2022
08/04/2020,1059,22/08/2022
08/04/2021,1373,22/08/2022
08/04/2022,775,22/08/2022
08/05/2020,300,22/08/2022
08/05/2021,611,22/08/2022
08/05/2022,400,22/08/2022
08/06/2020,128,22/08/2022
08/06/2021,167,22/08/2022
08/06/2022,361,22/08/2022
08/07/2020,78,22/08/2022
08/07/2021,90,22/08/2022
08/07/2022,948,22/08/2022
08/08/2020,58,22/08/2022
08/08/2021,267,22/08/2022
08/08/2022,527,22/08/2022
08/09/2020,179,22/08/2022
08/09/2021,314,22/08/2022
08/10/2020,533,22/08/2022
08/10/2021,149,22/08/2022
08/11/2020,2185,22/08/2022
08/11/2021,337,22/08/2022
08/12/2020,1303,22/08/2022
08/12/2021,538,22/08/2022
09/01/2021,1280,22/08/2022
09/01/2022,1368,22/08/2022
09/02/2021,961,22/08/2022
09/02/2022,1111,22/08/2022
09/03/2020,1458,22/08/2022
09/03/2021,1850,22/08/2022
09/03/2022,603,22/08/2022
