DATA_INIZIO_SINTOMI,CASI,iss_date
07/02/2021,5875,22/08/2022
07/02/2022,24684,22/08/2022
07/03/2020,3128,22/08/2022
07/03/2021,11591,22/08/2022
07/03/2022,19822,22/08/2022
07/04/2020,2272,22/08/2022
07/04/2021,8588,22/08/2022
07/04/2022,19611,22/08/2022
07/05/2020,499,22/08/2022
07/05/2021,3907,22/08/2022
07/05/2022,10785,22/08/2022
07/06/2020,74,22/08/2022
07/06/2021,935,22/08/2022
07/06/2022,8157,22/08/2022
07/07/2020,108,22/08/2022
07/07/2021,872,22/08/2022
07/07/2022,25556,22/08/2022
07/08/2020,216,22/08/2022
07/08/2021,3357,22/08/2022
07/08/2022,6963,22/08/2022
07/09/2020,822,22/08/2022
07/09/2021,2843,22/08/2022
07/10/2020,3722,22/08/2022
07/10/2021,1452,22/08/2022
07/11/2020,16783,22/08/2022
07/11/2021,4114,22/08/2022
07/12/2020,8778,22/08/2022
07/12/2021,10215,22/08/2022
08/01/2021,7712,22/08/2022
08/01/2022,41417,22/08/2022
08/02/2020,17,22/08/2022
08/02/2021,7341,22/08/2022
08/02/2022,20001,22/08/2022
08/03/2020,3701,22/08/2022
08/03/2021,15394,22/08/2022
08/03/2022,18102,22/08/2022
08/04/2020,2145,22/08/2022
08/04/2021,8338,22/08/2022
08/04/2022,18422,22/08/2022
08/05/2020,525,22/08/2022
08/05/2021,3430,22/08/2022
08/05/2022,10648,22/08/2022
08/06/2020,138,22/08/2022
08/06/2021,789,22/08/2022
08/06/2022,7978,22/08/2022
08/07/2020,105,22/08/2022
08/07/2021,908,22/08/2022
08/07/2022,23895,22/08/2022
08/08/2020,266,22/08/2022
08/08/2021,3386,22/08/2022
08/08/2022,11077,22/08/2022
08/09/2020,695,22/08/2022
08/09/2021,2708,22/08/2022
08/10/2020,4066,22/08/2022
08/10/2021,1516,22/08/2022
08/11/2020,15674,22/08/2022
08/11/2021,5339,22/08/2022
08/12/2020,7135,22/08/2022
08/12/2021,10382,22/08/2022
09/01/2021,6856,22/08/2022
09/01/2022,41264,22/08/2022
09/02/2020,17,22/08/2022
09/02/2021,6510,22/08/2022
09/02/2022,18433,22/08/2022
09/03/2020,4438,22/08/2022
09/03/2021,13045,22/08/2022
09/03/2022,18525,22/08/2022
09/04/2020,2065,22/08/2022
09/04/2021,7576,22/08/2022
09/04/2022,17027,22/08/2022
09/05/2020,301,22/08/2022
09/05/2021,3270,22/08/2022
09/05/2022,15519,22/08/2022
09/06/2020,126,22/08/2022
09/06/2021,784,22/08/2022
09/06/2022,7519,22/08/2022
09/07/2020,87,22/08/2022
09/07/2021,1094,22/08/2022
09/07/2022,21126,22/08/2022
09/08/2020,212,22/08/2022
09/08/2021,4211,22/08/2022
09/08/2022,8392,22/08/2022
09/09/2020,693,22/08/2022
09/09/2021,2531,22/08/2022
09/10/2020,4561,22/08/2022
09/10/2021,1377,22/08/2022
09/11/2020,19041,22/08/2022
09/11/2021,4989,22/08/2022
09/12/2020,8268,22/08/2022
09/12/2021,10743,22/08/2022
10/01/2021,6554,22/08/2022
10/01/2022,56522,22/08/2022
10/02/2020,61,22/08/2022
10/02/2021,7095,22/08/2022
10/02/2022,17200,22/08/2022
10/03/2020,6135,22/08/2022
10/03/2021,14606,22/08/2022
10/03/2022,18385,22/08/2022
10/04/2020,2725,22/08/2022
10/04/2021,7708,22/08/2022
10/04/2022,15507,22/08/2022
10/05/2020,334,22/08/2022
10/05/2021,4001,22/08/2022
10/05/2022,13522,22/08/2022
10/06/2020,116,22/08/2022
10/06/2021,755,22/08/2022
10/06/2022,7566,22/08/2022
10/07/2020,117,22/08/2022
10/07/2021,1183,22/08/2022
10/07/2022,21363,22/08/2022
10/08/2020,297,22/08/2022
10/08/2021,4251,22/08/2022
10/08/2022,8243,22/08/2022
10/09/2020,779,22/08/2022
10/09/2021,2505,22/08/2022
10/10/2020,5013,22/08/2022
10/10/2021,1612,22/08/2022
10/11/2020,18369,22/08/2022
10/11/2021,5122,22/08/2022
10/12/2020,8344,22/08/2022
10/12/2021,11435,22/08/2022
11/01/2021,7564,22/08/2022
11/01/2022,49336,22/08/2022
11/02/2020,34,22/08/2022
11/02/2021,6149,22/08/2022
11/02/2022,15167,22/08/2022
11/03/2020,4236,22/08/2022
11/03/2021,12687,22/08/2022
11/03/2022,18575,22/08/2022
11/04/2020,1623,22/08/2022
11/04/2021,6876,22/08/2022
11/04/2022,22517,22/08/2022
11/05/2020,441,22/08/2022
11/05/2021,3298,22/08/2022
11/05/2022,12574,22/08/2022
11/06/2020,111,22/08/2022
