iss_date,NOME_NUTS2,CASI_CUMULATIVI
21/04/2022,Abruzzo,352527
21/04/2022,Basilicata,121853
21/04/2022,Calabria,293567
21/04/2022,Campania,1532287
21/04/2022,Emilia-Romagna,1365144
21/04/2022,Friuli-Venezia Giulia,315906
21/04/2022,Lazio,1463425
21/04/2022,Liguria,402419
21/04/2022,Lombardia,2689334
21/04/2022,Marche,402005
21/04/2022,Molise,55468
21/04/2022,Piemonte,1087777
21/04/2022,Provincia Autonoma di Bolzano/Bozen,190047
21/04/2022,Provincia Autonoma di Trento,158269
21/04/2022,Puglia,1024341
21/04/2022,Sardegna,278339
21/04/2022,Sicilia,1077907
21/04/2022,Toscana,1100785
21/04/2022,Umbria,265850
21/04/2022,Valle d'Aosta/Vallée d'Aoste,34499
21/04/2022,Veneto,1605128
