iss_date,DATA_PRELIEVO_DIAGNOSI,CASI
21/04/2022,29/01/2020,<5
21/04/2022,06/02/2020,<5
21/04/2022,20/02/2020,<5
21/04/2022,21/02/2020,36
21/04/2022,22/02/2020,58
21/04/2022,23/02/2020,77
21/04/2022,24/02/2020,86
21/04/2022,25/02/2020,191
21/04/2022,26/02/2020,277
21/04/2022,27/02/2020,287
21/04/2022,28/02/2020,354
21/04/2022,29/02/2020,373
21/04/2022,01/03/2020,410
21/04/2022,02/03/2020,629
21/04/2022,03/03/2020,802
21/04/2022,04/03/2020,1077
21/04/2022,05/03/2020,1302
21/04/2022,06/03/2020,1530
21/04/2022,07/03/2020,1435
21/04/2022,08/03/2020,1450
21/04/2022,09/03/2020,2240
21/04/2022,10/03/2020,2452
21/04/2022,11/03/2020,2776
21/04/2022,12/03/2020,3144
21/04/2022,13/03/2020,4104
21/04/2022,14/03/2020,3534
21/04/2022,15/03/2020,2850
21/04/2022,16/03/2020,4819
21/04/2022,17/03/2020,5347
21/04/2022,18/03/2020,5690
21/04/2022,19/03/2020,5686
21/04/2022,20/03/2020,6257
21/04/2022,21/03/2020,4920
21/04/2022,22/03/2020,3926
21/04/2022,23/03/2020,6101
21/04/2022,24/03/2020,5916
21/04/2022,25/03/2020,5805
21/04/2022,26/03/2020,5703
21/04/2022,27/03/2020,5791
21/04/2022,28/03/2020,4530
21/04/2022,29/03/2020,3012
21/04/2022,30/03/2020,5085
21/04/2022,31/03/2020,5360
21/04/2022,01/04/2020,5024
21/04/2022,02/04/2020,4775
21/04/2022,03/04/2020,4445
21/04/2022,04/04/2020,3664
21/04/2022,05/04/2020,2601
21/04/2022,06/04/2020,4090
21/04/2022,07/04/2020,4141
21/04/2022,08/04/2020,4796
21/04/2022,09/04/2020,4687
21/04/2022,10/04/2020,5131
21/04/2022,11/04/2020,3430
21/04/2022,12/04/2020,1919
21/04/2022,13/04/2020,2268
21/04/2022,14/04/2020,3280
21/04/2022,15/04/2020,3947
21/04/2022,16/04/2020,3705
21/04/2022,17/04/2020,3499
21/04/2022,18/04/2020,2640
21/04/2022,19/04/2020,1387
21/04/2022,20/04/2020,3006
21/04/2022,21/04/2020,3081
21/04/2022,22/04/2020,2605
21/04/2022,23/04/2020,2811
21/04/2022,24/04/2020,2740
21/04/2022,25/04/2020,1666
21/04/2022,26/04/2020,1017
21/04/2022,27/04/2020,1982
21/04/2022,28/04/2020,2240
21/04/2022,29/04/2020,2328
21/04/2022,30/04/2020,2268
21/04/2022,01/05/2020,1084
21/04/2022,02/05/2020,1021
21/04/2022,03/05/2020,506
21/04/2022,04/05/2020,1456
21/04/2022,05/05/2020,1536
21/04/2022,06/05/2020,1442
21/04/2022,07/05/2020,1390
21/04/2022,08/05/2020,1380
21/04/2022,09/05/2020,731
21/04/2022,10/05/2020,336
21/04/2022,11/05/2020,873
21/04/2022,12/05/2020,915
21/04/2022,13/05/2020,890
21/04/2022,14/05/2020,901
21/04/2022,15/05/2020,791
21/04/2022,16/05/2020,606
21/04/2022,17/05/2020,298
21/04/2022,18/05/2020,655
21/04/2022,19/05/2020,720
21/04/2022,20/05/2020,676
21/04/2022,21/05/2020,621
21/04/2022,22/05/2020,685
21/04/2022,23/05/2020,356
21/04/2022,24/05/2020,147
21/04/2022,25/05/2020,513
21/04/2022,26/05/2020,540
21/04/2022,27/05/2020,523
21/04/2022,28/05/2020,516
21/04/2022,29/05/2020,386
21/04/2022,30/05/2020,286
21/04/2022,31/05/2020,89
21/04/2022,01/06/2020,377
21/04/2022,02/06/2020,87
21/04/2022,03/06/2020,358
21/04/2022,04/06/2020,361
21/04/2022,05/06/2020,385
21/04/2022,06/06/2020,203
21/04/2022,07/06/2020,84
21/04/2022,08/06/2020,300
21/04/2022,09/06/2020,368
21/04/2022,10/06/2020,394
21/04/2022,11/06/2020,449
21/04/2022,12/06/2020,369
21/04/2022,13/06/2020,214
21/04/2022,14/06/2020,68
21/04/2022,15/06/2020,276
21/04/2022,16/06/2020,280
21/04/2022,17/06/2020,302
21/04/2022,18/06/2020,233
21/04/2022,19/06/2020,290
21/04/2022,20/06/2020,165
21/04/2022,21/06/2020,62
21/04/2022,22/06/2020,338
21/04/2022,23/06/2020,288
21/04/2022,24/06/2020,206
21/04/2022,25/06/2020,202
21/04/2022,26/06/2020,184
21/04/2022,27/06/2020,124
21/04/2022,28/06/2020,66
21/04/2022,29/06/2020,230
21/04/2022,30/06/2020,199
21/04/2022,01/07/2020,235
21/04/2022,02/07/2020,247
21/04/2022,03/07/2020,241
21/04/2022,04/07/2020,222
21/04/2022,05/07/2020,77
21/04/2022,06/07/2020,235
21/04/2022,07/07/2020,223
21/04/2022,08/07/2020,285
21/04/2022,09/07/2020,220
21/04/2022,10/07/2020,249
21/04/2022,11/07/2020,163
21/04/2022,12/07/2020,62
21/04/2022,13/07/2020,186
21/04/2022,14/07/2020,239
21/04/2022,15/07/2020,237
21/04/2022,16/07/2020,256
21/04/2022,17/07/2020,282
21/04/2022,18/07/2020,168
21/04/2022,19/07/2020,110
21/04/2022,20/07/2020,317
21/04/2022,21/07/2020,279
21/04/2022,22/07/2020,277
21/04/2022,23/07/2020,270
21/04/2022,24/07/2020,304
21/04/2022,25/07/2020,194
21/04/2022,26/07/2020,91
21/04/2022,27/07/2020,324
21/04/2022,28/07/2020,317
21/04/2022,29/07/2020,470
21/04/2022,30/07/2020,338
21/04/2022,31/07/2020,321
21/04/2022,01/08/2020,202
21/04/2022,02/08/2020,105
21/04/2022,03/08/2020,420
21/04/2022,04/08/2020,393
21/04/2022,05/08/2020,507
21/04/2022,06/08/2020,398
21/04/2022,07/08/2020,497
21/04/2022,08/08/2020,343
21/04/2022,09/08/2020,195
21/04/2022,10/08/2020,499
21/04/2022,11/08/2020,538
21/04/2022,12/08/2020,625
21/04/2022,13/08/2020,549
21/04/2022,14/08/2020,631
21/04/2022,15/08/2020,323
21/04/2022,16/08/2020,298
21/04/2022,17/08/2020,702
21/04/2022,18/08/2020,924
21/04/2022,19/08/2020,1076
21/04/2022,20/08/2020,1167
21/04/2022,21/08/2020,1421
21/04/2022,22/08/2020,1058
21/04/2022,23/08/2020,717
21/04/2022,24/08/2020,1674
21/04/2022,25/08/2020,1591
21/04/2022,26/08/2020,1543
21/04/2022,27/08/2020,1522
21/04/2022,28/08/2020,1462
21/04/2022,29/08/2020,1075
21/04/2022,30/08/2020,575
21/04/2022,31/08/2020,1428
21/04/2022,01/09/2020,1429
21/04/2022,02/09/2020,1626
21/04/2022,03/09/2020,1605
21/04/2022,04/09/2020,1653
21/04/2022,05/09/2020,1152
21/04/2022,06/09/2020,561
21/04/2022,07/09/2020,1551
21/04/2022,08/09/2020,1611
21/04/2022,09/09/2020,1640
21/04/2022,10/09/2020,1667
21/04/2022,11/09/2020,1622
21/04/2022,12/09/2020,1225
21/04/2022,13/09/2020,597
21/04/2022,14/09/2020,1674
21/04/2022,15/09/2020,1828
21/04/2022,16/09/2020,1613
21/04/2022,17/09/2020,1757
21/04/2022,18/09/2020,1924
21/04/2022,19/09/2020,1337
21/04/2022,20/09/2020,656
21/04/2022,21/09/2020,1977
21/04/2022,22/09/2020,1938
21/04/2022,23/09/2020,2053
21/04/2022,24/09/2020,2015
21/04/2022,25/09/2020,2104
21/04/2022,26/09/2020,1504
21/04/2022,27/09/2020,905
21/04/2022,28/09/2020,2279
21/04/2022,29/09/2020,2327
21/04/2022,30/09/2020,2624
21/04/2022,01/10/2020,3054
21/04/2022,02/10/2020,3340
21/04/2022,03/10/2020,2612
21/04/2022,04/10/2020,1766
21/04/2022,05/10/2020,4698
21/04/2022,06/10/2020,4955
21/04/2022,07/10/2020,5483
21/04/2022,08/10/2020,6203
21/04/2022,09/10/2020,6996
21/04/2022,10/10/2020,6063
21/04/2022,11/10/2020,3422
21/04/2022,12/10/2020,9593
21/04/2022,13/10/2020,10468
21/04/2022,14/10/2020,11491
21/04/2022,15/10/2020,12222
21/04/2022,16/10/2020,13806
21/04/2022,17/10/2020,11915
21/04/2022,18/10/2020,6421
21/04/2022,19/10/2020,17647
21/04/2022,20/10/2020,19757
21/04/2022,21/10/2020,22829
21/04/2022,22/10/2020,24254
21/04/2022,23/10/2020,26183
21/04/2022,24/10/2020,20282
21/04/2022,25/10/2020,11338
21/04/2022,26/10/2020,28765
21/04/2022,27/10/2020,31803
21/04/2022,28/10/2020,34249
21/04/2022,29/10/2020,33367
21/04/2022,30/10/2020,35579
21/04/2022,31/10/2020,25829
21/04/2022,01/11/2020,13860
21/04/2022,02/11/2020,35404
21/04/2022,03/11/2020,38401
21/04/2022,04/11/2020,41700
21/04/2022,05/11/2020,40661
21/04/2022,06/11/2020,42010
21/04/2022,07/11/2020,30411
21/04/2022,08/11/2020,15654
21/04/2022,09/11/2020,39325
21/04/2022,10/11/2020,40840
21/04/2022,11/11/2020,39745
21/04/2022,12/11/2020,39275
21/04/2022,13/11/2020,40030
21/04/2022,14/11/2020,29117
21/04/2022,15/11/2020,14573
21/04/2022,16/11/2020,36682
21/04/2022,17/11/2020,38488
21/04/2022,18/11/2020,37036
21/04/2022,19/11/2020,35457
21/04/2022,20/11/2020,32891
