iss_date,NOME_NUTS2,CASI_CUMULATIVI
25/02/2022,Abruzzo,259409
25/02/2022,Basilicata,82083
25/02/2022,Calabria,177286
25/02/2022,Campania,1176076
25/02/2022,Emilia-Romagna,1177385
25/02/2022,Friuli-Venezia Giulia,267279
25/02/2022,Lazio,1076007
25/02/2022,Liguria,334071
25/02/2022,Lombardia,2317592
25/02/2022,Marche,306964
25/02/2022,Molise,38081
25/02/2022,Piemonte,956113
25/02/2022,Provincia Autonoma di Bolzano/Bozen,165761
25/02/2022,Provincia Autonoma di Trento,138774
25/02/2022,Puglia,723387
25/02/2022,Sardegna,179836
25/02/2022,Sicilia,712815
25/02/2022,Toscana,879524
25/02/2022,Umbria,187883
25/02/2022,Valle d'Aosta/Vallée d'Aoste,31355
25/02/2022,Veneto,1313975
