iss_date,NOME_NUTS2,CASI_CUMULATIVI
27/06/2022,Abruzzo,424887
27/06/2022,Basilicata,145486
27/06/2022,Calabria,369743
27/06/2022,Campania,1788691
27/06/2022,Emilia-Romagna,1551182
27/06/2022,Friuli-Venezia Giulia,376839
27/06/2022,Lazio,1729194
27/06/2022,Liguria,470155
27/06/2022,Lombardia,3007406
27/06/2022,Marche,461889
27/06/2022,Molise,69384
27/06/2022,Piemonte,1235455
27/06/2022,Provincia Autonoma di Bolzano/Bozen,221722
27/06/2022,Provincia Autonoma di Trento,173945
27/06/2022,Puglia,1186415
27/06/2022,Sardegna,355501
27/06/2022,Sicilia,1371429
27/06/2022,Toscana,1241205
27/06/2022,Umbria,310033
27/06/2022,Valle d'Aosta/Vallée d'Aoste,37907
27/06/2022,Veneto,1827657
