iss_date,DATA_PRELIEVO_DIAGNOSI,CASI
01/12/2021,29/01/2020,<5
01/12/2021,06/02/2020,<5
01/12/2021,20/02/2020,<5
01/12/2021,21/02/2020,36
01/12/2021,22/02/2020,58
01/12/2021,23/02/2020,77
01/12/2021,24/02/2020,86
01/12/2021,25/02/2020,190
01/12/2021,26/02/2020,278
01/12/2021,27/02/2020,286
01/12/2021,28/02/2020,354
01/12/2021,29/02/2020,373
01/12/2021,01/03/2020,410
01/12/2021,02/03/2020,629
01/12/2021,03/03/2020,805
01/12/2021,04/03/2020,1076
01/12/2021,05/03/2020,1301
01/12/2021,06/03/2020,1528
01/12/2021,07/03/2020,1476
01/12/2021,08/03/2020,1451
01/12/2021,09/03/2020,2241
01/12/2021,10/03/2020,2452
01/12/2021,11/03/2020,2778
01/12/2021,12/03/2020,3142
01/12/2021,13/03/2020,4105
01/12/2021,14/03/2020,3537
01/12/2021,15/03/2020,2849
01/12/2021,16/03/2020,4815
01/12/2021,17/03/2020,5342
01/12/2021,18/03/2020,5690
01/12/2021,19/03/2020,5679
01/12/2021,20/03/2020,6254
01/12/2021,21/03/2020,4920
01/12/2021,22/03/2020,3925
01/12/2021,23/03/2020,6101
01/12/2021,24/03/2020,5916
01/12/2021,25/03/2020,5803
01/12/2021,26/03/2020,5706
01/12/2021,27/03/2020,5795
01/12/2021,28/03/2020,4528
01/12/2021,29/03/2020,3013
01/12/2021,30/03/2020,5085
01/12/2021,31/03/2020,5363
01/12/2021,01/04/2020,5026
01/12/2021,02/04/2020,4775
01/12/2021,03/04/2020,4449
01/12/2021,04/04/2020,3660
01/12/2021,05/04/2020,2602
01/12/2021,06/04/2020,4088
01/12/2021,07/04/2020,4141
01/12/2021,08/04/2020,4798
01/12/2021,09/04/2020,4686
01/12/2021,10/04/2020,5132
01/12/2021,11/04/2020,3430
01/12/2021,12/04/2020,1921
01/12/2021,13/04/2020,2267
01/12/2021,14/04/2020,3278
01/12/2021,15/04/2020,3950
