iss_date,NOME_NUTS2,CASI_CUMULATIVI
01/12/2021,Abruzzo,87891
01/12/2021,Basilicata,31210
01/12/2021,Calabria,92020
01/12/2021,Campania,491995
01/12/2021,Emilia-Romagna,457039
01/12/2021,Friuli-Venezia Giulia,129208
01/12/2021,Lazio,434316
01/12/2021,Liguria,123064
01/12/2021,Lombardia,933964
01/12/2021,Marche,123262
01/12/2021,Molise,15223
01/12/2021,Piemonte,400990
01/12/2021,Provincia Autonoma di Bolzano/Bozen,78755
01/12/2021,Provincia Autonoma di Trento,53176
01/12/2021,Puglia,279762
01/12/2021,Sardegna,79222
01/12/2021,Sicilia,328469
01/12/2021,Toscana,301986
01/12/2021,Umbria,68104
01/12/2021,Valle d'Aosta/Vallée d'Aoste,13169
01/12/2021,Veneto,520531
