iss_date,DATARICOVERO1,RICOVERI
15/12/2020,20/02/2020,91
15/12/2020,21/02/2020,119
15/12/2020,22/02/2020,105
15/12/2020,23/02/2020,149
15/12/2020,24/02/2020,189
15/12/2020,25/02/2020,264
15/12/2020,26/02/2020,270
15/12/2020,27/02/2020,319
15/12/2020,28/02/2020,372
15/12/2020,29/02/2020,366
15/12/2020,01/03/2020,435
15/12/2020,02/03/2020,662
15/12/2020,03/03/2020,803
15/12/2020,04/03/2020,912
15/12/2020,05/03/2020,1090
15/12/2020,06/03/2020,1220
15/12/2020,07/03/2020,1189
15/12/2020,08/03/2020,1150
15/12/2020,09/03/2020,1446
15/12/2020,10/03/2020,1584
15/12/2020,11/03/2020,1743
15/12/2020,12/03/2020,1895
15/12/2020,13/03/2020,2300
15/12/2020,14/03/2020,1981
15/12/2020,15/03/2020,1883
15/12/2020,16/03/2020,2492
15/12/2020,17/03/2020,2669
15/12/2020,18/03/2020,2705
15/12/2020,19/03/2020,2776
15/12/2020,20/03/2020,2837
15/12/2020,21/03/2020,2525
15/12/2020,22/03/2020,2187
15/12/2020,23/03/2020,2693
15/12/2020,24/03/2020,2601
15/12/2020,25/03/2020,2305
15/12/2020,26/03/2020,2109
15/12/2020,27/03/2020,2198
15/12/2020,28/03/2020,1732
15/12/2020,29/03/2020,1421
15/12/2020,30/03/2020,1678
15/12/2020,31/03/2020,1559
15/12/2020,01/04/2020,1472
15/12/2020,02/04/2020,1436
15/12/2020,03/04/2020,1226
15/12/2020,04/04/2020,1006
15/12/2020,05/04/2020,820
15/12/2020,06/04/2020,989
15/12/2020,07/04/2020,1018
15/12/2020,08/04/2020,1020
15/12/2020,09/04/2020,972
15/12/2020,10/04/2020,877
15/12/2020,11/04/2020,777
15/12/2020,12/04/2020,647
15/12/2020,13/04/2020,620
15/12/2020,14/04/2020,810
15/12/2020,15/04/2020,678
15/12/2020,16/04/2020,677
15/12/2020,17/04/2020,683
15/12/2020,18/04/2020,567
15/12/2020,19/04/2020,451
15/12/2020,20/04/2020,623
15/12/2020,21/04/2020,571
15/12/2020,22/04/2020,567
15/12/2020,23/04/2020,560
15/12/2020,24/04/2020,526
15/12/2020,25/04/2020,409
15/12/2020,26/04/2020,344
15/12/2020,27/04/2020,399
15/12/2020,28/04/2020,404
15/12/2020,29/04/2020,382
15/12/2020,30/04/2020,331
15/12/2020,01/05/2020,264
15/12/2020,02/05/2020,229
15/12/2020,03/05/2020,170
15/12/2020,04/05/2020,267
15/12/2020,05/05/2020,247
15/12/2020,06/05/2020,263
15/12/2020,07/05/2020,252
15/12/2020,08/05/2020,271
15/12/2020,09/05/2020,158
15/12/2020,10/05/2020,149
15/12/2020,11/05/2020,223
15/12/2020,12/05/2020,167
