iss_date,NOME_NUTS2,CASI_CUMULATIVI
15/12/2020,Abruzzo,32220
15/12/2020,Basilicata,9265
15/12/2020,Calabria,20925
15/12/2020,Campania,170872
15/12/2020,Emilia-Romagna,146325
15/12/2020,Friuli-Venezia Giulia,33227
15/12/2020,Lazio,138217
15/12/2020,Liguria,55872
15/12/2020,Lombardia,443782
15/12/2020,Marche,33914
15/12/2020,Molise,5724
15/12/2020,Piemonte,185288
15/12/2020,Provincia Autonoma di Bolzano/Bozen,26587
15/12/2020,Provincia Autonoma di Trento,18468
15/12/2020,Puglia,73688
15/12/2020,Sardegna,22084
15/12/2020,Sicilia,77987
15/12/2020,Toscana,112067
15/12/2020,Umbria,26754
15/12/2020,Valle d'Aosta/Vallée d'Aoste,6932
15/12/2020,Veneto,196925
