iss_date,NOME_NUTS2,CASI_CUMULATIVI
22/01/2022,Abruzzo,187933
22/01/2022,Basilicata,50839
22/01/2022,Calabria,130657
22/01/2022,Campania,908206
22/01/2022,Emilia-Romagna,895955
22/01/2022,Friuli-Venezia Giulia,191108
22/01/2022,Lazio,733606
22/01/2022,Liguria,252882
22/01/2022,Lombardia,1925035
22/01/2022,Marche,184543
22/01/2022,Molise,24305
22/01/2022,Piemonte,706985
22/01/2022,Provincia Autonoma di Bolzano/Bozen,94772
22/01/2022,Provincia Autonoma di Trento,107057
22/01/2022,Puglia,534548
22/01/2022,Sardegna,113317
22/01/2022,Sicilia,464291
22/01/2022,Toscana,478334
22/01/2022,Umbria,143038
22/01/2022,Valle d'Aosta/Vallée d'Aoste,26393
22/01/2022,Veneto,1012862
