iss_date,DATA_PRELIEVO_DIAGNOSI,CASI
22/01/2022,29/01/2020,<5
22/01/2022,06/02/2020,<5
22/01/2022,20/02/2020,<5
22/01/2022,21/02/2020,36
22/01/2022,22/02/2020,58
22/01/2022,23/02/2020,77
22/01/2022,24/02/2020,86
22/01/2022,25/02/2020,190
22/01/2022,26/02/2020,278
22/01/2022,27/02/2020,286
22/01/2022,28/02/2020,354
22/01/2022,29/02/2020,373
22/01/2022,01/03/2020,411
22/01/2022,02/03/2020,629
22/01/2022,03/03/2020,803
22/01/2022,04/03/2020,1077
22/01/2022,05/03/2020,1302
22/01/2022,06/03/2020,1530
22/01/2022,07/03/2020,1415
22/01/2022,08/03/2020,1451
22/01/2022,09/03/2020,2241
22/01/2022,10/03/2020,2451
22/01/2022,11/03/2020,2778
22/01/2022,12/03/2020,3143
22/01/2022,13/03/2020,4106
22/01/2022,14/03/2020,3535
22/01/2022,15/03/2020,2850
22/01/2022,16/03/2020,4820
22/01/2022,17/03/2020,5348
22/01/2022,18/03/2020,5693
22/01/2022,19/03/2020,5689
22/01/2022,20/03/2020,6258
22/01/2022,21/03/2020,4923
22/01/2022,22/03/2020,3926
22/01/2022,23/03/2020,6101
22/01/2022,24/03/2020,5916
22/01/2022,25/03/2020,5804
22/01/2022,26/03/2020,5707
22/01/2022,27/03/2020,5795
22/01/2022,28/03/2020,4529
22/01/2022,29/03/2020,3013
22/01/2022,30/03/2020,5086
22/01/2022,31/03/2020,5362
22/01/2022,01/04/2020,5027
22/01/2022,02/04/2020,4775
22/01/2022,03/04/2020,4449
22/01/2022,04/04/2020,3663
22/01/2022,05/04/2020,2601
22/01/2022,06/04/2020,4090
22/01/2022,07/04/2020,4141
22/01/2022,08/04/2020,4799
22/01/2022,09/04/2020,4688
22/01/2022,10/04/2020,5133
22/01/2022,11/04/2020,3429
22/01/2022,12/04/2020,1920
22/01/2022,13/04/2020,2268
22/01/2022,14/04/2020,3279
22/01/2022,15/04/2020,3949
22/01/2022,16/04/2020,3706
22/01/2022,17/04/2020,3502
22/01/2022,18/04/2020,2640
22/01/2022,19/04/2020,1388
22/01/2022,20/04/2020,3006
22/01/2022,21/04/2020,3077
22/01/2022,22/04/2020,2606
22/01/2022,23/04/2020,2812
22/01/2022,24/04/2020,2739
22/01/2022,25/04/2020,1667
22/01/2022,26/04/2020,1017
22/01/2022,27/04/2020,1982
22/01/2022,28/04/2020,2242
22/01/2022,29/04/2020,2328
22/01/2022,30/04/2020,2269
22/01/2022,01/05/2020,1086
22/01/2022,02/05/2020,1021
22/01/2022,03/05/2020,506
22/01/2022,04/05/2020,1457
22/01/2022,05/05/2020,1537
22/01/2022,06/05/2020,1442
22/01/2022,07/05/2020,1390
22/01/2022,08/05/2020,1380
22/01/2022,09/05/2020,731
22/01/2022,10/05/2020,337
22/01/2022,11/05/2020,873
22/01/2022,12/05/2020,915
22/01/2022,13/05/2020,890
22/01/2022,14/05/2020,901
22/01/2022,15/05/2020,791
22/01/2022,16/05/2020,606
22/01/2022,17/05/2020,298
22/01/2022,18/05/2020,655
22/01/2022,19/05/2020,720
22/01/2022,20/05/2020,676
22/01/2022,21/05/2020,622
22/01/2022,22/05/2020,685
22/01/2022,23/05/2020,356
22/01/2022,24/05/2020,147
22/01/2022,25/05/2020,513
22/01/2022,26/05/2020,541
22/01/2022,27/05/2020,524
22/01/2022,28/05/2020,516
22/01/2022,29/05/2020,386
22/01/2022,30/05/2020,286
22/01/2022,31/05/2020,89
22/01/2022,01/06/2020,377
22/01/2022,02/06/2020,87
22/01/2022,03/06/2020,358
22/01/2022,04/06/2020,361
22/01/2022,05/06/2020,385
22/01/2022,06/06/2020,203
22/01/2022,07/06/2020,84
22/01/2022,08/06/2020,300
22/01/2022,09/06/2020,368
22/01/2022,10/06/2020,394
22/01/2022,11/06/2020,449
22/01/2022,12/06/2020,369
22/01/2022,13/06/2020,215
22/01/2022,14/06/2020,68
22/01/2022,15/06/2020,276
22/01/2022,16/06/2020,280
22/01/2022,17/06/2020,302
22/01/2022,18/06/2020,233
22/01/2022,19/06/2020,290
22/01/2022,20/06/2020,165
22/01/2022,21/06/2020,62
22/01/2022,22/06/2020,338
22/01/2022,23/06/2020,288
22/01/2022,24/06/2020,206
22/01/2022,25/06/2020,202
22/01/2022,26/06/2020,184
22/01/2022,27/06/2020,124
22/01/2022,28/06/2020,66
22/01/2022,29/06/2020,230
22/01/2022,30/06/2020,199
22/01/2022,01/07/2020,235
22/01/2022,02/07/2020,247
22/01/2022,03/07/2020,241
22/01/2022,04/07/2020,222
22/01/2022,05/07/2020,76
22/01/2022,06/07/2020,235
22/01/2022,07/07/2020,223
22/01/2022,08/07/2020,285
22/01/2022,09/07/2020,220
22/01/2022,10/07/2020,249
22/01/2022,11/07/2020,163
22/01/2022,12/07/2020,62
22/01/2022,13/07/2020,186
22/01/2022,14/07/2020,238
22/01/2022,15/07/2020,238
22/01/2022,16/07/2020,256
22/01/2022,17/07/2020,284
22/01/2022,18/07/2020,167
22/01/2022,19/07/2020,110
22/01/2022,20/07/2020,317
22/01/2022,21/07/2020,279
22/01/2022,22/07/2020,276
22/01/2022,23/07/2020,270
22/01/2022,24/07/2020,305
22/01/2022,25/07/2020,194
22/01/2022,26/07/2020,92
22/01/2022,27/07/2020,324
22/01/2022,28/07/2020,317
22/01/2022,29/07/2020,470
22/01/2022,30/07/2020,318
22/01/2022,31/07/2020,321
22/01/2022,01/08/2020,202
22/01/2022,02/08/2020,105
22/01/2022,03/08/2020,420
22/01/2022,04/08/2020,393
22/01/2022,05/08/2020,507
22/01/2022,06/08/2020,398
22/01/2022,07/08/2020,497
22/01/2022,08/08/2020,343
22/01/2022,09/08/2020,195
22/01/2022,10/08/2020,501
22/01/2022,11/08/2020,538
22/01/2022,12/08/2020,626
22/01/2022,13/08/2020,549
22/01/2022,14/08/2020,631
22/01/2022,15/08/2020,323
22/01/2022,16/08/2020,298
22/01/2022,17/08/2020,704
22/01/2022,18/08/2020,926
22/01/2022,19/08/2020,1076
22/01/2022,20/08/2020,1165
22/01/2022,21/08/2020,1420
22/01/2022,22/08/2020,1057
22/01/2022,23/08/2020,721
22/01/2022,24/08/2020,1680
22/01/2022,25/08/2020,1592
22/01/2022,26/08/2020,1549
22/01/2022,27/08/2020,1523
22/01/2022,28/08/2020,1464
22/01/2022,29/08/2020,1076
22/01/2022,30/08/2020,580
22/01/2022,31/08/2020,1435
22/01/2022,01/09/2020,1429
22/01/2022,02/09/2020,1627
22/01/2022,03/09/2020,1606
22/01/2022,04/09/2020,1653
22/01/2022,05/09/2020,1156
22/01/2022,06/09/2020,560
22/01/2022,07/09/2020,1562
22/01/2022,08/09/2020,1619
22/01/2022,09/09/2020,1641
22/01/2022,10/09/2020,1666
22/01/2022,11/09/2020,1621
22/01/2022,12/09/2020,1230
22/01/2022,13/09/2020,599
22/01/2022,14/09/2020,1673
22/01/2022,15/09/2020,1831
22/01/2022,16/09/2020,1614
22/01/2022,17/09/2020,1757
22/01/2022,18/09/2020,1925
22/01/2022,19/09/2020,1339
22/01/2022,20/09/2020,658
22/01/2022,21/09/2020,1984
22/01/2022,22/09/2020,1940
22/01/2022,23/09/2020,2058
22/01/2022,24/09/2020,2013
22/01/2022,25/09/2020,2105
22/01/2022,26/09/2020,1505
22/01/2022,27/09/2020,906
22/01/2022,28/09/2020,2281
22/01/2022,29/09/2020,2329
22/01/2022,30/09/2020,2620
22/01/2022,01/10/2020,3061
22/01/2022,02/10/2020,3335
22/01/2022,03/10/2020,2614
22/01/2022,04/10/2020,1764
22/01/2022,05/10/2020,4721
22/01/2022,06/10/2020,4962
22/01/2022,07/10/2020,5483
22/01/2022,08/10/2020,6209
22/01/2022,09/10/2020,7003
22/01/2022,10/10/2020,6073
22/01/2022,11/10/2020,3425
22/01/2022,12/10/2020,9598
22/01/2022,13/10/2020,10474
22/01/2022,14/10/2020,11500
22/01/2022,15/10/2020,12230
22/01/2022,16/10/2020,13820
22/01/2022,17/10/2020,11933
22/01/2022,18/10/2020,6432
22/01/2022,19/10/2020,17655
22/01/2022,20/10/2020,19768
22/01/2022,21/10/2020,22847
22/01/2022,22/10/2020,24244
22/01/2022,23/10/2020,26192
22/01/2022,24/10/2020,20279
22/01/2022,25/10/2020,11349
22/01/2022,26/10/2020,28778
22/01/2022,27/10/2020,31821
22/01/2022,28/10/2020,34244
22/01/2022,29/10/2020,33372
22/01/2022,30/10/2020,35580
22/01/2022,31/10/2020,25835
22/01/2022,01/11/2020,13857
22/01/2022,02/11/2020,35408
22/01/2022,03/11/2020,38405
22/01/2022,04/11/2020,41691
22/01/2022,05/11/2020,40665
22/01/2022,06/11/2020,42011
22/01/2022,07/11/2020,30416
22/01/2022,08/11/2020,15654
22/01/2022,09/11/2020,39337
22/01/2022,10/11/2020,40844
22/01/2022,11/11/2020,39759
22/01/2022,12/11/2020,39287
22/01/2022,13/11/2020,40026
22/01/2022,14/11/2020,29133
22/01/2022,15/11/2020,14581
22/01/2022,16/11/2020,36694
22/01/2022,17/11/2020,38482
22/01/2022,18/11/2020,37048
22/01/2022,19/11/2020,35472
22/01/2022,20/11/2020,32897
22/01/2022,21/11/2020,22857
22/01/2022,22/11/2020,10855
22/01/2022,23/11/2020,28500
22/01/2022,24/11/2020,28874
22/01/2022,25/11/2020,27490
22/01/2022,26/11/2020,26590
22/01/2022,27/11/2020,24482
22/01/2022,28/11/2020,18237
22/01/2022,29/11/2020,8254
22/01/2022,30/11/2020,22568
22/01/2022,01/12/2020,23237
22/01/2022,02/12/2020,21660
22/01/2022,03/12/2020,20244
22/01/2022,04/12/2020,20505
22/01/2022,05/12/2020,15434
22/01/2022,06/12/2020,6338
22/01/2022,07/12/2020,19497
22/01/2022,08/12/2020,7737
22/01/2022,09/12/2020,20166
22/01/2022,10/12/2020,20711
22/01/2022,11/12/2020,19820
22/01/2022,12/12/2020,14335
22/01/2022,13/12/2020,5772
22/01/2022,14/12/2020,18183
22/01/2022,15/12/2020,18585
22/01/2022,16/12/2020,17011
22/01/2022,17/12/2020,16574
22/01/2022,18/12/2020,17024
22/01/2022,19/12/2020,12984
22/01/2022,20/12/2020,6457
22/01/2022,21/12/2020,17348
22/01/2022,22/12/2020,19666
22/01/2022,23/12/2020,19168
22/01/2022,24/12/2020,15961
22/01/2022,25/12/2020,4587
22/01/2022,26/12/2020,7969
22/01/2022,27/12/2020,7724
22/01/2022,28/12/2020,19201
22/01/2022,29/12/2020,24197
22/01/2022,30/12/2020,23950
22/01/2022,31/12/2020,19227
22/01/2022,01/01/2021,5866
22/01/2022,02/01/2021,16269
22/01/2022,03/01/2021,8408
22/01/2022,04/01/2021,22939
22/01/2022,05/01/2021,24877
22/01/2022,06/01/2021,9145
22/01/2022,07/01/2021,21539
22/01/2022,08/01/2021,21167
22/01/2022,09/01/2021,15608
22/01/2022,10/01/2021,7021
22/01/2022,11/01/2021,17081
22/01/2022,12/01/2021,16504
22/01/2022,13/01/2021,15484
22/01/2022,14/01/2021,14683
22/01/2022,15/01/2021,14377
