iss_date,NOME_NUTS2,CASI_CUMULATIVI
30/12/2021,Abruzzo,98633
30/12/2021,Basilicata,35276
30/12/2021,Calabria,104596
30/12/2021,Campania,558465
30/12/2021,Emilia-Romagna,519667
30/12/2021,Friuli-Venezia Giulia,147029
30/12/2021,Lazio,498680
30/12/2021,Liguria,146666
30/12/2021,Lombardia,1174817
30/12/2021,Marche,138490
30/12/2021,Molise,15867
30/12/2021,Piemonte,457744
30/12/2021,Provincia Autonoma di Bolzano/Bozen,88036
30/12/2021,Provincia Autonoma di Trento,61520
30/12/2021,Puglia,303363
30/12/2021,Sardegna,85866
30/12/2021,Sicilia,367775
30/12/2021,Toscana,337445
30/12/2021,Umbria,85646
30/12/2021,Valle d'Aosta/Vallée d'Aoste,15460
30/12/2021,Veneto,630745
