DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
01/01/2021,5878,05/10/2022
01/01/2022,37102,05/10/2022
01/02/2021,13481,05/10/2022
01/02/2022,114773,05/10/2022
01/03/2020,410,05/10/2022
01/03/2021,22075,05/10/2022
01/03/2022,36741,05/10/2022
01/04/2020,5025,05/10/2022
01/04/2021,21710,05/10/2022
01/04/2022,72173,05/10/2022
01/05/2020,1084,05/10/2022
01/05/2021,6132,05/10/2022
01/05/2022,15399,05/10/2022
01/06/2020,377,05/10/2022
01/06/2021,3163,05/10/2022
01/06/2022,19586,05/10/2022
01/07/2020,237,05/10/2022
01/07/2021,915,05/10/2022
01/07/2022,89943,05/10/2022
01/08/2020,202,05/10/2022
01/08/2021,2401,05/10/2022
01/08/2022,69731,05/10/2022
01/09/2020,1430,05/10/2022
01/09/2021,6618,05/10/2022
01/09/2022,18611,05/10/2022
01/10/2020,3058,05/10/2022
01/10/2021,3167,05/10/2022
01/10/2022,27535,05/10/2022
01/11/2020,13870,05/10/2022
01/11/2021,2879,05/10/2022
01/12/2020,23248,05/10/2022
01/12/2021,16267,05/10/2022
02/01/2021,16297,05/10/2022
02/01/2022,68586,05/10/2022
02/02/2021,14005,05/10/2022
02/02/2022,107004,05/10/2022
02/03/2020,630,05/10/2022
02/03/2021,23219,05/10/2022
02/03/2022,43183,05/10/2022
02/04/2020,4778,05/10/2022
02/04/2021,20560,05/10/2022
02/04/2022,55696,05/10/2022
02/05/2020,1022,05/10/2022
02/05/2021,4633,05/10/2022
02/05/2022,69502,05/10/2022
02/06/2020,87,05/10/2022
02/06/2021,1259,05/10/2022
02/06/2022,6943,05/10/2022
02/07/2020,250,05/10/2022
02/07/2021,993,05/10/2022
02/07/2022,73125,05/10/2022
02/08/2020,107,05/10/2022
02/08/2021,6661,05/10/2022
02/08/2022,44793,05/10/2022
02/09/2020,1623,05/10/2022
02/09/2021,6195,05/10/2022
02/09/2022,17703,05/10/2022
02/10/2020,3341,05/10/2022
02/10/2021,2713,05/10/2022
02/10/2022,11379,05/10/2022
02/11/2020,35431,05/10/2022
02/11/2021,6497,05/10/2022
