DATARICOVERO1,RICOVERI,iss_date
01/01/2021,1153,05/10/2022
01/01/2022,1274,05/10/2022
01/02/2021,1064,05/10/2022
01/02/2022,1355,05/10/2022
01/03/2020,440,05/10/2022
01/03/2021,1454,05/10/2022
01/03/2022,642,05/10/2022
01/04/2020,1522,05/10/2022
01/04/2021,1723,05/10/2022
01/04/2022,766,05/10/2022
01/05/2020,288,05/10/2022
01/05/2021,742,05/10/2022
01/05/2022,488,05/10/2022
01/06/2020,140,05/10/2022
01/06/2021,223,05/10/2022
01/06/2022,324,05/10/2022
01/07/2020,69,05/10/2022
01/07/2021,72,05/10/2022
01/07/2022,910,05/10/2022
01/08/2020,70,05/10/2022
01/08/2021,236,05/10/2022
01/08/2022,718,05/10/2022
01/09/2020,159,05/10/2022
01/09/2021,350,05/10/2022
01/09/2022,344,05/10/2022
01/10/2020,352,05/10/2022
01/10/2021,199,05/10/2022
01/10/2022,354,05/10/2022
01/11/2020,1929,05/10/2022
01/11/2021,225,05/10/2022
01/12/2020,1619,05/10/2022
01/12/2021,473,05/10/2022
02/01/2021,1415,05/10/2022
02/01/2022,1170,05/10/2022
02/02/2021,985,05/10/2022
02/02/2022,1395,05/10/2022
02/03/2020,669,05/10/2022
02/03/2021,1638,05/10/2022
02/03/2022,606,05/10/2022
02/04/2020,1471,05/10/2022
02/04/2021,1822,05/10/2022
02/04/2022,668,05/10/2022
02/05/2020,250,05/10/2022
02/05/2021,667,05/10/2022
02/05/2022,668,05/10/2022
02/06/2020,71,05/10/2022
02/06/2021,175,05/10/2022
02/06/2022,245,05/10/2022
02/07/2020,80,05/10/2022
02/07/2021,55,05/10/2022
02/07/2022,797,05/10/2022
02/08/2020,56,05/10/2022
02/08/2021,273,05/10/2022
02/08/2022,704,05/10/2022
02/09/2020,189,05/10/2022
02/09/2021,373,05/10/2022
02/09/2022,306,05/10/2022
02/10/2020,366,05/10/2022
02/10/2021,174,05/10/2022
02/10/2022,298,05/10/2022
02/11/2020,2441,05/10/2022
02/11/2021,292,05/10/2022
02/12/2020,1621,05/10/2022
02/12/2021,548,05/10/2022
03/01/2021,1216,05/10/2022
03/01/2022,1631,05/10/2022
03/02/2021,983,05/10/2022
03/02/2022,1267,05/10/2022
03/03/2020,815,05/10/2022
03/03/2021,1622,05/10/2022
03/03/2022,641,05/10/2022
03/04/2020,1279,05/10/2022
03/04/2021,1607,05/10/2022
03/04/2022,552,05/10/2022
03/05/2020,189,05/10/2022
03/05/2021,853,05/10/2022
03/05/2022,631,05/10/2022
03/06/2020,112,05/10/2022
03/06/2021,186,05/10/2022
03/06/2022,332,05/10/2022
03/07/2020,94,05/10/2022
03/07/2021,61,05/10/2022
03/07/2022,713,05/10/2022
03/08/2020,111,05/10/2022
03/08/2021,302,05/10/2022
03/08/2022,584,05/10/2022
03/09/2020,189,05/10/2022
03/09/2021,339,05/10/2022
03/09/2022,253,05/10/2022
03/10/2020,361,05/10/2022
03/10/2021,151,05/10/2022
03/10/2022,321,05/10/2022
03/11/2020,2488,05/10/2022
03/11/2021,290,05/10/2022
03/12/2020,1581,05/10/2022
03/12/2021,534,05/10/2022
04/01/2021,1434,05/10/2022
04/01/2022,1798,05/10/2022
04/02/2021,978,05/10/2022
04/02/2022,1212,05/10/2022
04/03/2020,914,05/10/2022
04/03/2021,1579,05/10/2022
04/03/2022,585,05/10/2022
04/04/2020,1037,05/10/2022
04/04/2021,1298,05/10/2022
04/04/2022,776,05/10/2022
04/05/2020,315,05/10/2022
04/05/2021,834,05/10/2022
04/05/2022,599,05/10/2022
04/06/2020,96,05/10/2022
04/06/2021,201,05/10/2022
04/06/2022,288,05/10/2022
04/07/2020,40,05/10/2022
04/07/2021,69,05/10/2022
04/07/2022,988,05/10/2022
04/08/2020,66,05/10/2022
04/08/2021,282,05/10/2022
04/08/2022,559,05/10/2022
04/09/2020,180,05/10/2022
04/09/2021,338,05/10/2022
04/09/2022,219,05/10/2022
04/10/2020,329,05/10/2022
