NOME_NUTS2,CASI_CUMULATIVI,iss_date
Abruzzo,565043,05/10/2022
Basilicata,189724,05/10/2022
Calabria,520542,05/10/2022
Campania,2237777,05/10/2022
Emilia-Romagna,1875886,05/10/2022
Friuli-Venezia Giulia,491623,05/10/2022
Lazio,2174854,05/10/2022
Liguria,581831,05/10/2022
Lombardia,3605673,05/10/2022
Marche,595205,05/10/2022
Molise,90796,05/10/2022
Piemonte,1493018,05/10/2022
Provincia Autonoma di Bolzano/Bozen,265567,05/10/2022
Provincia Autonoma di Trento,217215,05/10/2022
Puglia,1484792,05/10/2022
Sardegna,468261,05/10/2022
Sicilia,1720840,05/10/2022
Toscana,1504617,05/10/2022
Umbria,389202,05/10/2022
Valle d'Aosta/Vallée d'Aoste,45601,05/10/2022
Veneto,2294412,05/10/2022
