DATA_INIZIO_SINTOMI,CASI,iss_date
01/01/2021,9565,05/10/2022
01/01/2022,45872,05/10/2022
01/02/2020,53,05/10/2022
01/02/2021,7925,05/10/2022
01/02/2022,31154,05/10/2022
01/03/2020,2481,05/10/2022
01/03/2021,14976,05/10/2022
01/03/2022,14578,05/10/2022
01/04/2020,4119,05/10/2022
01/04/2021,10057,05/10/2022
01/04/2022,20619,05/10/2022
01/05/2020,700,05/10/2022
01/05/2021,5091,05/10/2022
01/05/2022,12368,05/10/2022
01/06/2020,173,05/10/2022
01/06/2021,1254,05/10/2022
01/06/2022,5930,05/10/2022
01/07/2020,118,05/10/2022
01/07/2021,636,05/10/2022
01/07/2022,22838,05/10/2022
01/08/2020,161,05/10/2022
01/08/2021,3604,05/10/2022
01/08/2022,16908,05/10/2022
01/09/2020,748,05/10/2022
01/09/2021,3614,05/10/2022
01/09/2022,5722,05/10/2022
01/10/2020,2351,05/10/2022
01/10/2021,1843,05/10/2022
01/10/2022,6797,05/10/2022
01/11/2020,17729,05/10/2022
01/11/2021,3838,05/10/2022
01/12/2020,10543,05/10/2022
01/12/2021,10131,05/10/2022
02/01/2021,9734,05/10/2022
02/01/2022,46962,05/10/2022
02/02/2020,42,05/10/2022
02/02/2021,6580,05/10/2022
02/02/2022,28166,05/10/2022
02/03/2020,1943,05/10/2022
02/03/2021,12562,05/10/2022
02/03/2022,14818,05/10/2022
02/04/2020,2716,05/10/2022
02/04/2021,8787,05/10/2022
02/04/2022,17833,05/10/2022
02/05/2020,509,05/10/2022
02/05/2021,4319,05/10/2022
02/05/2022,17186,05/10/2022
02/06/2020,66,05/10/2022
02/06/2021,1141,05/10/2022
02/06/2022,4524,05/10/2022
02/07/2020,90,05/10/2022
02/07/2021,565,05/10/2022
02/07/2022,19416,05/10/2022
02/08/2020,127,05/10/2022
02/08/2021,4181,05/10/2022
02/08/2022,12648,05/10/2022
02/09/2020,650,05/10/2022
02/09/2021,2971,05/10/2022
02/09/2022,5167,05/10/2022
02/10/2020,2279,05/10/2022
02/10/2021,1598,05/10/2022
02/10/2022,5198,05/10/2022
02/11/2020,20936,05/10/2022
02/11/2021,4152,05/10/2022
02/12/2020,9153,05/10/2022
02/12/2021,8690,05/10/2022
03/01/2021,8621,05/10/2022
03/01/2022,69308,05/10/2022
03/02/2020,25,05/10/2022
03/02/2021,6561,05/10/2022
03/02/2022,24674,05/10/2022
03/03/2020,2241,05/10/2022
03/03/2021,12640,05/10/2022
03/03/2022,14209,05/10/2022
03/04/2020,2725,05/10/2022
03/04/2021,7432,05/10/2022
03/04/2022,16233,05/10/2022
03/05/2020,411,05/10/2022
03/05/2021,5431,05/10/2022
03/05/2022,14400,05/10/2022
03/06/2020,141,05/10/2022
03/06/2021,1134,05/10/2022
03/06/2022,6646,05/10/2022
03/07/2020,76,05/10/2022
03/07/2021,576,05/10/2022
03/07/2022,20441,05/10/2022
03/08/2020,224,05/10/2022
03/08/2021,4096,05/10/2022
03/08/2022,11369,05/10/2022
03/09/2020,598,05/10/2022
03/09/2021,2920,05/10/2022
03/09/2022,4523,05/10/2022
03/10/2020,2384,05/10/2022
03/10/2021,1496,05/10/2022
03/10/2022,5267,05/10/2022
03/11/2020,17489,05/10/2022
03/11/2021,4464,05/10/2022
03/12/2020,8395,05/10/2022
03/12/2021,8891,05/10/2022
04/01/2021,10994,05/10/2022
04/01/2022,55836,05/10/2022
04/02/2020,23,05/10/2022
04/02/2021,6307,05/10/2022
04/02/2022,21870,05/10/2022
04/03/2020,1956,05/10/2022
04/03/2021,12181,05/10/2022
04/03/2022,14205,05/10/2022
04/04/2020,2359,05/10/2022
04/04/2021,6637,05/10/2022
04/04/2022,24800,05/10/2022
04/05/2020,657,05/10/2022
04/05/2021,4713,05/10/2022
04/05/2022,14271,05/10/2022
04/06/2020,128,05/10/2022
