DATA_DECESSO,DECESSI,iss_date
01/01/2021,457,05/10/2022
01/01/2022,178,05/10/2022
01/02/2021,355,05/10/2022
01/02/2022,385,05/10/2022
01/03/2020,25,05/10/2022
01/03/2021,324,05/10/2022
01/03/2022,180,05/10/2022
01/04/2020,710,05/10/2022
01/04/2021,450,05/10/2022
01/04/2022,144,05/10/2022
01/05/2020,259,05/10/2022
01/05/2021,207,05/10/2022
01/05/2022,101,05/10/2022
01/06/2020,62,05/10/2022
01/06/2021,60,05/10/2022
01/06/2022,50,05/10/2022
01/07/2020,15,05/10/2022
01/07/2021,14,05/10/2022
01/07/2022,66,05/10/2022
01/08/2020,<5,05/10/2022
01/08/2021,15,05/10/2022
01/08/2022,142,05/10/2022
01/09/2020,9,05/10/2022
01/09/2021,52,05/10/2022
01/09/2022,60,05/10/2022
01/10/2020,26,05/10/2022
01/10/2021,32,05/10/2022
01/10/2022,19,05/10/2022
01/11/2020,367,05/10/2022
01/11/2021,32,05/10/2022
01/12/2020,657,05/10/2022
01/12/2021,81,05/10/2022
02/01/2021,431,05/10/2022
02/01/2022,168,05/10/2022
02/02/2021,402,05/10/2022
02/02/2022,352,05/10/2022
02/03/2020,25,05/10/2022
02/03/2021,321,05/10/2022
02/03/2022,170,05/10/2022
02/04/2020,683,05/10/2022
02/04/2021,445,05/10/2022
02/04/2022,125,05/10/2022
02/05/2020,254,05/10/2022
02/05/2021,226,05/10/2022
02/05/2022,109,05/10/2022
02/06/2020,56,05/10/2022
02/06/2021,41,05/10/2022
02/06/2022,39,05/10/2022
02/07/2020,15,05/10/2022
02/07/2021,11,05/10/2022
02/07/2022,64,05/10/2022
02/08/2020,<5,05/10/2022
02/08/2021,21,05/10/2022
02/08/2022,139,05/10/2022
02/09/2020,11,05/10/2022
02/09/2021,49,05/10/2022
02/09/2022,42,05/10/2022
02/10/2020,30,05/10/2022
02/10/2021,39,05/10/2022
02/10/2022,31,05/10/2022
02/11/2020,451,05/10/2022
02/11/2021,52,05/10/2022
02/12/2020,719,05/10/2022
02/12/2021,65,05/10/2022
03/01/2021,421,05/10/2022
03/01/2022,208,05/10/2022
03/02/2021,368,05/10/2022
03/02/2022,362,05/10/2022
03/03/2020,56,05/10/2022
03/03/2021,325,05/10/2022
03/03/2022,170,05/10/2022
03/04/2020,673,05/10/2022
03/04/2021,449,05/10/2022
03/04/2022,124,05/10/2022
03/05/2020,243,05/10/2022
03/05/2021,226,05/10/2022
03/05/2022,125,05/10/2022
03/06/2020,51,05/10/2022
03/06/2021,72,05/10/2022
03/06/2022,54,05/10/2022
03/07/2020,16,05/10/2022
03/07/2021,15,05/10/2022
03/07/2022,64,05/10/2022
03/08/2020,6,05/10/2022
03/08/2021,19,05/10/2022
03/08/2022,143,05/10/2022
03/09/2020,11,05/10/2022
03/09/2021,67,05/10/2022
03/09/2022,42,05/10/2022
03/10/2020,18,05/10/2022
03/10/2021,34,05/10/2022
03/10/2022,30,05/10/2022
03/11/2020,434,05/10/2022
03/11/2021,57,05/10/2022
03/12/2020,661,05/10/2022
03/12/2021,86,05/10/2022
04/01/2021,507,05/10/2022
04/01/2022,231,05/10/2022
04/02/2021,335,05/10/2022
04/02/2022,335,05/10/2022
04/03/2020,56,05/10/2022
04/03/2021,314,05/10/2022
04/03/2022,160,05/10/2022
04/04/2020,632,05/10/2022
04/04/2021,385,05/10/2022
04/04/2022,146,05/10/2022
04/05/2020,219,05/10/2022
04/05/2021,262,05/10/2022
04/05/2022,97,05/10/2022
04/06/2020,60,05/10/2022
04/06/2021,49,05/10/2022
04/06/2022,60,05/10/2022
04/07/2020,7,05/10/2022
04/07/2021,11,05/10/2022
04/07/2022,90,05/10/2022
04/08/2020,<5,05/10/2022
04/08/2021,24,05/10/2022
04/08/2022,128,05/10/2022
04/09/2020,11,05/10/2022
04/09/2021,53,05/10/2022
04/09/2022,38,05/10/2022
04/10/2020,20,05/10/2022
04/10/2021,30,05/10/2022
04/10/2022,11,05/10/2022
04/11/2020,467,05/10/2022
04/11/2021,35,05/10/2022
04/12/2020,697,05/10/2022
04/12/2021,83,05/10/2022
05/01/2021,501,05/10/2022
05/01/2022,196,05/10/2022
05/02/2021,411,05/10/2022
05/02/2022,303,05/10/2022
05/03/2020,80,05/10/2022
05/03/2021,322,05/10/2022
05/03/2022,128,05/10/2022
05/04/2020,594,05/10/2022
05/04/2021,408,05/10/2022
05/04/2022,153,05/10/2022
05/05/2020,225,05/10/2022
05/05/2021,213,05/10/2022
05/05/2022,120,05/10/2022
05/06/2020,66,05/10/2022
05/06/2021,56,05/10/2022
05/06/2022,45,05/10/2022
05/07/2020,11,05/10/2022
05/07/2021,12,05/10/2022
05/07/2022,99,05/10/2022
05/08/2020,7,05/10/2022
05/08/2021,20,05/10/2022
05/08/2022,131,05/10/2022
05/09/2020,14,05/10/2022
05/09/2021,65,05/10/2022
05/09/2022,44,05/10/2022
05/10/2020,38,05/10/2022
05/10/2021,36,05/10/2022
05/11/2020,550,05/10/2022
05/11/2021,30,05/10/2022
05/12/2020,632,05/10/2022
05/12/2021,86,05/10/2022
06/01/2021,473,05/10/2022
06/01/2022,213,05/10/2022
06/02/2021,343,05/10/2022
06/02/2022,313,05/10/2022
06/03/2020,111,05/10/2022
06/03/2021,290,05/10/2022
06/03/2022,111,05/10/2022
06/04/2020,589,05/10/2022
06/04/2021,483,05/10/2022
06/04/2022,135,05/10/2022
06/05/2020,218,05/10/2022
06/05/2021,191,05/10/2022
06/05/2022,111,05/10/2022
06/06/2020,79,05/10/2022
06/06/2021,51,05/10/2022
