iss_date,NOME_NUTS2,CASI_CUMULATIVI
23/06/2022,Abruzzo,419309
23/06/2022,Basilicata,144611
23/06/2022,Calabria,364951
23/06/2022,Campania,1766002
23/06/2022,Emilia-Romagna,1533206
23/06/2022,Friuli-Venezia Giulia,370364
23/06/2022,Lazio,1706949
23/06/2022,Liguria,466328
23/06/2022,Lombardia,2975543
23/06/2022,Marche,461888
23/06/2022,Molise,68229
23/06/2022,Piemonte,1235455
23/06/2022,Provincia Autonoma di Bolzano/Bozen,221723
23/06/2022,Provincia Autonoma di Trento,172452
23/06/2022,Puglia,1171031
23/06/2022,Sardegna,350415
23/06/2022,Sicilia,1356811
23/06/2022,Toscana,1231009
23/06/2022,Umbria,306645
23/06/2022,Valle d'Aosta/Vallée d'Aoste,37854
23/06/2022,Veneto,1803256
