iss_date,NOME_NUTS2,CASI_CUMULATIVI
27/01/2021,Abruzzo,41086
27/01/2021,Basilicata,12735
27/01/2021,Calabria,31982
27/01/2021,Campania,212106
27/01/2021,Emilia-Romagna,212548
27/01/2021,Friuli-Venezia Giulia,60808
27/01/2021,Lazio,204871
27/01/2021,Liguria,68130
27/01/2021,Lombardia,528449
27/01/2021,Marche,51408
27/01/2021,Molise,8015
27/01/2021,Piemonte,219896
27/01/2021,Provincia Autonoma di Bolzano/Bozen,37419
27/01/2021,Provincia Autonoma di Trento,27395
27/01/2021,Puglia,118734
27/01/2021,Sardegna,35986
27/01/2021,Sicilia,132790
27/01/2021,Toscana,131146
27/01/2021,Umbria,34950
27/01/2021,Valle d'Aosta/Vallée d'Aoste,7770
27/01/2021,Veneto,308812
