iss_date,NOME_NUTS2,CASI_CUMULATIVI
25/01/2021,Abruzzo,40935
25/01/2021,Basilicata,12625
25/01/2021,Calabria,31261
25/01/2021,Campania,210583
25/01/2021,Emilia-Romagna,210413
25/01/2021,Friuli-Venezia Giulia,58874
25/01/2021,Lazio,201276
25/01/2021,Liguria,67687
25/01/2021,Lombardia,525140
25/01/2021,Marche,51206
25/01/2021,Molise,7939
25/01/2021,Piemonte,217597
25/01/2021,Provincia Autonoma di Bolzano/Bozen,36319
25/01/2021,Provincia Autonoma di Trento,27112
25/01/2021,Puglia,116491
25/01/2021,Sardegna,35439
25/01/2021,Sicilia,130464
25/01/2021,Toscana,130324
25/01/2021,Umbria,34619
25/01/2021,Valle d'Aosta/Vallée d'Aoste,7751
25/01/2021,Veneto,305647
