iss_date,NOME_NUTS2,CASI_CUMULATIVI
07/03/2022,Abruzzo,269670
07/03/2022,Basilicata,85910
07/03/2022,Calabria,190444
07/03/2022,Campania,1216669
07/03/2022,Emilia-Romagna,1198682
07/03/2022,Friuli-Venezia Giulia,273916
07/03/2022,Lazio,1113794
07/03/2022,Liguria,342349
07/03/2022,Lombardia,2358378
07/03/2022,Marche,317805
07/03/2022,Molise,39007
07/03/2022,Piemonte,974505
07/03/2022,Provincia Autonoma di Bolzano/Bozen,170198
07/03/2022,Provincia Autonoma di Trento,141760
07/03/2022,Puglia,757916
07/03/2022,Sardegna,194443
07/03/2022,Sicilia,763997
07/03/2022,Toscana,905801
07/03/2022,Umbria,196441
07/03/2022,Valle d'Aosta/Vallée d'Aoste,31589
07/03/2022,Veneto,1344949
