iss_date,DATA_DECESSO,DECESSI
07/03/2022,20/02/2020,<5
07/03/2022,21/02/2020,<5
07/03/2022,22/02/2020,<5
07/03/2022,23/02/2020,<5
07/03/2022,24/02/2020,5
07/03/2022,25/02/2020,10
07/03/2022,26/02/2020,6
07/03/2022,27/02/2020,9
07/03/2022,28/02/2020,11
07/03/2022,29/02/2020,15
07/03/2022,01/03/2020,26
07/03/2022,02/03/2020,25
07/03/2022,03/03/2020,56
07/03/2022,04/03/2020,56
07/03/2022,05/03/2020,80
07/03/2022,06/03/2020,111
07/03/2022,07/03/2020,170
07/03/2022,08/03/2020,178
07/03/2022,09/03/2020,225
07/03/2022,10/03/2020,284
07/03/2022,11/03/2020,312
07/03/2022,12/03/2020,324
07/03/2022,13/03/2020,379
07/03/2022,14/03/2020,447
07/03/2022,15/03/2020,433
07/03/2022,16/03/2020,511
07/03/2022,17/03/2020,574
07/03/2022,18/03/2020,643
07/03/2022,19/03/2020,656
07/03/2022,20/03/2020,753
07/03/2022,21/03/2020,820
07/03/2022,22/03/2020,814
07/03/2022,23/03/2020,860
07/03/2022,24/03/2020,823
07/03/2022,25/03/2020,871
07/03/2022,26/03/2020,837
07/03/2022,27/03/2020,882
07/03/2022,28/03/2020,926
07/03/2022,29/03/2020,766
07/03/2022,30/03/2020,791
07/03/2022,31/03/2020,710
07/03/2022,01/04/2020,714
07/03/2022,02/04/2020,693
07/03/2022,03/04/2020,677
07/03/2022,04/04/2020,640
07/03/2022,05/04/2020,603
07/03/2022,06/04/2020,594
07/03/2022,07/04/2020,612
07/03/2022,08/04/2020,604
07/03/2022,09/04/2020,547
07/03/2022,10/04/2020,609
07/03/2022,11/04/2020,586
07/03/2022,12/04/2020,580
07/03/2022,13/04/2020,532
07/03/2022,14/04/2020,539
07/03/2022,15/04/2020,511
07/03/2022,16/04/2020,449
07/03/2022,17/04/2020,477
07/03/2022,18/04/2020,463
07/03/2022,19/04/2020,463
07/03/2022,20/04/2020,446
07/03/2022,21/04/2020,366
07/03/2022,22/04/2020,385
07/03/2022,23/04/2020,356
07/03/2022,24/04/2020,386
07/03/2022,25/04/2020,358
07/03/2022,26/04/2020,319
07/03/2022,27/04/2020,330
07/03/2022,28/04/2020,314
07/03/2022,29/04/2020,299
07/03/2022,30/04/2020,261
07/03/2022,01/05/2020,259
07/03/2022,02/05/2020,253
07/03/2022,03/05/2020,243
07/03/2022,04/05/2020,219
07/03/2022,05/05/2020,225
07/03/2022,06/05/2020,218
07/03/2022,07/05/2020,181
07/03/2022,08/05/2020,171
07/03/2022,09/05/2020,200
07/03/2022,10/05/2020,170
07/03/2022,11/05/2020,163
07/03/2022,12/05/2020,160
07/03/2022,13/05/2020,145
07/03/2022,14/05/2020,141
07/03/2022,15/05/2020,155
07/03/2022,16/05/2020,103
07/03/2022,17/05/2020,119
07/03/2022,18/05/2020,100
07/03/2022,19/05/2020,92
07/03/2022,20/05/2020,88
07/03/2022,21/05/2020,78
07/03/2022,22/05/2020,84
07/03/2022,23/05/2020,95
07/03/2022,24/05/2020,85
07/03/2022,25/05/2020,75
07/03/2022,26/05/2020,60
07/03/2022,27/05/2020,51
07/03/2022,28/05/2020,71
07/03/2022,29/05/2020,61
07/03/2022,30/05/2020,49
07/03/2022,31/05/2020,48
07/03/2022,01/06/2020,62
07/03/2022,02/06/2020,56
