iss_date,NOME_NUTS2,CASI_CUMULATIVI
24/03/2021,Abruzzo,62905
24/03/2021,Basilicata,18159
24/03/2021,Calabria,44260
24/03/2021,Campania,305665
24/03/2021,Emilia-Romagna,320626
24/03/2021,Friuli-Venezia Giulia,88613
24/03/2021,Lazio,278076
24/03/2021,Liguria,85844
24/03/2021,Lombardia,706832
24/03/2021,Marche,81598
24/03/2021,Molise,12067
24/03/2021,Piemonte,292315
24/03/2021,Provincia Autonoma di Bolzano/Bozen,56180
24/03/2021,Provincia Autonoma di Trento,40712
24/03/2021,Puglia,180677
24/03/2021,Sardegna,43022
24/03/2021,Sicilia,168618
24/03/2021,Toscana,184632
24/03/2021,Umbria,50264
24/03/2021,Valle d'Aosta/Vallée d'Aoste,8746
24/03/2021,Veneto,372479
