iss_date,DATA_INIZIO_SINTOMI,CASI
06/10/2021,28/01/2020,15
06/10/2021,29/01/2020,20
06/10/2021,30/01/2020,26
06/10/2021,31/01/2020,31
06/10/2021,01/02/2020,51
06/10/2021,02/02/2020,41
06/10/2021,03/02/2020,26
06/10/2021,04/02/2020,24
06/10/2021,05/02/2020,30
06/10/2021,06/02/2020,26
06/10/2021,07/02/2020,21
06/10/2021,08/02/2020,15
06/10/2021,09/02/2020,17
06/10/2021,10/02/2020,62
06/10/2021,11/02/2020,30
06/10/2021,12/02/2020,53
06/10/2021,13/02/2020,51
06/10/2021,14/02/2020,67
06/10/2021,15/02/2020,150
06/10/2021,16/02/2020,87
06/10/2021,17/02/2020,141
06/10/2021,18/02/2020,167
06/10/2021,19/02/2020,139
06/10/2021,20/02/2020,406
06/10/2021,21/02/2020,322
06/10/2021,22/02/2020,392
06/10/2021,23/02/2020,515
06/10/2021,24/02/2020,685
06/10/2021,25/02/2020,827
06/10/2021,26/02/2020,745
06/10/2021,27/02/2020,902
06/10/2021,28/02/2020,1217
06/10/2021,29/02/2020,1080
06/10/2021,01/03/2020,2482
06/10/2021,02/03/2020,1954
06/10/2021,03/03/2020,2254
06/10/2021,04/03/2020,1940
06/10/2021,05/03/2020,2632
06/10/2021,06/03/2020,2978
06/10/2021,07/03/2020,3128
06/10/2021,08/03/2020,3686
06/10/2021,09/03/2020,4432
06/10/2021,10/03/2020,6127
06/10/2021,11/03/2020,4210
06/10/2021,12/03/2020,4795
06/10/2021,13/03/2020,5357
06/10/2021,14/03/2020,4711
06/10/2021,15/03/2020,5882
06/10/2021,16/03/2020,5342
06/10/2021,17/03/2020,4551
06/10/2021,18/03/2020,4829
06/10/2021,19/03/2020,4291
06/10/2021,20/03/2020,6154
06/10/2021,21/03/2020,3829
06/10/2021,22/03/2020,3802
06/10/2021,23/03/2020,4395
06/10/2021,24/03/2020,3594
06/10/2021,25/03/2020,3839
06/10/2021,26/03/2020,3325
06/10/2021,27/03/2020,3555
06/10/2021,28/03/2020,3173
06/10/2021,29/03/2020,2399
06/10/2021,30/03/2020,3697
06/10/2021,31/03/2020,2616
06/10/2021,01/04/2020,4095
06/10/2021,02/04/2020,2682
06/10/2021,03/04/2020,2715
06/10/2021,04/04/2020,2326
06/10/2021,05/04/2020,2036
06/10/2021,06/04/2020,2483
06/10/2021,07/04/2020,2257
06/10/2021,08/04/2020,2154
06/10/2021,09/04/2020,2027
06/10/2021,10/04/2020,2727
06/10/2021,11/04/2020,1626
06/10/2021,12/04/2020,1643
06/10/2021,13/04/2020,1510
06/10/2021,14/04/2020,1833
06/10/2021,15/04/2020,2144
06/10/2021,16/04/2020,1640
06/10/2021,17/04/2020,1610
06/10/2021,18/04/2020,1273
06/10/2021,19/04/2020,1021
06/10/2021,20/04/2020,1880
06/10/2021,21/04/2020,1185
06/10/2021,22/04/2020,1212
06/10/2021,23/04/2020,1239
06/10/2021,24/04/2020,1116
06/10/2021,25/04/2020,877
06/10/2021,26/04/2020,662
06/10/2021,27/04/2020,1115
06/10/2021,28/04/2020,863
06/10/2021,29/04/2020,916
06/10/2021,30/04/2020,858
06/10/2021,01/05/2020,692
06/10/2021,02/05/2020,504
06/10/2021,03/05/2020,415
06/10/2021,04/05/2020,650
06/10/2021,05/05/2020,616
06/10/2021,06/05/2020,561
06/10/2021,07/05/2020,488
06/10/2021,08/05/2020,517
06/10/2021,09/05/2020,296
06/10/2021,10/05/2020,340
06/10/2021,11/05/2020,437
06/10/2021,12/05/2020,447
06/10/2021,13/05/2020,378
06/10/2021,14/05/2020,331
06/10/2021,15/05/2020,339
06/10/2021,16/05/2020,236
06/10/2021,17/05/2020,179
06/10/2021,18/05/2020,309
06/10/2021,19/05/2020,255
06/10/2021,20/05/2020,294
06/10/2021,21/05/2020,226
06/10/2021,22/05/2020,191
06/10/2021,23/05/2020,133
06/10/2021,24/05/2020,100
06/10/2021,25/05/2020,227
06/10/2021,26/05/2020,180
06/10/2021,27/05/2020,209
06/10/2021,28/05/2020,164
06/10/2021,29/05/2020,140
06/10/2021,30/05/2020,122
06/10/2021,31/05/2020,66
06/10/2021,01/06/2020,172
06/10/2021,02/06/2020,66
06/10/2021,03/06/2020,134
06/10/2021,04/06/2020,126
06/10/2021,05/06/2020,165
06/10/2021,06/06/2020,97
06/10/2021,07/06/2020,73
06/10/2021,08/06/2020,138
06/10/2021,09/06/2020,124
06/10/2021,10/06/2020,116
06/10/2021,11/06/2020,107
06/10/2021,12/06/2020,121
06/10/2021,13/06/2020,74
06/10/2021,14/06/2020,83
06/10/2021,15/06/2020,123
06/10/2021,16/06/2020,106
06/10/2021,17/06/2020,99
06/10/2021,18/06/2020,93
06/10/2021,19/06/2020,91
06/10/2021,20/06/2020,67
06/10/2021,21/06/2020,66
06/10/2021,22/06/2020,92
06/10/2021,23/06/2020,76
06/10/2021,24/06/2020,99
06/10/2021,25/06/2020,91
06/10/2021,26/06/2020,103
06/10/2021,27/06/2020,78
06/10/2021,28/06/2020,59
06/10/2021,29/06/2020,100
06/10/2021,30/06/2020,73
06/10/2021,01/07/2020,118
06/10/2021,02/07/2020,90
06/10/2021,03/07/2020,74
06/10/2021,04/07/2020,83
06/10/2021,05/07/2020,67
06/10/2021,06/07/2020,103
06/10/2021,07/07/2020,107
06/10/2021,08/07/2020,106
06/10/2021,09/07/2020,84
06/10/2021,10/07/2020,117
06/10/2021,11/07/2020,83
06/10/2021,12/07/2020,79
06/10/2021,13/07/2020,107
06/10/2021,14/07/2020,115
06/10/2021,15/07/2020,102
06/10/2021,16/07/2020,95
06/10/2021,17/07/2020,103
06/10/2021,18/07/2020,96
06/10/2021,19/07/2020,92
06/10/2021,20/07/2020,145
06/10/2021,21/07/2020,129
06/10/2021,22/07/2020,122
06/10/2021,23/07/2020,139
06/10/2021,24/07/2020,119
06/10/2021,25/07/2020,131
06/10/2021,26/07/2020,100
06/10/2021,27/07/2020,139
06/10/2021,28/07/2020,143
06/10/2021,29/07/2020,138
06/10/2021,30/07/2020,125
06/10/2021,31/07/2020,126
06/10/2021,01/08/2020,163
06/10/2021,02/08/2020,128
06/10/2021,03/08/2020,224
06/10/2021,04/08/2020,199
06/10/2021,05/08/2020,219
06/10/2021,06/08/2020,215
06/10/2021,07/08/2020,217
06/10/2021,08/08/2020,263
06/10/2021,09/08/2020,208
06/10/2021,10/08/2020,296
06/10/2021,11/08/2020,275
06/10/2021,12/08/2020,283
06/10/2021,13/08/2020,314
06/10/2021,14/08/2020,312
06/10/2021,15/08/2020,359
06/10/2021,16/08/2020,372
06/10/2021,17/08/2020,577
06/10/2021,18/08/2020,635
06/10/2021,19/08/2020,584
06/10/2021,20/08/2020,593
06/10/2021,21/08/2020,634
06/10/2021,22/08/2020,594
06/10/2021,23/08/2020,611
06/10/2021,24/08/2020,700
06/10/2021,25/08/2020,646
06/10/2021,26/08/2020,633
06/10/2021,27/08/2020,589
06/10/2021,28/08/2020,596
06/10/2021,29/08/2020,448
06/10/2021,30/08/2020,444
06/10/2021,31/08/2020,587
06/10/2021,01/09/2020,748
06/10/2021,02/09/2020,647
06/10/2021,03/09/2020,596
06/10/2021,04/09/2020,650
06/10/2021,05/09/2020,554
06/10/2021,06/09/2020,534
06/10/2021,07/09/2020,821
06/10/2021,08/09/2020,691
06/10/2021,09/09/2020,692
06/10/2021,10/09/2020,778
06/10/2021,11/09/2020,671
06/10/2021,12/09/2020,660
06/10/2021,13/09/2020,620
06/10/2021,14/09/2020,904
06/10/2021,15/09/2020,917
06/10/2021,16/09/2020,842
06/10/2021,17/09/2020,863
06/10/2021,18/09/2020,872
06/10/2021,19/09/2020,853
06/10/2021,20/09/2020,836
06/10/2021,21/09/2020,988
06/10/2021,22/09/2020,961
06/10/2021,23/09/2020,906
06/10/2021,24/09/2020,861
06/10/2021,25/09/2020,1006
06/10/2021,26/09/2020,970
06/10/2021,27/09/2020,1015
06/10/2021,28/09/2020,1381
06/10/2021,29/09/2020,1290
06/10/2021,30/09/2020,1708
06/10/2021,01/10/2020,2334
06/10/2021,02/10/2020,2263
06/10/2021,03/10/2020,2373
06/10/2021,04/10/2020,2354
06/10/2021,05/10/2020,3362
06/10/2021,06/10/2020,3178
06/10/2021,07/10/2020,3714
06/10/2021,08/10/2020,4048
06/10/2021,09/10/2020,4537
06/10/2021,10/10/2020,4997
06/10/2021,11/10/2020,4379
06/10/2021,12/10/2020,7028
06/10/2021,13/10/2020,6714
06/10/2021,14/10/2020,7430
06/10/2021,15/10/2020,8290
06/10/2021,16/10/2020,9383
06/10/2021,17/10/2020,9126
06/10/2021,18/10/2020,9215
06/10/2021,19/10/2020,12960
06/10/2021,20/10/2020,13973
06/10/2021,21/10/2020,13297
06/10/2021,22/10/2020,13438
06/10/2021,23/10/2020,15196
06/10/2021,24/10/2020,13875
06/10/2021,25/10/2020,14087
06/10/2021,26/10/2020,19355
06/10/2021,27/10/2020,17127
06/10/2021,28/10/2020,18138
06/10/2021,29/10/2020,18386
06/10/2021,30/10/2020,17879
06/10/2021,31/10/2020,14629
06/10/2021,01/11/2020,17657
