iss_date,NOME_NUTS2,CASI_CUMULATIVI
06/10/2021,Abruzzo,81479
06/10/2021,Basilicata,29887
06/10/2021,Calabria,84122
06/10/2021,Campania,458756
06/10/2021,Emilia-Romagna,425083
06/10/2021,Friuli-Venezia Giulia,111028
06/10/2021,Lazio,394652
06/10/2021,Liguria,113099
06/10/2021,Lombardia,884575
06/10/2021,Marche,113989
06/10/2021,Molise,14528
06/10/2021,Piemonte,381891
06/10/2021,Provincia Autonoma di Bolzano/Bozen,68635
06/10/2021,Provincia Autonoma di Trento,49558
06/10/2021,Puglia,269385
06/10/2021,Sardegna,75712
06/10/2021,Sicilia,303579
06/10/2021,Toscana,283448
06/10/2021,Umbria,64469
06/10/2021,Valle d'Aosta/Vallée d'Aoste,12126
06/10/2021,Veneto,471031
